ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.643388,,,,,,,,,,,c681d08d-6507-4a71-8bf9-4b5c119ff2a2,18,,,"[37.3, 68.5]",3775601,0,,,,-1.152572,,Right Foot,,,"[40.5, 61.3]",Ground Pass,,7.879086,,,Katie Zelem,31540.0,,,,,,,1,From Kick Off,Ona Batlle Pascual,46639.0,Right Back,2,Manchester United,1475,['fefa95d4-d7a8-458e-b7ff-f4371b5390a9'],10,,,,,,,,,,,,,,,,Manchester United,1475,00:00:10.140,Pass,
,,,,,,,,,,,,,,1.72873,,,,,,,,,,,0424d140-933b-4697-aaf8-68bc686a43b5,20,,,"[38.4, 61.6]",3775601,0,,,,2.976444,,Left Foot,,,"[22.8, 64.2]",Ground Pass,,15.815183,,,Amy Turner,31533.0,,,,,,,1,From Kick Off,Katie Zelem,31540.0,Center Defensive Midfield,2,Manchester United,1475,['e20af9cc-f145-47b1-8aa7-c5b6002f14de'],10,,,,,,,,,,,,,,,,Manchester United,1475,00:00:10.783,Pass,
,,,,,,,,,,,,,,1.539153,,,,,,,,,,,7f35a69f-f68d-4de8-9c91-2c1f24d7c46b,23,,,"[22.8, 64.2]",3775601,0,,,,0.09289952,,Right Foot,,,"[55.0, 67.2]",High Pass,,32.33945,,,Ella Toone,31534.0,,,,,,,1,From Kick Off,Amy Turner,31533.0,Right Center Back,2,Manchester United,1475,['8928d4ac-f32e-4e70-982e-f88abd2d6159'],13,,,,,,,,,,,,,,,,Manchester United,1475,00:00:13.448,Pass,
,,,,,,,,,,,,,,1.137322,,,,,,,,,,,4f659d67-0195-4e4f-a6bf-6138a8dfe038,29,,,"[49.6, 80.0]",3775601,0,,,,-1.0355988,,,,,"[56.3, 68.7]",Low Pass,,13.1369705,,,Christen Annemarie Press,6817.0,,,,,,Throw-in,1,From Throw In,Ona Batlle Pascual,46639.0,Right Back,3,Manchester United,1475,['a6f37870-0d0d-4165-b91f-61af7ba30151'],22,,,,,,,,,,,,,,,,Manchester United,1475,00:00:22.992,Pass,
,,,,,,,,,,,,,,3.664136,,,,,,,,,,,dd89ca68-77ac-497e-a3c5-4a9481b320ec,33,,,"[64.1, 76.9]",3775601,0,,,,-0.1125037,,Right Foot,,,"[105.7, 72.2]",High Pass,,41.864662,Incomplete,,Jessica Sigsworth,31535.0,,,,,,,1,From Throw In,Christen Annemarie Press,6817.0,Center Forward,3,Manchester United,1475,"['67ed1bb7-e3d8-405a-a3ee-579714329793', '79edd499-2438-4ee7-8d60-5f5115dab13b']",27,,,,,,,,,,,,,,,,Manchester United,1475,00:00:27.644,Pass,
,,,,,,,,,,,,,,1.849965,,,,,,,,,,,79edd499-2438-4ee7-8d60-5f5115dab13b,35,,,"[14.4, 7.9]",3775601,0,,,,2.313749,,Left Foot,,,"[2.0, 21.4]",Ground Pass,,18.330576,,,Sophie Baggaley,16376.0,,,,,,Recovery,1,From Throw In,Gemma Evans,16381.0,Left Center Back,3,Manchester United,1475,"['af509b95-d1e4-4802-a4c1-5add6cb88be8', 'dd89ca68-77ac-497e-a3c5-4a9481b320ec']",31,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:31.308,Pass,
,,,,,,,,,,,,,,2.737703,,,,,,,,,,,3e52b2c5-f4ac-4e76-89c7-942a528456c7,37,,,"[2.9, 21.4]",3775601,0,,,,-0.18622284,,Right Foot,,,"[51.2, 12.3]",High Pass,,49.149773,Incomplete,,Yana Daniëls,10093.0,,,,,,,1,From Throw In,Sophie Baggaley,16376.0,Goalkeeper,3,Manchester United,1475,"['19fb4a1d-2712-4696-8a08-74e78b86b90c', '7e00ee49-0b21-47dd-acfb-3c2bb690af8c']",33,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:33.158,Pass,
,,,,,,,,,,,,,,1.458038,,,,,,,,,,,a299809d-f3d7-43fb-b43d-9a2ba03dd9e2,42,,,"[71.3, 72.0]",3775601,0,,,True,-2.645698,,,,,"[65.2, 68.7]",High Pass,,6.935416,,,Katie Zelem,31540.0,,,,,,Recovery,1,From Throw In,Ella Toone,31534.0,Right Center Midfield,3,Manchester United,1475,"['abc4d9b6-91bf-477a-b1c9-9d38a62b609b', 'febdb70c-aec7-4c92-9502-24fadd7b326e']",38,,,,,,,,,,,,,,,,Manchester United,1475,00:00:38.085,Pass,True
,,,,,,,,,,,,,,1.569611,,,,,,,,,,,3eed8d45-2811-4344-8ea0-a792f2c256ad,44,,,"[64.8, 68.1]",3775601,0,,,,-0.7366563,,Head,,,"[73.4, 60.3]",High Pass,,11.61034,Incomplete,,Lucy Staniforth,15562.0,,,,,,,1,From Throw In,Katie Zelem,31540.0,Center Defensive Midfield,3,Manchester United,1475,"['0e8ace40-1d88-4278-97d7-53b235527cfa', '4f17abf2-785a-4516-a005-5bccdab98bc1']",39,,,,,,,,,,,,,,,,Manchester United,1475,00:00:39.489,Pass,
,,,,,,,,,,,,,,1.323153,,,,,,,,,,,50837437-d855-495e-b2ec-c7b224e0c2f1,49,,,"[54.7, 20.3]",3775601,0,,,,-0.6472117,,Right Foot,,,"[63.3, 13.8]",High Pass,,10.780074,Incomplete,,,,,,,,,,1,Regular Play,Carla Humphrey,16384.0,Right Center Midfield,4,Bristol City WFC,973,"['1f71e27c-96db-486a-9fd9-ca7f5c87b2d8', '214b4246-7099-4cdd-8ef8-3ac2084053fb']",41,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:41.583,Pass,True
