bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d4db05a3-eaca-4b57-83be-810c2ce3eda7,1,,,,3764238,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24403, 'name': 'Katerina Svitková'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 29}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d8f10e69-17ab-4a05-b8ab-e05003bd1369,2,,,,3764238,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10235, 'name': 'Viktoria Schnaderbeck'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4db3a671-2cc6-4b34-80bc-b2a5fb3148a8,3,,,,3764238,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['66eca466-a83f-44f0-ba88-36ef1bc33e69'],0,,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,66eca466-a83f-44f0-ba88-36ef1bc33e69,4,,,,3764238,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['4db3a671-2cc6-4b34-80bc-b2a5fb3148a8'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0ad4d064-a431-41dd-9931-a590cc44903c,1606,,,,3764238,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Arsenal WFC,968,['102f53ad-0f38-4acd-9a45-54475a560aa1'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,102f53ad-0f38-4acd-9a45-54475a560aa1,1607,,,,3764238,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Arsenal WFC,968,['0ad4d064-a431-41dd-9931-a590cc44903c'],0,,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.962547,,,,,,,,,,,caca5764-08c4-44e0-b733-9c7818bb1f33,5,,,"[61.0, 40.1]",3764238,0,,,,-2.853163,,Right Foot,,"[51.9, 37.4]",,Ground Pass,,9.492102,,Katerina Svitková,24403.0,,,,,,Kick Off,1,From Kick Off,Rachel Daly,5058.0,Center Forward,2,West Ham United LFC,972,['d7ba39d4-276c-4ca0-ae41-2a6b0e0cbb4e'],1,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:01.000,Pass,
,,,,,,,,,,,,,,,,,3.411696,,,,,,,,,,,27cfe298-7d94-4e3f-95fe-f109b080e28c,8,,,"[51.4, 38.5]",3764238,0,,,,0.7433051,,Right Foot,,"[94.7, 78.3]",,High Pass,,58.812668,Incomplete,Rachel Daly,5058.0,,,,,,,1,From Kick Off,Katerina Svitková,24403.0,Center Defensive Midfield,2,West Ham United LFC,972,"['02ade956-3158-4259-b73a-f09cd4943099', '123f9eeb-4354-4f7f-a54f-cbc7f30b30e3']",3,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:03.008,Pass,
,,,,,,,,,,,,,,,,,0.583133,,,,,,,,,,,0c888760-4db8-4649-a1d3-16734a1b810a,12,,,"[19.0, 3.7]",3764238,0,,,,-0.037020117,,Right Foot,,"[24.4, 3.5]",,Ground Pass,,5.4037023,,Lia Wälti,10405.0,,,,,,,1,From Kick Off,Stephanie-Elise Catley,5000.0,Left Back,2,West Ham United LFC,972,['b2aac508-ea32-4961-b8d4-2e02d3cc4563'],7,,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:07.852,Pass,
,,,,,,,,,,,,,,,,,2.160219,,,,,,,,,,,88d283b9-66cf-4b7a-bb80-70559d476ca2,21,,,"[89.2, 63.0]",3764238,0,,,,2.560408,,Right Foot,,"[68.8, 76.4]",,Ground Pass,,24.407375,,Grace Fisk,34232.0,,,,,,,1,From Kick Off,So-Hyun Cho,22798.0,Right Center Midfield,2,West Ham United LFC,972,['210a89b3-8439-4c99-828f-d8d432e8636f'],14,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:14.145,Pass,
