ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bb2d3d85-6a95-45b1-b842-23fdf4ece420,1,,,3775629,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 24370, 'name': 'Cecilie Fiskerstrand'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 13861, 'name': 'Nora Heroum'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3be00c74-638d-430c-a1ea-eb6c13db2f04,2,,,3775629,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,205ef6d8-2707-4693-bb46-1120fcd091a4,3,,,3775629,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['e6dbac59-7ce3-40f6-8d03-eb062e0344b2'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e6dbac59-7ce3-40f6-8d03-eb062e0344b2,4,,,3775629,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['205ef6d8-2707-4693-bb46-1120fcd091a4'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02e5a5cd-e7ce-4648-995c-11a309cb278e,2084,,,3775629,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Manchester City WFC,746,['2dbcf54f-c69d-431b-98a8-494b77f9f7e8'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2dbcf54f-c69d-431b-98a8-494b77f9f7e8,2085,,,3775629,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Manchester City WFC,746,['02e5a5cd-e7ce-4648-995c-11a309cb278e'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.410089,,,,,,,,,,,,,c974f2a1-42be-47a8-81e3-123a2a36ffc9,5,,"[60.0, 40.0]",3775629,0,,,,3.0147603,,Right Foot,,,,"[30.2, 43.8]",,Ground Pass,,30.041306,,Stephanie Houghton,10185.0,,,,,Kick Off,1,From Kick Off,Ellen White,10180.0,Center Forward,2,Manchester City WFC,746,['cd20c40c-4000-4a90-90bb-25abb1cad3f6'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.318,Pass,
,,,,,,,,,,,,,,,,1.12575,,,,,,,,,,,,,e7fb61d0-b069-4086-a0df-3212891bf0ab,8,,"[31.0, 42.6]",3775629,0,,,,-1.6039333,,Right Foot,,,,"[30.4, 24.5]",,Ground Pass,,18.109941,,Alex Greenwood,10252.0,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,Manchester City WFC,746,['8d4131ec-2d2b-41a6-81b7-05f57af17898'],3,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:03.527,Pass,
,,,,,,,,,,,,,,,,1.92143,,,,,,,,,,,,,c632d0d1-297c-4efd-9921-a14c7441292e,11,,"[30.4, 24.5]",3775629,0,,,,1.6176933,,Left Foot,,,,"[29.1, 52.2]",,Ground Pass,,27.730488,,Stephanie Houghton,10185.0,,,,,,1,From Kick Off,Alex Greenwood,10252.0,Left Center Back,2,Manchester City WFC,746,['6bb8db87-3108-457d-88ef-eb141268ab26'],5,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:05.908,Pass,
,,,,,,,,,,,,,,,,1.716979,,,,,,,,,,,,,a07c1e2c-b2ea-46f0-981c-e37a74dfe367,14,,"[29.1, 52.6]",3775629,0,,,,-1.5779136,,Right Foot,,,,"[28.9, 24.5]",,Ground Pass,,28.100712,,Alex Greenwood,10252.0,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,Manchester City WFC,746,['ec73d746-723c-45fd-845d-4445bf13bb45'],8,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:08.509,Pass,
