ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5725587b-341e-4a8d-b66f-1309b6352394,1,,,3764233,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10235, 'name': 'Viktoria Schnaderbeck'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,de574182-9420-4979-abc6-811c53760175,2,,,3764233,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 24281, 'name': 'Danielle Carter'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4624cc71-e7b4-43d6-aecb-c9e93909908a,3,,,3764233,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['f5bd1461-120f-490e-bcbe-4ada22670f14'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f5bd1461-120f-490e-bcbe-4ada22670f14,4,,,3764233,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['4624cc71-e7b4-43d6-aecb-c9e93909908a'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,710fc37f-7f66-408d-83ca-7e361c1a181a,1627,,,3764233,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Reading WFC,974,['92310111-8b6c-4b65-a270-fdf06ee56cdd'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,92310111-8b6c-4b65-a270-fdf06ee56cdd,1628,,,3764233,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Reading WFC,974,['710fc37f-7f66-408d-83ca-7e361c1a181a'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.755081,,,,,,,,,,,,,51f6f438-a88a-4a2d-b31a-8a18cdecd274,5,,"[61.0, 40.1]",3764233,0,,,,-3.094934,,Right Foot,,"[35.3, 38.9]",,Ground Pass,,25.728,,Deanna Cooper,20061.0,,,,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Center Attacking Midfield,2,Reading WFC,974,['b22a539b-b0d1-4ba1-b1d2-d08bc6cdffa3'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.440,Pass,
,,,,,,,,,,,,,,,,,1.519744,,,,,,,,,,,,,4264f3e5-e843-49a7-8229-f50690d23ec8,8,,"[33.6, 39.4]",3764233,0,,,,1.7894653,,Right Foot,,"[29.4, 58.3]",,Ground Pass,,19.361044,,Kristine Leine,31628.0,,,,,,,1,From Kick Off,Deanna Cooper,20061.0,Left Center Back,2,Reading WFC,974,['7c97ce66-4636-4fbb-9591-24bbfeedad22'],3,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:03.330,Pass,
,,,,,,,,,,,,,,,,,1.666643,,,,,,,,,,,,,454de87d-047a-49b5-9c9f-0f4699bce8e5,11,,"[28.4, 61.8]",3764233,0,,,,-2.2222495,,Right Foot,,"[16.2, 45.8]",,Ground Pass,,20.120636,,Grace Moloney,15719.0,,,,,,,1,From Kick Off,Kristine Leine,31628.0,Right Center Back,2,Reading WFC,974,['13252f2d-1ba6-4dbd-8517-46adcf3d11e3'],7,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:07.945,Pass,
,,,,,,,,,,,,,,,,,2.066177,,,,,,,,,,,,,4c726ff4-15cc-4d3c-99f8-0a4edaca4fff,14,,"[18.9, 42.4]",3764233,0,,,,-1.252174,,Right Foot,,"[28.4, 13.6]",,Ground Pass,,30.326391,,Deanna Cooper,20061.0,,,,,,,1,From Kick Off,Grace Moloney,15719.0,Goalkeeper,2,Reading WFC,974,['69f6b1c7-f42d-4fa4-a1a4-521bd4e0f727'],10,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:10.734,Pass,
