ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,84dcc5ea-e630-4c86-b4b3-3383a672d11b,1,,,3775580,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24370, 'name': 'Cecilie Fiskerstrand'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 13861, 'name': 'Nora Heroum'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,461d5db8-e1a0-4cfd-9fee-94a61b0ab559,2,,,3775580,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,32a00d90-5cca-4025-a1ae-a64ea62fa629,3,,,3775580,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['31570520-0b6e-43a2-b954-0ba8a22f4a55'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,31570520-0b6e-43a2-b954-0ba8a22f4a55,4,,,3775580,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['32a00d90-5cca-4025-a1ae-a64ea62fa629'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,f0d252d4-1dff-4ff3-a68d-2db64f96e259,2097,,,3775580,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Brighton & Hove Albion WFC,965,['b09d5a87-3385-4a82-863c-78a3e566af33'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,b09d5a87-3385-4a82-863c-78a3e566af33,2098,,,3775580,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Brighton & Hove Albion WFC,965,['f0d252d4-1dff-4ff3-a68d-2db64f96e259'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.259044,,,,,,,,,04e68222-a297-4762-9bda-96a1f0302d31,5,,"[60.0, 40.0]",3775580,0,,,2.9889433,,Right Foot,,,,"[36.6, 43.6]",,Low Pass,,23.675304,,,Millie Bright,4642.0,,,,Kick Off,1,From Kick Off,Samantha May Kerr,4961.0,Center Forward,2,Chelsea FCW,971,['7f6be877-c6ba-4eef-b6bf-35d92ddfbd2a'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.936,Pass,
,,,,,,,,,,,,,,,3.124254,,,,,,,,,66f3465d-9a51-4031-b08a-95be5ca24357,8,,"[37.3, 45.7]",3775580,0,,,0.118371986,,Right Foot,,,,"[97.0, 52.8]",,High Pass,,60.120712,Incomplete,,Pernille Mosegaard Harder,10108.0,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,"['85fea21f-b4c6-4499-94e5-d92502d251dd', 'f446893c-5c81-4229-a3ca-2293b01b2ab0']",3,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:03.786,Pass,
,,,,,,,,,,,,,,,0.794604,,,,,,,,,9e3538ce-a947-403e-a477-e24f3e052e18,15,,"[27.8, 5.9]",3775580,0,,,0.7401329,,Right Foot,,,,"[42.8, 19.6]",,Ground Pass,,20.314774,,,Denise O'Sullivan,5084.0,,,,,1,Regular Play,Inessa Kaagman,15579.0,Center Attacking Midfield,3,Brighton & Hove Albion WFC,965,['aeb740d9-aaaf-4b58-a4dc-1133846c44b9'],12,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:12.509,Pass,
,,,,,,,,,,,,,,,0.48314,,,,,,,,,9361024a-b533-40af-8e6d-7996773a080c,19,,"[41.5, 19.8]",3775580,0,,,-1.8513331,,Right Foot,,,,"[39.8, 13.9]",,Ground Pass,,6.140033,,,Aileen Whelan,16374.0,,,,,1,Regular Play,Denise O'Sullivan,5084.0,Left Defensive Midfield,3,Brighton & Hove Albion WFC,965,['71e574b7-cdda-44aa-9230-eca034671154'],13,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:13.966,Pass,
