50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.236792,,,,,,,,,,,529e85d1-9647-4f58-945b-22320cfa15fb,17,,,"[62.0, 71.5]",3775568,0,,,,0.6435011,,Right Foot,,"[69.2, 76.9]",Ground Pass,,9.0,,,Sarah Emma Mayling,19500.0,,,,,,1,Regular Play,Emma Rose Kelly,34375.0,Right Back,3,Birmingham City WFC,969,['1e9c92be-d62f-41e7-8ef2-5c7f7d160a4a'],21,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:21.903,Pass,
,,,,,,,,,,,,,,,,,0.74668,,,,,,,,,,,e4e21036-107e-4e8c-a92a-30535c5e1f3c,20,,,"[69.5, 76.3]",3775568,0,,,,-1.092444,,Right Foot,,"[72.3, 70.9]",Ground Pass,,6.0827627,,,Emma Rose Kelly,34375.0,,,,,,1,Regular Play,Sarah Emma Mayling,19500.0,Right Wing,3,Birmingham City WFC,969,['d8818552-9c09-49fd-9eba-1f61cfb6c289'],23,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:23.260,Pass,
,,,,,,,,,,,,,,,,,0.897363,,,,,,,,,,,2acd7632-904e-486f-ad57-fa6ca9fb5e1f,24,,,"[71.3, 72.1]",3775568,0,,,,-2.9516044,,Left Foot,,"[63.5, 70.6]",Ground Pass,,7.942921,,,Christie Murray,15628.0,,,,,,1,Regular Play,Emma Rose Kelly,34375.0,Right Back,3,Birmingham City WFC,969,['9bd67c5e-aaad-4fbd-87cb-9aa6bbcee0c8'],25,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:25.450,Pass,
,,,,,,,,,,,,,,,,,0.875583,,,,,,,,,,,59dc7f77-a265-413a-bafc-9951675a2a47,27,,,"[63.7, 70.6]",3775568,0,,,,0.13509443,,Right Foot,,"[84.3, 73.4]",Low Pass,,20.789421,,,Claudia Walker,15580.0,,,,,,1,Regular Play,Christie Murray,15628.0,Center Defensive Midfield,3,Birmingham City WFC,969,['7b2632e8-8fee-40e3-b994-6d1dc1c275fd'],26,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:26.499,Pass,
,,,,,,,,,,,,,,,,,1.490967,,,,,,,,,,,5cb07ee9-fad6-4e55-9a0d-f8a03e30b315,34,,,"[18.5, 11.4]",3775568,0,,,,2.3217254,,Right Foot,,"[1.7, 29.4]",Ground Pass,,24.62194,,,Lisa Weiß,38317.0,,,,,,1,Regular Play,Olivia McLoughlin,77717.0,Right Center Midfield,4,Aston Villa,2647,['7fe95871-5e9a-442f-a10b-8d4806d2193f'],31,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:31.263,Pass,
,,,,,,,,,,,,,,,,,2.623665,,,,,,,,,,,045fd10e-51d3-4ed4-a511-62d0be6814e4,38,,,"[1.8, 28.7]",3775568,0,,,,-0.031547714,,Right Foot,,"[52.5, 27.1]",High Pass,,50.72524,,,Shania Hayles,19499.0,,,,,,1,Regular Play,Lisa Weiß,38317.0,Goalkeeper,4,Aston Villa,2647,"['4db86369-756c-45d2-bb83-77afa03d03ac', '6ad95344-216d-44f8-9297-fd5d650d3c2e']",34,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:34.248,Pass,True
,,,,,,,,,,,,,,,,,1.702514,,,,,,,,,,,f3c98966-07f7-4e5f-b445-093737262ac8,40,,,"[52.5, 27.1]",3775568,0,,,,-1.4288993,,Left Foot,,"[54.1, 15.9]",Ground Pass,,11.313708,,,Freya Gregory,33010.0,,,,,,1,Regular Play,Shania Hayles,19499.0,Left Center Forward,4,Aston Villa,2647,['2de6e991-5b06-486f-82d5-566503f0bb25'],36,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:36.871,Pass,
,,,,,,,,,,,,,,,,,1.168503,,,,,,,,,,,2539ee78-86c7-42fd-8ad4-96bfda03a9ac,47,,,"[66.4, 62.6]",3775568,0,,,,-1.0454295,,Left Foot,,"[70.4, 55.7]",Ground Pass,,7.975588,Incomplete,,Christie Murray,15628.0,,,,,,1,Regular Play,Georgia Brougham,15574.0,Right Center Back,4,Aston Villa,2647,"['76686938-02d6-447e-87a1-f51197a86b46', 'e9752034-513f-47b9-8e3b-4db3d3b4ff5a']",39,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:39.548,Pass,
,,,,,,,,,,,,,,,,,2.416312,,,,,,,,,,,17a656b4-3286-4b5f-bc93-ed7007987bf1,59,,,"[65.3, 49.4]",3775568,0,,,,-1.4748574,,Right Foot,,"[67.6, 25.5]",Ground Pass,,24.010414,,,Ruby Mace,41812.0,,,,,Recovery,1,Regular Play,Christie Murray,15628.0,Center Defensive Midfield,5,Birmingham City WFC,969,['5efde188-59da-4033-a333-7982c8bc7781'],44,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:44.732,Pass,
,,,,,,,,,,,,,,,,,2.50837,,,,,,,,,,,574eb6ae-6435-4c84-92ab-223006bf8c94,68,,,"[63.2, 66.7]",3775568,1,,,,-0.65614927,,Left Foot,,"[105.8, 33.9]",High Pass,,53.7643,Incomplete,,Natalie Haigh,46535.0,,,,,Free Kick,1,From Free Kick,Jodie Hutton,46537.0,Left Center Back,7,Aston Villa,2647,"['4fab20e5-027a-4c05-8108-4bbf00737301', 'babde67d-91e8-4452-ac77-c3cee4cbc276']",24,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:24.356,Pass,
