ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a911c43c-c3c1-4766-9716-32ef45ec66ae,1,,,3775559,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 45156, 'name': 'Malin Gut'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f096ba1f-0677-4ef8-a2f7-9c572827cf58,2,,,3775559,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 47541, 'name': 'Damaris Berta Egurrola Wienke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31713, 'name': 'Maéva Clemaron'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 46740, 'name': 'Grace Clinton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,65408367-5ae7-4d9f-8a9c-494deea1ac38,3,,,3775559,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['e706e4c6-c02a-4c61-9f4c-501db08bc476'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e706e4c6-c02a-4c61-9f4c-501db08bc476,4,,,3775559,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['65408367-5ae7-4d9f-8a9c-494deea1ac38'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2b6446b3-425c-4469-9b38-888808993142,2056,,,3775559,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Arsenal WFC,968,['54255d68-0b9f-45a6-8977-c34e9ddf9ec0'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,54255d68-0b9f-45a6-8977-c34e9ddf9ec0,2057,,,3775559,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Arsenal WFC,968,['2b6446b3-425c-4469-9b38-888808993142'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.885036,,,,,,,,,,,0b6de5bd-5fa2-4d4a-8251-c4bdfe5915c9,5,,"[60.0, 40.0]",3775559,0,,,,-2.9172194,,Right Foot,,,,"[35.9, 34.5]",,Ground Pass,,24.719627,,,,Megan Finnigan,18254.0,,,,,,Kick Off,1,From Kick Off,Nicoline Sørensen,10274.0,Center Forward,2,Everton LFC,967,['cab7bcf3-118b-4c98-8a9e-f12a98c13ff3'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.276,Pass,
,,,,,,,,,,,,,,,,3.153551,,,,,,,,,,,c755513c-006e-4ffd-a479-b21fb12b478c,8,,"[38.2, 35.7]",3775559,0,,,,-0.33641225,,Right Foot,,,,"[89.1, 17.9]",,High Pass,,53.92263,,Incomplete,,Hayley Emma Raso,6818.0,,,,,,,1,From Kick Off,Megan Finnigan,18254.0,Right Center Back,2,Everton LFC,967,"['a7abcc96-aa40-4b8b-986c-7db81aff4505', 'ed692449-3ed7-4d56-a6ea-f653a168e14c']",3,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:03.372,Pass,
,,,,,,,,,,,,,,,,1.418182,,,,,,,,,,,eb7a8152-3bca-46e6-bcae-7deb837a9160,12,,"[70.5, 17.5]",3775559,0,,,,-0.44713968,,Head,,,,"[87.6, 9.3]",,High Pass,,18.964441,,,,Lucy Hope,16386.0,,,,,,Recovery,1,From Kick Off,Maéva Clemaron,31713.0,Left Defensive Midfield,2,Everton LFC,967,['c5cf757e-5369-4a50-b5e4-2e43828ca7d5'],8,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:08.267,Pass,
,,,,,,,,,,,,,,,,1.885284,,,,,,,,,,,d96b70d5-b420-4af5-8e13-5a0c92f60bc2,14,,"[87.6, 9.3]",3775559,0,,,,0.45181385,,Head,,,,"[101.2, 15.9]",,High Pass,,15.116878,,Incomplete,,Nicoline Sørensen,10274.0,,,,,,,1,From Kick Off,Lucy Hope,16386.0,Left Wing,2,Everton LFC,967,"['3c52d877-1f21-4e4e-9766-c42a66b41722', 'ee2405dd-2de0-4e53-931d-98f7872e0752']",9,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:09.685,Pass,
