50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,70553b70-e803-4358-b619-aeef7cdaea8a,1,,,,3775551,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 77}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,48df1eb3-3a4c-4178-a036-3674bb57cd01,2,,,,3775551,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10235, 'name': 'Viktoria Schnaderbeck'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 45156, 'name': 'Malin Gut'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15d5e9e5-ad45-4f52-8851-4e17a7811184,3,,,,3775551,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['c431e0e9-634a-44a2-adbc-9010750ac1e7'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c431e0e9-634a-44a2-adbc-9010750ac1e7,4,,,,3775551,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['15d5e9e5-ad45-4f52-8851-4e17a7811184'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,51eb5732-49ca-46c6-9984-c59272e2ffe4,1789,,,,3775551,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Manchester United,1475,['c59a3424-a60b-439a-80d0-e1910649bdb3'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c59a3424-a60b-439a-80d0-e1910649bdb3,1790,,,,3775551,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Manchester United,1475,['51eb5732-49ca-46c6-9984-c59272e2ffe4'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.600246,,,,,,,,,,,,,5511df40-2778-4be0-9bb2-702dd4452ec3,5,,,"[61.0, 40.1]",3775551,0,,,,3.0750246,,Left Foot,,,,"[41.5, 41.4]",,Ground Pass,,19.543285,,,,Lia Wälti,10405.0,,,,Kick Off,1,From Kick Off,Vivianne Miedema,15623.0,Center Forward,2,Arsenal WFC,968,['a0c292ad-b1ae-4a46-9087-f68bb8b09405'],1,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:01.131,Pass,
,,,,,,,,,,,,,,1.881735,,,,,,,,,,,,,9d2c9bdb-875c-4ec6-b79f-3921f969b6b1,8,,,"[41.2, 40.3]",3775551,0,,,,2.0254583,,Right Foot,,,,"[25.9, 71.6]",,Ground Pass,,34.839344,,,,Carlotte Wubben-Moy,49697.0,,,,,1,From Kick Off,Lia Wälti,10405.0,Center Defensive Midfield,2,Arsenal WFC,968,['6ca768b4-6fbb-4ff4-a98c-48678204126b'],3,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:03.569,Pass,
,,,,,,,,,,,,,,0.980763,,,,,,,,,,,,,3c52203e-2bb6-4bd2-a865-a910fc5e457a,11,,,"[24.3, 72.6]",3775551,0,,,,-1.8728558,,Right Foot,,,,"[20.0, 58.8]",,Ground Pass,,14.4544115,,,,Leah Williamson,18999.0,,,,,1,From Kick Off,Carlotte Wubben-Moy,49697.0,Right Back,2,Arsenal WFC,968,['9af4cf0f-94d1-4195-a903-907e7257f993'],6,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:06.304,Pass,
,,,,,,,,,,,,,,2.149949,,,,,,,,,,,,,2793240a-f260-4783-b5b9-56d837afde83,15,,,"[22.0, 56.3]",3775551,0,,,,-1.7345346,,Right Foot,,,,"[16.3, 21.8]",,Ground Pass,,34.9677,,,,Viktoria Schnaderbeck,10235.0,,,,,1,From Kick Off,Leah Williamson,18999.0,Right Center Back,2,Arsenal WFC,968,['01f8fb94-c993-4461-9854-2511571ed8ff'],9,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:09.384,Pass,
