50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f325d471-515a-4292-ac0d-ab83c185acfc,1,,,,3775569,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0c7e47ff-d632-40eb-a0aa-c6a91e0bd58b,2,,,,3775569,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 10380, 'name': 'Leonie Maier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,93d02d19-026a-429c-ad57-836718f8a2fd,3,,,,3775569,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['5275ebd2-aaa3-4116-88cb-bfbb53351999'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5275ebd2-aaa3-4116-88cb-bfbb53351999,4,,,,3775569,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['93d02d19-026a-429c-ad57-836718f8a2fd'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8308f0b3-1d4e-45a6-b0d2-7c3f7fdb66ee,1895,,,,3775569,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,Arsenal WFC,968,['a77f5a45-b037-408d-9371-504fe1c51020'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a77f5a45-b037-408d-9371-504fe1c51020,1896,,,,3775569,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,Arsenal WFC,968,['8308f0b3-1d4e-45a6-b0d2-7c3f7fdb66ee'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.223905,,,,,,,,,,,,36166f08-f395-4d46-a01a-e60b1bd37abd,5,,,"[60.0, 40.0]",3775569,0,,,,,-2.8163579,,Right Foot,,,,"[42.8, 34.2]",,Ground Pass,,18.151585,,,,Aimee Palmer,36801.0,,,,,Kick Off,1,From Kick Off,Abigail Harrison,23412.0,Center Forward,2,Bristol City WFC,973,['cebf165b-fdd2-4359-91d4-15e0a12308fb'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.965,Pass,
,,,,,,,,,,,,,,,,1.420189,,,,,,,,,,,,fd86a598-cdec-4799-aa14-5b9423adb0b6,8,,,"[35.1, 34.4]",3775569,0,,,,,2.1338458,,Right Foot,,,,"[26.2, 48.5]",,Ground Pass,,16.673931,,,,Kiera Skeels,36799.0,,,,,,1,From Kick Off,Aimee Palmer,36801.0,Center Defensive Midfield,2,Bristol City WFC,973,['b6f886a8-6506-4bd2-bf33-74828a35a924'],3,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.857,Pass,
,,,,,,,,,,,,,,,,2.045213,,,,,,,,,,,,495cf2e2-9a91-4c4f-8b9b-9e9d72cc1f72,11,,,"[26.6, 48.5]",3775569,0,,,,,-1.5876014,,Right Foot,,,,"[26.2, 24.7]",,Ground Pass,,23.803362,,,,Gemma Evans,16381.0,,,,,,1,From Kick Off,Kiera Skeels,36799.0,Right Center Back,2,Bristol City WFC,973,['4ae751ed-912c-4281-ba73-8b99252495af'],6,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.252,Pass,
,,,,,,,,,,,,,,,,1.913117,,,,,,,,,,,,f42a6fe7-9c75-40be-949d-0ca7d2f84b5c,14,,,"[27.0, 20.0]",3775569,0,,,,,-1.0431693,,Left Foot,,,,"[35.1, 6.1]",,Ground Pass,,16.087883,,,,Jemma Elizabeth Purfield,24239.0,,,,,,1,From Kick Off,Gemma Evans,16381.0,Left Center Back,2,Bristol City WFC,973,['289e1e38-3435-4227-aa5c-ae2207cf0818'],9,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:09.228,Pass,
,,,,,,,,,,,,,,,,1.814179,,,,,,,,,,,,98db0ba7-9c53-49e0-853b-ef4a5f13f736,18,,,"[37.7, 2.5]",3775569,0,,,,,0.25675347,,Left Foot,,,,"[63.6, 9.3]",,Ground Pass,,26.77779,,,,Abigail Harrison,23412.0,,,,,,1,From Kick Off,Jemma Elizabeth Purfield,24239.0,Left Back,2,Bristol City WFC,973,"['8882dbd5-987d-44f9-a1f5-0f6e3c3bee1a', 'b023af47-a09e-4252-80ce-a55a476f2064']",13,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:13.161,Pass,True
,,,,,,,,,,,,,,,,1.364615,,,,,,,,,,,,7e162db5-7a56-4dcc-8631-84cee770d369,25,,,"[55.0, 69.0]",3775569,0,,,,,-2.3215263,,Left Foot,,,,"[38.3, 51.1]",,Ground Pass,,24.480604,,,,Lia Wälti,10405.0,,,,,,1,Regular Play,Danielle van de Donk,10658.0,Right Center Midfield,3,Arsenal WFC,968,['9e22b741-24ce-47c8-b6be-48a17f050074'],17,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:17.158,Pass,
,,,,,,,,,,,,,,,,0.880477,,,,,,,,,,,,2d0d0660-c86e-44b5-9c75-cdfc01e33250,28,,,"[38.3, 51.1]",3775569,0,,,,,0.016127633,,Right Foot,,,,"[50.7, 51.3]",,Ground Pass,,12.401613,,,,Kim Little,15616.0,,,,,,1,Regular Play,Lia Wälti,10405.0,Left Center Back,3,Arsenal WFC,968,['6d433387-567b-4470-8974-71d384de4713'],18,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:18.602,Pass,
,,,,,,,,,,,,,,,,2.051275,,,,,,,,,,,,7e87e49e-494b-4894-91c6-5f2dd11a7460,31,,,"[57.6, 25.4]",3775569,0,,,,,3.1300325,,Right Foot,,,,"[40.3, 25.6]",,Ground Pass,,17.301155,,,,Lia Wälti,10405.0,,,,,,1,Regular Play,Kim Little,15616.0,Center Defensive Midfield,3,Arsenal WFC,968,['e05527a9-0a19-4000-b1c3-81c61ab457a4'],25,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:25.143,Pass,
,,,,,,,,,,,,,,,,1.481547,,,,,,,,,,,,ad05dc27-9232-4ac0-8462-7aa6a1b4af9f,34,,,"[38.1, 28.6]",3775569,0,,,,,1.4382448,,Right Foot,,,,"[40.7, 48.1]",,Ground Pass,,19.67257,,,,Carlotte Wubben-Moy,49697.0,,,,,,1,Regular Play,Lia Wälti,10405.0,Left Center Back,3,Arsenal WFC,968,['b661cbdb-9e5a-425a-8464-5df9b313ea3a'],29,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:29.164,Pass,
,,,,,,,,,,,,,,,,2.63465,,,,,,,,,,,,c36f512c-839d-43b8-8451-5f7d17741ae9,37,,,"[40.7, 48.1]",3775569,0,,,,,-1.9055332,,Right Foot,,,,"[35.1, 32.0]",,Ground Pass,,17.046114,,,,Lia Wälti,10405.0,,,,,,1,Regular Play,Carlotte Wubben-Moy,49697.0,Right Center Back,3,Arsenal WFC,968,['5808aacf-1bc3-4b5f-a1ed-92b3579f8c77'],30,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:30.766,Pass,
,,,,,,,,,,,,,,,,2.579043,,,,,,,,,,,,ebd633b8-3612-46c9-8ad2-5a8f9435a0a2,40,,,"[36.2, 31.8]",3775569,0,,,,,1.3973006,,Left Foot,,,,"[41.3, 60.9]",,Ground Pass,,29.543528,,,,Carlotte Wubben-Moy,49697.0,,,,,,1,Regular Play,Lia Wälti,10405.0,Left Center Back,3,Arsenal WFC,968,['92cc9200-8f05-4576-9272-7a6d37e0f820'],36,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:36.006,Pass,
,,,,,,,,,,,,,,,,0.558501,,,,,,,,,,,,bd95b330-76a2-4497-bb5e-4922e972fd50,43,,,"[52.7, 72.5]",3775569,0,,,,,0.032775145,,Right Foot,,,,"[64.9, 72.9]",,Ground Pass,,12.206555,,Incomplete,,Noelle Maritz,10404.0,,,,,,1,Regular Play,Carlotte Wubben-Moy,49697.0,Right Center Back,3,Arsenal WFC,968,"['610bb5ac-4ea0-43ab-891f-417d68a73b94', '8d96e11f-0bbb-4d95-9b3c-3c5d8855df3a']",41,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:41.606,Pass,
