50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7437bbf9-b796-47ad-93c9-cd47d193a001,1,,,,3775558,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15704, 'name': 'Lily Woodham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 4}, {'player': {'id': 46635, 'name': 'Emma Harries'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 36}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,84063582-4f97-4e47-858a-3b183232293a,2,,,,3775558,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 77}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,275842a6-50fa-4e0c-a63f-97ad0aff3bcb,3,,,,3775558,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['223cb4a9-4a19-4375-a256-48ac131e9dd3'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,223cb4a9-4a19-4375-a256-48ac131e9dd3,4,,,,3775558,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['275842a6-50fa-4e0c-a63f-97ad0aff3bcb'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ad8732db-5764-4ae9-a757-54f904f8274a,1505,,,,3775558,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,98,Reading WFC,974,['d15950f7-949a-4c09-b7c8-fa2d31674d78'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d15950f7-949a-4c09-b7c8-fa2d31674d78,1506,,,,3775558,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,98,Reading WFC,974,['ad8732db-5764-4ae9-a757-54f904f8274a'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.967559,,,,,,,,,,,,,,3dae4e27-a232-4ce3-bc9f-bf8eac82bf4e,5,,,"[61.0, 40.1]",3775558,0,,,,,3.0884511,,Right Foot,,,,"[51.6, 40.6]",,Ground Pass,,9.413288,,,,,Hayley Ladd,19501.0,,,,,Kick Off,1,From Kick Off,Kirsty Hanson,31532.0,Center Forward,2,Manchester United,1475,['26ecfdf6-a5a3-42fb-90c9-37ac7ae84516'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.090,Pass,
,,,,,,,,,,,,,,,,,1.364906,,,,,,,,,,,,,,2ca9ec0f-48fe-4338-ae6c-d853d458cb9c,8,,,"[34.0, 44.5]",3775558,0,,,,,1.1960503,,Right Foot,,,,"[45.8, 74.5]",,Ground Pass,,32.237244,,,,,Ona Batlle Pascual,46639.0,,,,,,1,From Kick Off,Hayley Ladd,19501.0,Right Center Midfield,2,Manchester United,1475,['7c415b68-fee6-42f0-b595-fddbd549a6fc'],8,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:08.338,Pass,
,,,,,,,,,,,,,,,,,0.912698,,,,,,,,,,,,,,70c5ad37-8215-4339-8cbf-f192d5d73806,11,,,"[44.8, 74.5]",3775558,0,,,,,-0.055062395,,Right Foot,,,,"[57.5, 73.8]",,Ground Pass,,12.719276,,,,,Ella Toone,31534.0,,,,,,1,From Kick Off,Ona Batlle Pascual,46639.0,Right Back,2,Manchester United,1475,['51b2029e-aa67-43e1-ba18-6dec2dcea1ae'],12,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:12.528,Pass,
,,,,,,,,,,,,,,,,,0.773821,,,,,,,,,,,,,,ec157fad-689d-4186-b2f4-12f12c92cb41,14,,,"[52.3, 73.7]",3775558,0,,,,,2.8511908,,Right Foot,,,,"[43.6, 76.3]",,Ground Pass,,9.080198,,,,,Ona Batlle Pascual,46639.0,,,,,,1,From Kick Off,Ella Toone,31534.0,Center Defensive Midfield,2,Manchester United,1475,['8cb7c687-58d1-4a36-981a-ca001adfb916'],14,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:14.608,Pass,
