ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.126079,,,,,,,,,,,,7cadc256-d5ac-4452-a5a8-3abf14eedb81,2867,,,"[48.3, 19.7]",3775541,75,,,,,0.4154921,,Left Foot,,,"[68.7, 28.7]",,Ground Pass,22.297085,,,Ivana Fuso,61029.0,,,,,,,2,From Throw In,Millie Turner,31536.0,Left Center Back,149,Manchester United,1475,"['5e59d75e-96df-4ffa-8eea-ccfe29d4db30', 'c09ca7a2-c566-48ac-8bb8-c2b3caf8c5d3']",52,,,,,,,,,,,,,,,,,,Manchester United,1475,00:30:52.974,Pass,True
,,,,,,,,,,,,,,,,1.500942,,,,,,,,,,,,55380caf-b08f-4148-98fe-2c023345aebe,2869,,,"[71.1, 27.2]",3775541,75,,,,,-1.5031033,,Right Foot,,,"[72.3, 9.5]",,Ground Pass,17.740631,,,Kirsty Hanson,31532.0,,,,,,,2,From Throw In,Ivana Fuso,61029.0,Right Wing,149,Manchester United,1475,['ff07c8d8-1109-4c66-a118-15f2d910b016'],54,,,,,,,,,,,,,,,,,,Manchester United,1475,00:30:54.100,Pass,
,,,,,,,,,,,,,,,,1.528287,,,,,,,,,,,,cf4042a6-873a-428f-8fd8-62ed9cd1211d,2872,,,"[76.7, 9.2]",3775541,75,,,,,3.0118902,,Left Foot,,,"[58.3, 11.6]",,Ground Pass,18.555862,,,Ona Batlle Pascual,46639.0,,,,,,,2,From Throw In,Kirsty Hanson,31532.0,Left Wing,149,Manchester United,1475,['823cbce3-553e-4c80-ba11-b80c88edfeac'],56,,,,,,,,,,,,,,,,,,Manchester United,1475,00:30:56.155,Pass,
,,,,,,,,,,,,,,,,1.900055,,,,,,,,,,,,b1d7119b-c1d8-4e28-9fa2-7257fd1b3017,2875,,,"[67.4, 13.5]",3775541,76,,,,,1.6256194,,Left Foot,,,"[66.5, 29.9]",,Ground Pass,16.424677,,,Katie Zelem,31540.0,,,,,,,2,From Throw In,Ona Batlle Pascual,46639.0,Left Back,149,Manchester United,1475,['6f3a0ad3-e793-43a0-803d-9474d38ceb83'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:31:00.264,Pass,
,,,,,,,,,,,,,,,,1.207328,,,,,,,,,,,,c0956349-b225-402d-b085-f3c226904505,2881,,,"[65.0, 43.5]",3775541,76,,,,,0.7168782,,Right Foot,,,"[75.9, 53.0]",,Ground Pass,14.458907,,,Jackie Groenen,10654.0,,,,,,,2,From Throw In,Katie Zelem,31540.0,Right Defensive Midfield,149,Manchester United,1475,['73f169ff-a441-424d-94e1-b542df58281c'],4,,,,,,,,,,,,,,,,,,Manchester United,1475,00:31:04.443,Pass,
,,,,,,,,,,,,,,,,2.244524,,,,,,,,,,,,b6274efc-f41d-4fbb-9d99-575832a16569,2884,,,"[84.6, 56.1]",3775541,76,,,,,0.4497596,,Right Foot,,,"[107.8, 67.3]",,Ground Pass,25.761988,,,Jessica Sigsworth,31535.0,,,,,,,2,From Throw In,Jackie Groenen,10654.0,Center Attacking Midfield,149,Manchester United,1475,['dee165b0-3ac1-4e38-9739-7270b97be61c'],7,,,,,,,,,,,,,,,,,,Manchester United,1475,00:31:07.138,Pass,
,,,,,,,,,,,,,,,,1.14806,,,,,,,,,,,,5adad25b-e975-4e21-a404-dc678690ab1c,2887,,,"[107.8, 65.8]",3775541,76,,,,,-1.4782777,,Right Foot,True,,"[110.5, 36.7]",,Ground Pass,29.224989,,Incomplete,Ivana Fuso,61029.0,,,,,,,2,From Throw In,Jessica Sigsworth,31535.0,Center Forward,149,Manchester United,1475,"['795121aa-151c-4f5c-a000-5f9c8daf5c0c', 'ea78cee0-3db1-4738-bf91-6361d4073105']",9,,,,,,,,,,,,,,,,,,Manchester United,1475,00:31:09.489,Pass,
,,,,,,,,,,,,,,,,1.472536,,,,,,,,,,,,ea78cee0-3db1-4738-bf91-6361d4073105,2889,,,"[9.6, 43.4]",3775541,76,,,,,-0.59917533,,Right Foot,,,"[13.7, 40.6]",,Ground Pass,4.9648767,,,Chloe Arthur,10193.0,,,,,,Recovery,2,Regular Play,Marisa Ewers,15565.0,Left Center Back,150,Aston Villa,2647,"['51c8881f-631e-4b5b-a794-8566d8f3986b', '5adad25b-e975-4e21-a404-dc678690ab1c']",10,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:31:10.637,Pass,
,,,,,,,,,,,,,,,,1.871864,,,,,,,,,,,,4af70bb2-aa4b-4dfa-b7e1-1a79ee44c81d,2891,,,"[17.7, 43.2]",3775541,76,,,,,-0.48062128,,Left Foot,,,"[43.4, 29.8]",,Ground Pass,28.983616,,,Emma Follis,15557.0,,,,,,,2,Regular Play,Chloe Arthur,10193.0,Center Defensive Midfield,150,Aston Villa,2647,['c0abafb3-4342-461e-be83-b3a924affd83'],12,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:31:12.109,Pass,
,,,,,,,,,,,,,,,,0.717039,,,,,,,,,,,,2535eb3e-0a88-4047-9987-7254fe767bed,2895,,,"[35.6, 31.0]",3775541,76,,,,,-2.8590376,,Right Foot,,,"[26.3, 28.3]",,Ground Pass,9.684008,,,Nadine Hanssen,46539.0,,,,,,,2,Regular Play,Emma Follis,15557.0,Right Center Forward,150,Aston Villa,2647,['21e2d529-122d-4d60-bbce-d9f0c381cf74'],15,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:31:15.769,Pass,
