50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d590a4c-84ba-41ed-aca3-3a1225f47772,1,,,,3775555,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 53440, 'name': 'Esther Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 35}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,555b34a2-fe98-4da7-8cfb-e6791c8c5f14,2,,,,3775555,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bcbc3f25-a252-476e-99e9-e7c410061941,3,,,,3775555,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['46677103-1898-4512-a7ec-c1bd6ddc6a43'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,46677103-1898-4512-a7ec-c1bd6ddc6a43,4,,,,3775555,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['bcbc3f25-a252-476e-99e9-e7c410061941'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba9cf1ab-2e69-4fbf-819e-e26f4c375e54,1504,,,,3775555,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Tottenham Hotspur Women,749,['12f3bd08-caef-4c20-99bc-97bf283da8d7'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,12f3bd08-caef-4c20-99bc-97bf283da8d7,1505,,,,3775555,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Tottenham Hotspur Women,749,['ba9cf1ab-2e69-4fbf-819e-e26f4c375e54'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.51076,,,,,,,,,,,,,05ffcb8f-2341-49cc-a764-964c75191dbc,5,,,"[60.0, 40.0]",3775555,0,,,,,-2.7920716,,Right Foot,,,"[38.6, 32.2]",,Ground Pass,,22.777182,,,,Shelina Laura Zadorsky,5074.0,,,,Kick Off,1,From Kick Off,Rianna Dean,31702.0,Left Wing,2,Tottenham Hotspur Women,749,['e8b36727-9373-4991-baa7-ca5c5c093387'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.134,Pass,
,,,,,,,,,,,,,,,2.124182,,,,,,,,,,,,,d772f350-6bd8-4e71-89be-18cf556e5e69,8,,,"[38.6, 36.1]",3775555,0,,,,,1.584723,,Left Foot,,,"[38.1, 72.0]",,Low Pass,,35.90348,,,,Esther Morgan,53440.0,,,,,1,From Kick Off,Shelina Laura Zadorsky,5074.0,Left Center Back,2,Tottenham Hotspur Women,749,['86360b93-4e4d-4c5d-8fce-c592f7b7fe16'],3,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:03.381,Pass,
,,,,,,,,,,,,,,,0.689321,,,,,,,,,,,,,9867f8be-1df5-4633-b86e-8418908e9ae5,11,,,"[41.3, 76.7]",3775555,0,,,,,-1.1376557,,Right Foot,,,"[49.3, 59.4]",,Ground Pass,,19.060167,,,,So-Hyun Cho,22798.0,,,,,1,From Kick Off,Esther Morgan,53440.0,Right Back,2,Tottenham Hotspur Women,749,['6f577b6f-47fb-4395-adae-afc47b63335d'],7,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:07.000,Pass,
,,,,,,,,,,,,,,,1.940745,,,,,,,,,,,,,fb2d4810-9457-4576-ac07-e8a78df14b3d,13,,,"[49.3, 59.4]",3775555,0,,,,,0.45364794,,Right Foot,,,"[69.4, 69.2]",,Low Pass,,22.361797,,,,Rachel Williams,31563.0,,,,,1,From Kick Off,So-Hyun Cho,22798.0,Right Center Midfield,2,Tottenham Hotspur Women,749,['0dc0b92c-73bb-4ca4-88c9-016eb8700753'],7,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:07.690,Pass,
