50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,26418c43-29ec-44d9-ada7-d8a08b220226,1,,,,3775617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 32403, 'name': 'Emma Wilhelmina Koivisto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fac77b39-6ddd-4ab8-b9e6-52ab9afffbd4,2,,,,3775617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,51fda9c0-fe4c-4aa0-8548-800784b18aaf,3,,,,3775617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['61d8a0ea-40fb-4c5d-8fac-4cf04c9dc835'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,61d8a0ea-40fb-4c5d-8fac-4cf04c9dc835,4,,,,3775617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['51fda9c0-fe4c-4aa0-8548-800784b18aaf'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,83ce1718-66d2-4427-b936-a00ce5d7e721,1476,,,,3775617,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Brighton & Hove Albion WFC,965,['196157b4-c977-4fac-8e11-586a26ebbaf7'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,196157b4-c977-4fac-8e11-586a26ebbaf7,1477,,,,3775617,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Brighton & Hove Albion WFC,965,['83ce1718-66d2-4427-b936-a00ce5d7e721'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.708499,,,,,,,,,,,,22931a59-7983-4999-a868-b85e418a77ea,5,,,"[60.0, 40.0]",3775617,0,,,,,2.6139657,,Right Foot,,,,"[32.2, 56.2]",Ground Pass,,32.175766,,,,,Maya Le Tissier,22337.0,,,,,,Kick Off,1,From Kick Off,Rianna Jarrett,46716.0,Center Forward,2,Brighton & Hove Albion WFC,965,['a8f61739-fc3b-4cfd-be60-95b62d81f614'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.240,Pass,
,,,,,,,,,,,,,,,,,,1.142353,,,,,,,,,,,,ead0ff55-de17-4911-8b1d-918e11aef3c4,8,,,"[34.0, 56.6]",3775617,0,,,,,-1.8222405,,Right Foot,,,,"[25.6, 23.9]",Ground Pass,,33.761665,,,,,Victoria Williams,16395.0,,,,,,,1,From Kick Off,Maya Le Tissier,22337.0,Right Center Back,2,Brighton & Hove Albion WFC,965,['6a0a7c2f-fa2c-4dd5-a5b7-8132755a3eb6'],2,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:02.886,Pass,
,,,,,,,,,,,,,,,,,,0.152519,,,,,,,,,,,,50b8fd93-5e13-4ff4-af6c-49b2a8a0511a,12,,,"[17.3, 10.2]",3775617,0,,,,,-1.1232764,,Right Foot,,,,"[18.5, 7.7]",Ground Pass,,2.7730849,,,Incomplete,,Felicity Gibbons,16392.0,,,,,,,1,From Kick Off,Victoria Williams,16395.0,Left Center Back,2,Brighton & Hove Albion WFC,965,"['42e7f7ff-dfea-4cfd-9504-7d865f16ec7c', '473c87cb-b89e-4d9c-a405-8ec8281aeaa4', '4e126420-f04c-428b-81f4-d714c212e772']",7,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:07.417,Pass,True
,,,,,,,,,,,,,,,,,,1.104308,,,,,,,,,,,,c555f16b-725d-4e03-b5ce-a616f4756476,15,,,"[21.2, 0.1]",3775617,0,,,,,0.15017654,,,,,,"[36.4, 2.4]",High Pass,,15.373029,,,Incomplete,,,,,,,,,Throw-in,1,From Throw In,Felicity Gibbons,16392.0,Left Back,3,Brighton & Hove Albion WFC,965,['442ff437-d5dc-47d0-ad1f-d653480aee26'],21,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:21.234,Pass,
