ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c4c33f83-8d20-4175-a738-c7de012303f0,1,,,3764235,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb7a8e30-172b-464a-a217-a983596a18bc,2,,,3764235,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 46737, 'name': 'Ella Jade Mastrantonio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 6}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e06b78ac-ec3a-499b-806f-6b78cc92181b,3,,,3764235,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['972ec393-8c65-4c0f-8ff7-4b47d11c016e'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,972ec393-8c65-4c0f-8ff7-4b47d11c016e,4,,,3764235,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['e06b78ac-ec3a-499b-806f-6b78cc92181b'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e85fcffa-5957-47d1-9798-9f90af07cbf5,1767,,,3764235,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Chelsea FCW,971,['5b654c84-0329-4e65-b2a7-b104a7b96894'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5b654c84-0329-4e65-b2a7-b104a7b96894,1768,,,3764235,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Chelsea FCW,971,['e85fcffa-5957-47d1-9798-9f90af07cbf5'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.407715,,,,,,,,,,,,,,d4d1a8ca-79c3-4e61-a717-34c7ea95b0d8,5,,"[61.0, 40.1]",3764235,0,,,,-2.9865959,,Right Foot,,,"[57.8, 39.6]",,Ground Pass,,3.238827,,,,Charlie Wellings,15563.0,,,,,Kick Off,1,From Kick Off,Chloe Logarzo,25547.0,Left Center Forward,2,Bristol City WFC,973,['31187ad5-de35-472f-827e-eee16b72a86c'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.437,Pass,
,,,,,,,,,,,,,,,1.237783,,,,,,,,,,,,,,549c46de-9270-495a-8cf9-f35de73158f7,8,,"[60.4, 40.6]",3764235,0,,,,-2.8305943,,Right Foot,,,"[52.0, 37.9]",,Ground Pass,,8.823265,,,,Ella Jade Mastrantonio,46737.0,,,,,,1,From Kick Off,Charlie Wellings,15563.0,Right Center Forward,2,Bristol City WFC,973,['07c2fd3f-da6a-4c65-b7cd-58a952f1224f'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.887,Pass,
,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,c0abb5b5-de32-4583-9514-7fdb16f3d4e9,11,,"[52.0, 37.9]",3764235,0,,,,2.562146,,Right Foot,,,"[30.3, 52.1]",,Ground Pass,,25.933184,,,,Jasmine Matthews,15618.0,,,,,,1,From Kick Off,Ella Jade Mastrantonio,46737.0,Left Center Midfield,2,Bristol City WFC,973,['85d69c2e-d089-4dc2-9eab-8094a00b53bd'],2,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:02.274,Pass,
,,,,,,,,,,,,,,,2.420555,,,,,,,,,,,,,,38b85dec-0d27-4020-8deb-66f4c0abdcfb,14,,"[28.3, 48.5]",3764235,0,,,,-1.8411536,,Left Foot,,,"[18.6, 13.5]",,Ground Pass,,36.31928,,,,Gemma Evans,16381.0,,,,,,1,From Kick Off,Jasmine Matthews,15618.0,Right Center Back,2,Bristol City WFC,973,['66e20abc-ddad-436f-9f4b-9bc50f76e42d'],5,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:05.802,Pass,
