ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3474b165-8845-4946-b6f2-52b937f24b0f,1,,,,3775560,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 10380, 'name': 'Leonie Maier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,07dc8774-5ef3-4b6f-9f6d-f86fd234e631,2,,,,3775560,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 46543, 'name': 'Amy West'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d239020e-9ca3-429b-9084-eb052423ac4f,3,,,,3775560,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['b7d5b19d-ea40-48d3-8ba2-7479c2d25bff'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b7d5b19d-ea40-48d3-8ba2-7479c2d25bff,4,,,,3775560,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['d239020e-9ca3-429b-9084-eb052423ac4f'],0,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,eaed1ab5-627b-48b8-a203-180eefc18035,1757,,,,3775560,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Arsenal WFC,968,['d5433a8d-7aff-4caa-946f-9ec65e9bd546'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d5433a8d-7aff-4caa-946f-9ec65e9bd546,1758,,,,3775560,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Arsenal WFC,968,['eaed1ab5-627b-48b8-a203-180eefc18035'],0,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.744711,,,,,,,,,,,0d64b2f9-4934-4912-bfbf-38ba37b690ec,5,,,"[60.0, 40.0]",3775560,0,,,,,-2.428388,,Right Foot,,,"[38.5, 21.4]",Ground Pass,,28.429035,,,Jodie Hutton,46537.0,,,,,,Kick Off,1,From Kick Off,Chloe Arthur,10193.0,Right Center Midfield,2,Aston Villa,2647,['b2cc9685-f81f-4da8-94e2-6c679fc9534f'],0,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.586,Pass,
,,,,,,,,,,,,,,,3.885528,,,,,,,,,,,70703bdf-076d-4823-9cfd-dc90b7c09f3b,8,,,"[55.9, 11.2]",3775560,0,,,,,0.35976115,,Left Foot,,,"[111.2, 32.0]",Low Pass,,59.0824,Incomplete,,Stine Larsen,10102.0,,,,,,,1,From Kick Off,Jodie Hutton,46537.0,Left Wing Back,2,Aston Villa,2647,"['04b9a7a5-5746-48c9-a1f6-96eb9c457752', '337942b0-995d-4efb-b2ed-740521ef1d1f']",5,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:05.986,Pass,
,,,,,,,,,,,,,,,1.262625,,,,,,,,,,,f9eed7f8-9cec-4545-b83d-eb78d0c864ed,12,,,"[12.4, 49.2]",3775560,0,,,,,-1.5878401,,Right Foot,,,"[12.1, 31.6]",Ground Pass,,17.602556,,,Carlotte Wubben-Moy,49697.0,,,,,,,1,Regular Play,Lydia Grace Yilkari Williams,5066.0,Goalkeeper,3,Arsenal WFC,968,['17a8c040-c34c-43fd-84d5-48f8d7f2a633'],12,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:12.094,Pass,
,,,,,,,,,,,,,,,1.238504,,,,,,,,,,,f9fe01c0-ec73-480d-a08d-97fecf6a0484,15,,,"[17.8, 30.5]",3775560,0,,,,,-0.9891957,,Right Foot,,,"[29.7, 12.4]",Ground Pass,,21.661486,,,Katie McCabe,15620.0,,,,,,,1,Regular Play,Carlotte Wubben-Moy,49697.0,Left Center Back,3,Arsenal WFC,968,['b157f604-253b-4242-95d0-263cde39f19c'],14,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:14.481,Pass,
