ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa05e1fb-90a5-4746-9060-b3bc600acc69,1,,,,3775543,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6158f67c-e9f3-491b-83cf-1ef1af34de9e,2,,,,3775543,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10380, 'name': 'Leonie Maier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 45156, 'name': 'Malin Gut'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1403d6ca-1f30-4170-8ec9-56c873d60b89,3,,,,3775543,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['763f1608-babd-48a9-8af2-fdae30ca4723'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,763f1608-babd-48a9-8af2-fdae30ca4723,4,,,,3775543,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['1403d6ca-1f30-4170-8ec9-56c873d60b89'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74319c7f-26b0-41c6-9842-8744d0bd7806,2017,,,,3775543,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Arsenal WFC,968,['a2456d67-fc08-463f-84f9-3c7e0e188bd6'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2456d67-fc08-463f-84f9-3c7e0e188bd6,2018,,,,3775543,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Arsenal WFC,968,['74319c7f-26b0-41c6-9842-8744d0bd7806'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.975259,,,,,,,,,,,,,531d4186-1529-48a5-a2be-11d019319e3f,5,,,"[60.0, 40.0]",3775543,0,,,,,-2.4911711,,Right Foot,,,"[50.8, 33.0]",,Ground Pass,,11.560277,,,Danielle Buet,20034.0,,,,,Kick Off,1,From Kick Off,Rianna Jarrett,46716.0,Right Center Forward,2,Brighton & Hove Albion WFC,965,['de1f103a-b49a-44ad-9ecc-a8f7100bdb61'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.243,Pass,
,,,,,,,,,,,,,1.792607,,,,,,,,,,,,,37f98ce1-dadd-4769-ac5d-a4113f2edc11,8,,,"[51.4, 31.2]",3775543,0,,,,,2.2993453,,Right Foot,,,"[34.0, 50.7]",,Ground Pass,,26.13446,,,Danique Kerkdijk,16383.0,,,,,,1,From Kick Off,Danielle Buet,20034.0,Left Center Midfield,2,Brighton & Hove Albion WFC,965,['a34344cf-dca2-4604-989c-062da64ae08a'],1,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:01.821,Pass,
,,,,,,,,,,,,,1.907033,,,,,,,,,,,,,0f42e376-287e-4906-a805-87fbec8b811c,11,,,"[35.7, 47.0]",3775543,0,,,,,-1.6403561,,Right Foot,,,"[34.0, 22.6]",,Ground Pass,,24.45915,,,Rebekah Ashley Stott,4989.0,,,,,,1,From Kick Off,Danique Kerkdijk,16383.0,Right Center Back,2,Brighton & Hove Albion WFC,965,['5671820b-1c03-4dee-b74a-a83e91b701a1'],4,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:04.706,Pass,
,,,,,,,,,,,,,1.468719,,,,,,,,,,,,,e755f70c-01df-4e64-960d-d53bee212b83,14,,,"[34.0, 19.2]",3775543,0,,,,,-0.68681765,,Right Foot,,,"[54.0, 2.8]",,Ground Pass,,25.864262,,,Felicity Gibbons,16392.0,,,,,,1,From Kick Off,Rebekah Ashley Stott,4989.0,Left Center Back,2,Brighton & Hove Albion WFC,965,['05e9c197-94a7-4c61-aca2-191c995bf452'],7,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:07.371,Pass,
