50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,32898ea7-108b-4f9b-86ec-847f35aa2974,1,,,2275056,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 21854, 'name': 'Jade Bailey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15547, 'name': 'Melissa Lawley'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool WFC,966,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,33bbf774-d931-4e8e-bbaa-6ba618878f25,2,,,2275056,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 10651, 'name': 'Kika van Es'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 21230, 'name': 'Elise Hughes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,753c13fe-1f7d-4b12-be10-77db4f89ec67,3,,,2275056,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,['8c850946-abcd-4cc4-98ac-34ad9bd1f305'],0,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8c850946-abcd-4cc4-98ac-34ad9bd1f305,4,,,2275056,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Liverpool WFC,966,['753c13fe-1f7d-4b12-be10-77db4f89ec67'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,72890b42-968b-4d79-a568-1037fbaf6697,1923,,,2275056,45,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,107,Liverpool WFC,966,['e7c7ac72-7ad8-4910-8c40-44ba1377ddec'],0,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e7c7ac72-7ad8-4910-8c40-44ba1377ddec,1924,,,2275056,45,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,107,Liverpool WFC,966,['72890b42-968b-4d79-a568-1037fbaf6697'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.187627,,,,,,,,,,,,,,05357150-a566-400e-b9fc-bd5b758bec4d,5,,"[60.0, 40.0]",2275056,0,,,,,3.012896,,Right Foot,,,"[51.5, 41.1]",Ground Pass,,8.570881,,,Kika van Es,10651.0,,,,,Kick Off,1,From Kick Off,Elise Hughes,21230.0,Center Forward,2,Everton LFC,967,['4526aedb-0011-4fa8-a8c0-9a5ac27397e3'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.417,Pass,
,,,,,,,,,,,,,,,,,3.673445,,,,,,,,,,,,,,84c4e2f2-ad06-4afc-a66c-8a8c01a261f1,7,,"[51.5, 40.5]",2275056,0,,,,,-0.60366917,,Right Foot,,,"[109.8, 0.3]",High Pass,,70.81617,Out,,Chantelle Boye-Hlorkah,15556.0,,True,,,,1,From Kick Off,Kika van Es,10651.0,Right Center Back,2,Everton LFC,967,['4b2bf141-990e-4db9-a029-00511f6bc3af'],1,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:01.605,Pass,
,,,,,,,,,,,,,,,,,1.215547,,,,,,,,,,,,,,2a2cebc4-fb60-4471-abac-44713b442f64,9,,"[15.3, 80.0]",2275056,0,,,,,-0.1821683,,,,,"[26.7, 77.9]",High Pass,,11.591807,,,Rhiannon Roberts,19779.0,,,,,Throw-in,1,From Throw In,Rebecca Jane,18144.0,Right Back,3,Liverpool WFC,966,['bf2f9f7d-751e-41d0-a542-e9b4bdb16699'],11,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:11.726,Pass,
,,,,,,,,,,,,,,,,,0.581294,,,,,,,,,,,,,,ad8d1a9f-2a26-4de7-aa54-26aa99af7055,17,,"[96.4, 1.9]",2275056,0,,,,,0.648332,,Left Foot,,,"[99.7, 4.4]",Ground Pass,,4.1400485,Incomplete,,Inessa Kaagman,15579.0,,,,,,1,Regular Play,Chantelle Boye-Hlorkah,15556.0,Left Wing,4,Everton LFC,967,"['a4790ebb-d3ec-4ef7-b609-a7d6342b40dd', 'd7c68627-5feb-4526-b33c-86157456406d', 'e0153855-c2b8-4132-a56c-04ddb93e355b']",15,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:15.691,Pass,True
,,,,,,,,,,,,,,,,,1.037128,,,,,,,,,,,,,,ad94af9b-a091-43e9-850e-3546e93c69be,20,,"[105.7, 0.1]",2275056,0,,,,,1.6099919,,,,,"[105.3, 10.3]",High Pass,,10.20784,,,Elise Hughes,21230.0,,,,,Throw-in,1,From Throw In,Danielle Turner,15571.0,Left Back,5,Everton LFC,967,['29a47db8-1a50-4926-a5ce-ae99ad9474c8'],25,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:25.815,Pass,
,,,,,,,,,,,,,,,,,1.662801,,,,,,,,,,,,,,a8cb1d6b-3d2e-4c86-ad6a-a2b55f046c40,23,,"[105.1, 12.4]",2275056,0,,,,,-2.172096,,Left Foot,,,"[99.2, 3.8]",Low Pass,,10.429286,Incomplete,,Danielle Turner,15571.0,,,,,,1,From Throw In,Elise Hughes,21230.0,Center Forward,5,Everton LFC,967,"['5fa96d77-020e-4e8f-86ad-9d539161cb52', '635e8af2-1e2a-4801-9ff0-a659808d93a3', '8c3281dd-8ce5-4696-85b0-b9a6830f6f24']",26,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:26.852,Pass,True
,,,,,,,,,,,,,,,,,1.565929,,,,,,,,,,,,,,b139c07e-59a4-4521-b44c-ec8ff6f7ab94,30,,"[11.6, 80.0]",2275056,0,,,,,-0.290787,,,,,"[25.3, 75.9]",High Pass,,14.300349,Incomplete,,Kirsty Linnett,19418.0,,,,,Throw-in,1,From Throw In,Rebecca Jane,18144.0,Right Back,6,Liverpool WFC,966,"['3b1573f5-b3af-48db-a20a-44bd7dcbf30b', 'e80c1772-6c5e-4e78-8599-aceecf2030cb']",39,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:39.448,Pass,
,,,,,,,,,,,,,,,,,1.636536,,,,,,,,,,,,,,e80c1772-6c5e-4e78-8599-aceecf2030cb,32,,"[94.8, 4.2]",2275056,0,,,,,0.096193425,,Head,,,"[106.2, 5.3]",High Pass,,11.452948,Incomplete,,Elise Hughes,21230.0,,,,,Recovery,1,From Throw In,Chantelle Boye-Hlorkah,15556.0,Left Wing,6,Liverpool WFC,966,"['6fb40823-733c-465d-b71d-bbbd950cc1f9', 'b139c07e-59a4-4521-b44c-ec8ff6f7ab94', 'c247bc6d-19ac-4b3f-ba83-98935d5c1cc6']",41,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:41.014,Pass,
,,,,,,,,,,,,,,,,,1.95415,,,,,,,,,,,,,,c247bc6d-19ac-4b3f-ba83-98935d5c1cc6,35,,"[13.9, 74.8]",2275056,0,,,,,-0.07335059,,Left Foot,,,"[45.2, 72.5]",High Pass,,31.384392,Incomplete,,Courtney Sweetman-Kirk,15611.0,,,,,Recovery,1,From Throw In,Rebecca Jane,18144.0,Right Back,6,Liverpool WFC,966,"['8ad3d4d6-24d0-4818-b476-0da40f58040c', 'aaa006c0-873f-403f-90c9-2b1d9a1ad9a6', 'da5cbbcb-a7da-4435-9f2b-3be7599a7f98', 'e80c1772-6c5e-4e78-8599-aceecf2030cb']",42,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:42.650,Pass,True
