bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,039ee3ea-e150-44bc-b5af-e5d0ad35d3ae,1,,,,2275049,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 31557, 'name': 'Katharina Baunach'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 31554, 'name': 'Jacinta Galabadaarachchi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c2be4bc1-b670-400f-9b20-0e9bef75cba6,2,,,,2275049,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 9}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 10387, 'name': 'Lisa-Marie Utland'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b7819eff-c581-4653-862b-3a6b03525908,3,,,,2275049,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['04496db9-9f58-431c-8170-05329ac5a9a9'],0,,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,04496db9-9f58-431c-8170-05329ac5a9a9,4,,,,2275049,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['b7819eff-c581-4653-862b-3a6b03525908'],0,,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,22cc1b5c-a13f-4dfd-b30a-ef87b33e79d2,1462,,,,2275049,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Reading WFC,974,['a65f2480-81f4-404f-afb9-f40460312870'],0,,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a65f2480-81f4-404f-afb9-f40460312870,1463,,,,2275049,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Reading WFC,974,['22cc1b5c-a13f-4dfd-b30a-ef87b33e79d2'],0,,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.058722,,,,,,,,,,,,,,,9d263c7a-ba1f-41b1-8801-c470306b70ed,5,,,"[60.0, 40.0]",2275049,0,,,,,3.00314,,Right Foot,,,"[47.8, 41.7]",,Ground Pass,,12.317873,,,Kate Longhurst,18147.0,,,,,Kick Off,1,From Kick Off,Leanne Kiernan,18146.0,Center Forward,2,West Ham United LFC,972,['8a59413d-6287-4703-9d82-deaf937cc432'],1,,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:01.198,Pass,
,,,,,,,,,,,,,,,,,2.230062,,,,,,,,,,,,,,,e131a7f4-d593-4c0a-8f55-a5eb5b9c5623,9,,,"[46.8, 46.3]",2275049,0,,,,,1.359703,,Right Foot,,,"[52.5, 72.9]",,Ground Pass,,27.20386,,,Cecilie Redisch Kvamme,31553.0,,,,,,1,From Kick Off,Kate Longhurst,18147.0,Left Center Midfield,2,West Ham United LFC,972,"['6859f647-d7d1-4deb-b1a2-a46510fa1c05', 'c8006b8c-545e-4a5f-8510-b399c2bc8ce8']",4,,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:04.010,Pass,True
,,,,,,,,,,,,,,,,,1.23603,,,,,,,,,,,,,,,ea7473d4-c092-4bac-b8e7-0eb0abe1bc1f,12,,,"[55.8, 71.5]",2275049,0,,,,,-0.6044215,,Right Foot,,,"[69.7, 61.9]",,Ground Pass,,16.892899,,,Leanne Kiernan,18146.0,,,,,,1,From Kick Off,Cecilie Redisch Kvamme,31553.0,Right Wing Back,2,West Ham United LFC,972,['c5a78092-9be7-4d45-ac14-3b764373301b'],7,,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:07.236,Pass,
,,,,,,,,,,,,,,,,,1.115203,,,,,,,,,,,,,,,c36b200a-df95-48e9-9e64-54d81d6325f9,16,,,"[63.5, 64.4]",2275049,0,,,,,2.2725909,,Right Foot,,,"[55.3, 74.1]",,Ground Pass,,12.701574,,,Cecilie Redisch Kvamme,31553.0,,,,,,1,From Kick Off,Leanne Kiernan,18146.0,Center Forward,2,West Ham United LFC,972,"['6e96cafb-bc02-412f-8b40-8316c5f8d8ff', '9d813042-1193-4214-94fe-d074407b355a']",10,,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:10.326,Pass,True
