ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,839e72a9-4c21-42de-b90f-81038433189f,1,,,,2275079,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a499617d-6546-4203-99ae-ec79033e14f5,2,,,,2275079,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 19418, 'name': 'Kirsty Linnett'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 21854, 'name': 'Jade Bailey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15547, 'name': 'Melissa Lawley'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool WFC,966,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6eb1e11-cad2-4add-8c1f-6c2f50f1cdfb,3,,,,2275079,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['cf84beaa-8485-4c10-b091-97b9fd775665'],0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf84beaa-8485-4c10-b091-97b9fd775665,4,,,,2275079,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['a6eb1e11-cad2-4add-8c1f-6c2f50f1cdfb'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30e5ae92-5d9f-43f4-be5c-6f83c5abe5ae,1905,,,,2275079,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Arsenal WFC,968,['4b5706e1-0471-42f9-b999-91b22e2eb837'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4b5706e1-0471-42f9-b999-91b22e2eb837,1906,,,,2275079,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Arsenal WFC,968,['30e5ae92-5d9f-43f4-be5c-6f83c5abe5ae'],0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.830811,,,,,,,,,,,,,660819bf-7282-47df-8b90-d2984172ab15,5,,,"[61.0, 40.1]",2275079,0,,,,,2.9937432,,Right Foot,,,"[51.6, 41.5]",,Ground Pass,,9.503683,,,,Jade Bailey,21854.0,,,,,,Kick Off,1,From Kick Off,Kirsty Linnett,19418.0,Right Center Midfield,2,Liverpool WFC,966,['1c9b04a9-b003-4fce-9d88-076b5d3a50b7'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.305,Pass,
,,,,,,,,,,,,,,,,,4.648575,,,,,,,,,,,,,dc0575d0-8bbc-4d5f-9cf5-5fcf1f1ddb02,8,,,"[51.6, 41.7]",2275079,0,,,,,-0.45660546,,Right Foot,,,"[120.0, 8.1]",,High Pass,,76.207085,,Out,,,,,,,,,,1,From Kick Off,Jade Bailey,21854.0,Left Center Midfield,2,Liverpool WFC,966,,2,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:02.188,Pass,
,,,,,,,,,,,,,,,,,1.258992,,,,,,,,,,,,,93c5ef75-4dc0-4a49-99e1-ee3ac8ec2469,9,,,"[6.0, 44.0]",2275079,0,,,,,0.8665592,,Right Foot,,,"[15.6, 55.3]",,Ground Pass,,14.827339,,,,Leah Williamson,18999.0,,,,,,Goal Kick,1,From Goal Kick,Manuela Zinsberger,10237.0,Goalkeeper,3,Arsenal WFC,968,['e72ea354-c8cc-4d7f-bba3-c827ae522a11'],25,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:25.508,Pass,
,,,,,,,,,,,,,,,,,1.585,,,,,,,,,,,,,d701cf02-c513-47fe-8ea9-ecb0bece9b13,12,,,"[15.8, 55.4]",2275079,0,,,,,-1.5361568,,Right Foot,,,"[16.5, 35.2]",,Ground Pass,,20.212126,,,,Jennifer Patricia Beattie,17524.0,,,,,,,1,From Goal Kick,Leah Williamson,18999.0,Right Center Back,3,Arsenal WFC,968,['9fbbd83b-2e7b-415f-8651-09743f867676'],27,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:27.696,Pass,
