50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,5f733b1f-2a9f-4289-983e-20a87cd8d295,2868,,"[71.2, 59.6]",2275146,78,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ella Toone,31534.0,Left Defensive Midfield,171,Manchester United,1475,['3284f6ed-a136-46a8-8998-795e24b2bfe7'],22,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:33:22.187,Dribble,True
,,,,,,,,,,,,,True,,Complete,,,,0.0,,,,,,,,,,,,,,,,4ddfcf7c-aa15-4839-bd4b-7d908391f7c0,2904,,"[78.9, 68.8]",2275146,78,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kirsty Hanson,31532.0,Center Forward,173,Manchester United,1475,['9c332a79-b529-4ec2-b66b-0e2073e937ab'],46,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:33:46.458,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,7ecfcf59-1c86-4092-b3d0-17c51ea59a09,2975,,"[79.1, 69.4]",2275146,80,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lauren James,31531.0,Right Wing,179,Manchester United,1475,['552af511-ef9c-4fda-ae79-84eb4c6d86f5'],56,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:35:56.640,Dribble,True
,,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,,,,f0f3f13f-6316-4b42-8710-6d5cab8c2bd1,2988,,"[98.5, 76.1]",2275146,81,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jackie Groenen,10654.0,Center Attacking Midfield,180,Manchester United,1475,['74504407-25c8-4008-a73b-60a3af9a8381'],36,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:36:36.515,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,f1281ef5-3963-46d5-beb3-d0eb36fb7d8e,3007,,"[83.8, 73.7]",2275146,81,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jackie Groenen,10654.0,Center Attacking Midfield,181,Everton LFC,967,['807046e7-03a8-4d79-84d5-27d6b7fe6fab'],59,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:36:59.233,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,fbeee886-8675-442d-b47a-edac113abbbf,3093,,"[42.4, 54.6]",2275146,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Abbey-Leigh Stringer,15573.0,Right Defensive Midfield,187,Everton LFC,967,['f1cad264-2c07-4114-9f07-b20477c92d0a'],49,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:39:49.515,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,aa329f5d-857b-4bfe-a29d-be9da72a2d69,3137,,"[68.2, 24.1]",2275146,85,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gabrielle George,15575.0,Left Center Back,189,Everton LFC,967,['2efa6c4a-2825-45e2-8d15-0e75af8f49f7'],53,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:40:53.671,Dribble,True
,,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,,,,b92da498-1efc-4c72-b060-aa954d331a5d,3146,,"[86.1, 9.5]",2275146,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Chloe Kelly,15570.0,Left Wing,189,Everton LFC,967,['f7adfbe6-10f1-4a0f-ac62-427b059d5e7a'],1,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:41:01.804,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,59d49305-7464-4d5b-bcc0-3fe50887ddb5,3184,,"[76.5, 68.2]",2275146,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lauren James,31531.0,Right Wing,191,Manchester United,1475,['1d159085-2e57-4bd5-a73c-7e4a61eeb1a4'],59,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:41:59.953,Dribble,True
,,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,,,,69edfb12-eb00-4337-ab1f-08ada02b7373,3188,,"[68.7, 75.7]",2275146,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lauren James,31531.0,Right Wing,191,Manchester United,1475,['32b59ec8-1248-49ab-92f3-8b1c4a118e93'],3,,,,,,,,,,,,,,,,,,,,Manchester United,1475,00:42:03.621,Dribble,True
