ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,645112cf-abf9-426d-9d01-7f0757affc18,1,,,,2275151,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 21023, 'name': 'Amanda Nildén'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 31529, 'name': 'Léa Le Garrec'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 27}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,b5857692-0572-454d-aa79-51ef2a86df42,2,,,,2275151,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,5d6305ab-35e3-4bd0-bb90-0f2fe187b502,3,,,,2275151,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['ba65522f-715d-4bc8-8359-44268e80e665'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,ba65522f-715d-4bc8-8359-44268e80e665,4,,,,2275151,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['5d6305ab-35e3-4bd0-bb90-0f2fe187b502'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,1a5de908-730d-4830-873e-1913c4fa6029,1819,,,,2275151,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Manchester United,1475,['16a23bbf-b26e-454d-bde1-ae59a759823c'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,16a23bbf-b26e-454d-bde1-ae59a759823c,1820,,,,2275151,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Manchester United,1475,['1a5de908-730d-4830-873e-1913c4fa6029'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.561568,,,,,,,,,,,b3fc3c71-27d1-42e2-ad56-01275ccfd47d,5,,,"[60.0, 40.0]",2275151,0,,,,-2.8430936,,Right Foot,,,"[56.1, 38.8]",Ground Pass,,4.080441,,,,Katie Zelem,31540.0,,,,,Kick Off,1,From Kick Off,Jackie Groenen,10654.0,Center Attacking Midfield,2,Manchester United,1475,['2b476b5c-3a37-4b55-9e72-8fb3874788d7'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.448,Pass,
,,,,,,,,,,,,,,1.041102,,,,,,,,,,,8c0ad0fd-73ed-4d09-9933-21c01d017ec0,8,,,"[57.2, 39.9]",2275151,0,,,,-0.9297613,,Right Foot,,,"[66.9, 26.9]",Ground Pass,,16.220049,,,,Ella Toone,31534.0,,,,,,1,From Kick Off,Katie Zelem,31540.0,Left Center Midfield,2,Manchester United,1475,['7cf0b1c2-db71-464d-b01a-9168997b6b3d'],1,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:01.643,Pass,
,,,,,,,,,,,,,,0.900325,,,,,,,,,,,45dd3f8e-2382-4dac-ba6a-de8307d45393,12,,,"[66.5, 26.5]",2275151,0,,,,-3.0457335,,Left Foot,,,"[61.3, 26.0]",Ground Pass,,5.2239833,,,,Katie Zelem,31540.0,,,,,,1,From Kick Off,Ella Toone,31534.0,Center Forward,2,Manchester United,1475,"['6306c68a-abca-4361-980b-df6a2f9ddf87', 'a63c2542-1930-4172-bcc2-418ded3c1fd9']",3,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:03.572,Pass,True
,,,,,,,,,,,,,,1.48044,,,,,,,,,,,18b5a7cb-da60-45f0-8084-bc3c4d51c661,15,,,"[63.1, 26.5]",2275151,0,,,,-1.1203493,,Right Foot,,,"[74.9, 2.1]",Low Pass,,27.103506,,,,Lauren James,31531.0,,,,,,1,From Kick Off,Katie Zelem,31540.0,Left Center Midfield,2,Manchester United,1475,['9b36be71-fb2c-4278-b4ad-f2f5501f8b53'],4,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:04.539,Pass,
