bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e899fe01-03dd-499d-9a70-7e1a711b2468,1,,,2275073,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eea8a27c-bdf1-4c09-9d72-fd9fa631e4a9,2,,,2275073,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31713, 'name': 'Maéva Clemaron'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,beeb8fc9-9420-4498-a49c-42c3b0668ea2,3,,,2275073,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['9f9d0792-6823-4651-b855-07f1f3f1ac52'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9f9d0792-6823-4651-b855-07f1f3f1ac52,4,,,2275073,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['beeb8fc9-9420-4498-a49c-42c3b0668ea2'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,45eb54a5-45bf-4375-b42c-8ed6367523e3,1933,,,2275073,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,107,Tottenham Hotspur Women,749,['668df595-4abd-4e4f-b70c-da2bf1bb54bd'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,668df595-4abd-4e4f-b70c-da2bf1bb54bd,1934,,,2275073,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,107,Tottenham Hotspur Women,749,['45eb54a5-45bf-4375-b42c-8ed6367523e3'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.049419,,,,,,,,,,,,f6d29b99-a701-47cd-bbe5-a957bddf93f8,5,,"[60.0, 40.0]",2275073,0,,,,2.968732,,Right Foot,,,,"[47.4, 42.2]",,Ground Pass,,12.790622,,,Josie Green,4865.0,,,,,Kick Off,1,From Kick Off,Rianna Dean,31702.0,Center Forward,2,Tottenham Hotspur Women,749,['a34ff401-b7bc-4ffe-a796-13121af089a5'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.170,Pass,
,,,,,,,,,,,,,,,,,1.235002,,,,,,,,,,,,e13f6931-e6ff-48b3-95e0-a56563f7404b,8,,"[47.9, 39.9]",2275073,0,,,,-2.3443608,,Right Foot,,,,"[31.2, 22.8]",,Ground Pass,,23.901882,,,Anna Filbey,31703.0,,,,,,1,From Kick Off,Josie Green,4865.0,Right Defensive Midfield,2,Tottenham Hotspur Women,749,['67423dc4-38d7-4d0b-96eb-65b6c096e7b0'],2,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:02.006,Pass,
,,,,,,,,,,,,,,,,,2.239855,,,,,,,,,,,,422de196-1957-4554-84d5-58f815de63c6,12,,"[35.1, 22.0]",2275073,0,,,,-0.009323739,,Left Foot,,,,"[78.0, 21.6]",,High Pass,,42.901863,,Incomplete,Rianna Dean,31702.0,,,,,,1,From Kick Off,Anna Filbey,31703.0,Left Center Back,2,Tottenham Hotspur Women,749,"['5cfa288a-6db4-4b6a-9c83-2123dd2a015c', '6ab84159-b52c-4599-bbe8-9b94a15c748f', '7b66fd33-63fa-4969-9e9e-edaeab5afcc2']",5,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:05.254,Pass,True
,,,,,,,,,,,,,,,,,2.184458,,,,,,,,,,,,6ab84159-b52c-4599-bbe8-9b94a15c748f,14,,"[42.1, 58.5]",2275073,0,,,True,-1.8417432,,,,,,"[40.6, 53.1]",,High Pass,,5.6044626,,Incomplete,Gabrielle George,15575.0,,,,,Recovery,1,From Kick Off,Megan Finnigan,18254.0,Right Center Back,2,Tottenham Hotspur Women,749,"['0dce213a-2a16-49c3-9f49-27224db1125a', '422de196-1957-4554-84d5-58f815de63c6', 'cbc03392-2f76-4a19-bdf8-465a521da5b8', 'd920ec45-324a-40f5-9a9b-e0f2ccce0307']",7,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:07.494,Pass,True
