50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,1ce87d30-b18b-4be6-af05-46f0a9322d76,1,,,2275027,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 21023, 'name': 'Amanda Nildén'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,f4e6937b-2dca-4c12-ab0d-b83426bd68dc,2,,,2275027,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,563ae5c5-51fd-4e4d-a0d2-00c399220b14,3,,,2275027,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['b609f355-df30-4839-a6d1-7f2d1981f90c'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,b609f355-df30-4839-a6d1-7f2d1981f90c,4,,,2275027,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['563ae5c5-51fd-4e4d-a0d2-00c399220b14'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,ea320353-4340-435e-948d-449eb25b0a74,1591,,,2275027,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Everton LFC,967,['628921eb-1295-4cc3-b1c7-67c57b9cbd44'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,628921eb-1295-4cc3-b1c7-67c57b9cbd44,1592,,,2275027,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Everton LFC,967,['ea320353-4340-435e-948d-449eb25b0a74'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,2.241611,,,,,,,,,,,5340d73f-a4be-4050-ab76-e89f12bd01c0,5,,"[61.0, 40.1]",2275027,0,,,,,-2.6822245,,Right Foot,,,"[32.9, 26.2]",,Ground Pass,,31.34996,,,,,Maya Le Tissier,22337.0,,,,,Kick Off,1,From Kick Off,Iniabasi Anefiok Umotong,16378.0,Center Forward,2,Brighton & Hove Albion WFC,965,['0e957b02-ce9c-4675-8fee-4fd68ba6c727'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.330,Pass,
,,,,,,,,,,,,,,1.426527,,,,,,,,,,,6549e07f-ba3d-4e75-9cef-fcaa7b928e9f,8,,"[34.6, 25.4]",2275027,0,,,,,-1.0988501,,Right Foot,,,"[44.4, 6.2]",,Ground Pass,,21.556438,,,,,Felicity Gibbons,16392.0,,,,,,1,From Kick Off,Maya Le Tissier,22337.0,Left Center Back,2,Brighton & Hove Albion WFC,965,['a7440d06-4853-4556-8448-81783a8de963'],3,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:03.415,Pass,
,,,,,,,,,,,,,,1.287024,,,,,,,,,,,55e47767-1239-4c8f-a34f-64e8711a2172,10,,"[44.4, 6.2]",2275027,0,,,,,-0.21072811,,Left Foot,,,"[63.1, 2.2]",,Ground Pass,,19.123022,,,,,Kayleigh Green,16400.0,,,,,,1,From Kick Off,Felicity Gibbons,16392.0,Left Back,2,Brighton & Hove Albion WFC,965,['5da66b45-e0d4-4bdd-9345-d21977bb859d'],4,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:04.841,Pass,
,,,,,,,,,,,,,,0.14372,,,,,,,,,,,1cebecb5-0a07-4839-a12d-fe5e9946d442,15,,"[54.9, 4.9]",2275027,0,,,,,2.5782764,,Right Foot,,,"[53.0, 6.1]",,Ground Pass,,2.2472205,,,Incomplete,,Danielle Buet,20034.0,,,,,,1,From Kick Off,Kayleigh Green,16400.0,Right Wing,2,Brighton & Hove Albion WFC,965,"['29f669f8-d13c-4b20-a320-0895025ba32a', '3411441d-1d71-48bb-b2b0-142b240ee05f', 'c56dbcb7-97a9-4cff-a923-c563d2933095', 'e233bce2-b646-4dd5-895b-2e3b33e23391']",7,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:07.127,Pass,True
