bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,5.313501,,,,,,,,,,,,e5d74c2c-eed4-423f-bccb-38c29c3445f7,14,,"[31.6, 57.5]",2275144,0,,,,,0.03314667,,Right Foot,,,,"[88.9, 59.4]",,High Pass,,57.331493,,Incomplete,Jessica Sigsworth,31535.0,,,,,,,1,Regular Play,Abbie McManus,4648.0,Right Center Back,3,Manchester United,1475,"['03f71216-b415-4f91-b1be-5a3b667fa588', '514ded6a-4e90-48ca-b3cb-ce5976706832']",6,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:06.634,Pass,
,,,,,,,,,,,,,,,,,0.715874,,,,,,,,,,,,2aa4bde4-6e13-4018-93fa-70202ec41707,18,,"[110.0, 0.1]",2275144,0,,,,,1.4754976,,,,,,"[111.3, 13.7]",,Low Pass,,13.661991,,,Ella Toone,31534.0,,,,,,Throw-in,1,From Throw In,Lotta Ökvist,50460.0,Left Back,4,Manchester United,1475,['96e3acdc-10fc-4a96-adef-79b2a1eab219'],30,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:30.723,Pass,
,,,,,,,,,,,,,,,,,1.474494,,,,,,,,,,,,08a4b2fc-2699-4cdf-b2b0-423c4425247e,22,,"[110.7, 5.0]",2275144,0,,,,,-0.8315193,,Right Foot,,,,"[113.8, 1.6]",,Ground Pass,,4.6010866,,Out,Lotta Ökvist,50460.0,,,,,,,1,From Throw In,Ella Toone,31534.0,Right Wing,4,Manchester United,1475,"['1dec1ba9-f09f-4dce-87c7-9c555b33dac5', '903e82b3-59c2-4565-9092-bf2f9ead5aea']",34,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:34.060,Pass,True
,,,,,,,,,,,,,,,,,1.583179,,,,,,,,,,,,7f05b4e2-ab7c-4038-9427-93dc229020ac,24,,"[9.0, 80.0]",2275144,0,,,,,-0.2701532,,,,,,"[28.5, 74.6]",,High Pass,,20.233883,,,Chloe Kelly,15570.0,,,,,,Throw-in,1,From Throw In,Esme Beth Morgan,4649.0,Right Back,5,Everton LFC,967,['70a289ff-df8e-4be5-800c-61c422658430'],52,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:52.702,Pass,
,,,,,,,,,,,,,,,,,2.559451,,,,,,,,,,,,fa1c6847-93ff-46b1-a967-8a0bfd826e8d,29,,"[29.2, 74.4]",2275144,0,,,,,-0.12184244,,Right Foot,,,,"[53.7, 71.4]",,High Pass,,24.682991,,Incomplete,Lucy Hope,16386.0,,,,,,,1,From Throw In,Chloe Kelly,15570.0,Center Forward,5,Everton LFC,967,"['12b6b9b3-5d07-48fa-9d05-c7e7d0647ada', '21faba27-d8bc-4ef8-9ffb-cc73ae9d0a35', 'f6f6813a-7725-4c8f-aa12-faec9f970f2b']",55,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:55.318,Pass,True
,,,,,,,,,,,,,,,,,1.944692,,,,,,,,,,,,f6f6813a-7725-4c8f-aa12-faec9f970f2b,32,,"[66.4, 8.7]",2275144,0,,,,,0.112565614,,Other,,,,"[77.9, 10.0]",,High Pass,,11.573245,,Incomplete,,,,,,,,Recovery,1,From Throw In,Millie Turner,31536.0,Left Center Back,5,Everton LFC,967,"['2b60341c-4e29-4c27-9f4b-bf570b0dbfba', 'fa1c6847-93ff-46b1-a967-8a0bfd826e8d']",57,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:57.877,Pass,
,,,,,,,,,,,,,,,,,0.801103,,,,,,,,,,,,7df044a6-3795-40a0-836e-7555ae2d6b3f,35,,"[48.6, 70.3]",2275144,1,,,,,0.36933365,,Right Foot,,,,"[54.8, 72.7]",,Low Pass,,6.6483083,,Incomplete,Lucy Hope,16386.0,,,,,,,1,From Throw In,Chantelle Boye-Hlorkah,15556.0,Right Wing,5,Everton LFC,967,"['10ed0ecd-a551-456b-8b78-262c791f8b69', '782b6450-5e9f-4a05-adb6-0668b9006c93']",0,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:00.251,Pass,
,,,,,,,,,,,True,,,,,,1.251682,,,,,,,,,,,,782b6450-5e9f-4a05-adb6-0668b9006c93,37,,"[65.3, 7.4]",2275144,1,,,,,2.465348,,Left Foot,,,,"[57.2, 13.9]",,Low Pass,,10.385567,,,Millie Turner,31536.0,,,,,,Interception,1,Regular Play,Lotta Ökvist,50460.0,Left Back,6,Manchester United,1475,"['7df044a6-3795-40a0-836e-7555ae2d6b3f', 'c15ca98f-af91-4a12-908f-bb5c93c90de5']",1,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:01.053,Pass,
,,,,,,,,,,,,,,,,,1.523695,,,,,,,,,,,,ab7c421c-84f5-4a28-89df-ac97c6b1221f,40,,"[56.1, 14.1]",2275144,1,,,,,2.4486134,,Right Foot,,,,"[44.9, 23.4]",,Ground Pass,,14.557816,,,Abbie McManus,4648.0,,,,,,,1,Regular Play,Millie Turner,31536.0,Left Center Back,6,Manchester United,1475,['8a671c61-9500-4f41-99a6-76eb225e3d2e'],2,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:02.344,Pass,
,,,,,,,,,,,,,,,,,1.491892,,,,,,,,,,,,29b450a9-022f-41c3-aee2-5b445fc0ed1e,43,,"[32.0, 28.1]",2275144,1,,,,,2.4952905,,Right Foot,,,,"[14.9, 41.0]",,Low Pass,,21.420084,,,Mary Alexandra Earps,31538.0,,,,,,,1,Regular Play,Abbie McManus,4648.0,Right Center Back,6,Manchester United,1475,['647764f9-ba49-432b-890f-3216bd3a3e91'],4,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:04.976,Pass,
,,,,,,,,,,,,,,,,,2.277224,,,,,,,,,,,,ac8aa0d3-dc4d-4ae7-843c-481e67a6b009,47,,"[15.5, 45.2]",2275144,1,,,,,0.63231945,,Right Foot,,,,"[55.9, 74.8]",,High Pass,,50.08313,,,Jessica Sigsworth,31535.0,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,6,Manchester United,1475,['7c454140-fec1-4d70-a627-38b1ad6ba1cf'],9,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:09.588,Pass,
,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,785b5c04-4553-49d8-824b-942944cbfe60,49,,"[55.9, 74.8]",2275144,1,,,,True,0.0,,,,,,"[55.9, 74.8]",,High Pass,,0.0,,Incomplete,,,,,,,,,1,Regular Play,Jessica Sigsworth,31535.0,Right Center Midfield,6,Manchester United,1475,"['d9c6d67f-b0bf-4c04-a89d-049168f3da23', 'f7f12689-4188-4f19-a55e-35ef01722809']",11,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:11.865,Pass,True
,,,,,,,,,,,,,,,,,6.026339,,,,,,,,,,,,5c09b251-da79-4963-8218-16716ee03fc6,53,,"[63.3, 3.6]",2275144,1,,,,,0.6789806,,Left Foot,,,,"[106.3, 38.3]",,High Pass,,55.254772,,Incomplete,,,,,,,,Recovery,1,Regular Play,Danielle Turner,15571.0,Left Back,6,Manchester United,1475,"['18b7f390-c645-4038-83eb-2136297b17d1', '80c17b8f-3e0f-41bb-bd16-f23ba4c82545']",14,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:14.333,Pass,True
,,,,,,,,,,,,,,,,,4.005723,,,,,,,,,,,,ac0a5db0-0a6f-46a8-81dd-7f0b41e8720e,57,,"[14.8, 40.0]",2275144,1,,,,,-1.1144037,,Keeper Arm,,,,"[31.1, 6.8]",,Low Pass,,36.98554,,,Lotta Ökvist,50460.0,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,6,Manchester United,1475,['8f0ebb01-aaa9-451c-b922-1c6635cb4d80'],21,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:21.028,Pass,
,,,,,,,,,,,,,,,,,1.239125,,,,,,,,,,,,a323e4b2-601d-4bdb-af1a-ae46b707b801,60,,"[34.7, 5.5]",2275144,1,,,,,2.383965,,Left Foot,,,,"[23.6, 16.0]",,Ground Pass,,15.279398,,,Millie Turner,31536.0,,,,,,,1,Regular Play,Lotta Ökvist,50460.0,Left Back,6,Manchester United,1475,['08763dff-9dc8-4116-a838-8c6cd8255b99'],27,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:27.461,Pass,
,,,,,,,,,,,,,,,,,1.748943,,,,,,,,,,,,dc6d89c6-5384-4d01-83d5-57e9cca3cb79,63,,"[23.1, 19.6]",2275144,1,,,,,2.2314632,,Left Foot,,,,"[8.8, 38.0]",,Ground Pass,,23.303432,,,Mary Alexandra Earps,31538.0,,,,,,,1,Regular Play,Millie Turner,31536.0,Left Center Back,6,Manchester United,1475,['57951f41-40c5-46cb-a1d7-89a77e56d5f7'],30,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:30.282,Pass,
,,,,,,,,,,,,,,,,,1.956235,,,,,,,,,,,,c12b2e73-f72f-4253-9308-2b4bd6012ae3,66,,"[10.3, 40.3]",2275144,1,,,,,0.7587378,,Right Foot,,,,"[25.7, 54.9]",,Ground Pass,,21.220745,,,Abbie McManus,4648.0,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,6,Manchester United,1475,['a7dc8c8e-d15b-4988-ab65-8e0a45b7f4b3'],33,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:33.595,Pass,
,,,,,,,,,,,,,,,,,6.921863,,,,,,,,,,,,a7c612b5-5af3-497b-a0df-7339a7a9960c,69,,"[43.4, 65.3]",2275144,1,,,,,0.16491194,,Right Foot,,,,"[111.9, 76.7]",,High Pass,,69.44213,,,Kirsty Smith,10196.0,,,,,,,1,Regular Play,Abbie McManus,4648.0,Right Center Back,6,Manchester United,1475,['591cf459-2b40-42df-94e7-c102d7cb173c'],38,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:38.456,Pass,
,,,,,,,,,,,,,,,,,2.149046,,,,,,,,,,,,f5c1e21b-793c-4309-822f-0e02b386767b,76,,"[7.7, 2.6]",2275144,1,,,,,0.031403285,,Right Foot,,,,"[26.8, 3.2]",,Low Pass,,19.109423,,,Inessa Kaagman,15579.0,,,,,,,1,Regular Play,Danielle Turner,15571.0,Left Back,7,Everton LFC,967,['67014368-030b-40d5-90d9-343b508bc2e6'],48,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:48.434,Pass,
,,,,,,,,,,,,,,,,,0.132934,,,,,,,,,,,,a75e35ba-e900-40b8-98f5-a2058b446280,79,,"[25.7, 3.0]",2275144,1,,,,,0.104876935,,Left Foot,,,,"[27.6, 3.2]",,Ground Pass,,1.9104973,,Incomplete,,,,,,,,,1,Regular Play,Inessa Kaagman,15579.0,Left Wing,7,Everton LFC,967,"['2e88ae05-a0d8-48a2-acda-72dd60f602cb', '8364473e-2d6f-4850-82f3-f5a6dd6c3286']",50,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:50.583,Pass,True
,,,,,,,,,,,,,,,,,1.634594,,,,,,,,,,,,887cecf1-df51-443e-8276-5d5f8c7f0e92,81,,"[25.5, 0.1]",2275144,2,,,,,0.13828696,,,,,,"[44.9, 2.8]",,High Pass,,19.586985,,,Lucy Hope,16386.0,,,,,,Throw-in,1,From Throw In,Danielle Turner,15571.0,Left Back,8,Everton LFC,967,['e2c1dda5-a459-4cd4-8182-b75262aad2b4'],5,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:05.671,Pass,
,,,,,,,,,,,,,,,,,0.717867,,,,,,,,,,,,2d750761-1e15-4ec8-a6d5-f0e1d2c67c3a,84,,"[40.7, 3.6]",2275144,2,,,,True,0.16697016,,,,,,"[49.6, 5.1]",,High Pass,,9.025519,,Incomplete,,,,,,,,,1,From Throw In,Lucy Hope,16386.0,Center Attacking Midfield,8,Everton LFC,967,"['94b8d98f-abcf-4ced-8906-33ee50c98b4d', 'f4e74529-27cd-4a4f-9e2e-44e7cb227f2e']",7,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:07.306,Pass,True
,,,,,,,,,,,,,,,,,2.753139,,,,,,,,,,,,f4e74529-27cd-4a4f-9e2e-44e7cb227f2e,85,,"[70.5, 75.0]",2275144,2,,,,,-0.2917928,,Right Foot,,,,"[97.8, 66.8]",,High Pass,,28.504911,,Incomplete,Jessica Sigsworth,31535.0,,,,,,Recovery,1,From Throw In,Abbie McManus,4648.0,Right Center Back,8,Everton LFC,967,"['1582925a-49bd-4299-af80-990e628d1854', '168e7bba-9938-4779-9289-4becbef41402', '2d750761-1e15-4ec8-a6d5-f0e1d2c67c3a']",8,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:08.024,Pass,
,,,,,,,,,,,,,,,,,3.522734,,,,,,,,,,,,1582925a-49bd-4299-af80-990e628d1854,87,,"[22.3, 13.3]",2275144,2,,,,,0.90185004,,Head,,,,"[34.0, 28.1]",,High Pass,,18.866108,,,Maéva Clemaron,31713.0,,,,,,Recovery,1,From Throw In,Megan Finnigan,18254.0,Left Center Back,8,Everton LFC,967,"['80b1ff6a-1611-4199-b0e6-92cbedbe4c3b', 'f4e74529-27cd-4a4f-9e2e-44e7cb227f2e']",10,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:10.777,Pass,
,,,,,,,,,,,,,,,,,1.555174,,,,,,,,,,,,ff4f79e4-94fa-4396-93f9-43141ddfab7c,90,,"[33.7, 27.3]",2275144,2,,,,True,0.77403504,,,,,,"[42.6, 36.0]",,Low Pass,,12.445883,,Incomplete,,,,,,,,,1,From Throw In,Maéva Clemaron,31713.0,Right Defensive Midfield,8,Everton LFC,967,"['7ee07315-45c0-4a5d-916d-22ee1261c10b', 'e279963b-5ef5-4276-9813-fdafc1561813']",14,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:14.300,Pass,True
,,,,,,,,,,,,,,,,,4.85619,,,,,,,,,,,,7ee07315-45c0-4a5d-916d-22ee1261c10b,91,,"[77.5, 44.1]",2275144,2,,,,,-0.64987046,,Right Foot,,,,"[120.0, 11.8]",,High Pass,,53.381084,,Out,Leah Galton,31539.0,,,,,,Recovery,1,From Throw In,Hayley Ladd,19501.0,Left Center Midfield,8,Everton LFC,967,"['23169cbb-8ea9-4afe-b3ea-af986920e0e9', 'ff4f79e4-94fa-4396-93f9-43141ddfab7c']",15,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:15.855,Pass,
,,,,,,,,,,,,,,,,,1.84068,,,,,,,,,,,,039cac62-49d6-48ab-8ec3-d0f9936abb53,93,,"[6.0, 36.0]",2275144,2,,,,,-1.3981148,,Right Foot,,,,"[9.0, 18.8]",,Ground Pass,,17.459667,,,Megan Finnigan,18254.0,,,,,,Goal Kick,1,From Goal Kick,Alexandra MacIver,34360.0,Goalkeeper,9,Everton LFC,967,['efa29a2a-de89-42eb-819a-57f88506a978'],36,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:36.598,Pass,
,,,,,,,,,,,,,,,,,1.059403,,,,,,,,,,,,97d88c64-8f17-4274-9226-e2bcf3958bd1,96,,"[9.4, 16.1]",2275144,2,,,,,0.34302393,,Right Foot,,,,"[27.6, 22.6]",,Ground Pass,,19.32589,,,Abbey-Leigh Stringer,15573.0,,,,,,,1,From Goal Kick,Megan Finnigan,18254.0,Left Center Back,9,Everton LFC,967,['ad25d8df-dca8-42b6-8024-a3c9356a9382'],39,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:39.356,Pass,
,,,,,,,,,,,,,,,,,1.431134,,,,,,,,,,,,bb7bff76-a5ac-4573-ad5c-c55fbd1efb70,98,,"[27.6, 22.6]",2275144,2,,,,,-1.6103796,,Right Foot,,,,"[27.2, 12.5]",,Ground Pass,,10.107918,,,Megan Finnigan,18254.0,,,,,,,1,From Goal Kick,Abbey-Leigh Stringer,15573.0,Left Defensive Midfield,9,Everton LFC,967,['b83518bc-6b76-4196-ad03-5bed843a00a5'],40,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:40.416,Pass,
,,,,,,,,,,,,,,,,,1.531747,,,,,,,,,,,,2f8bd63e-3eab-444e-8f08-3ac573163b6f,102,,"[24.0, 9.5]",2275144,2,,,,,-0.5391054,,Right Foot,,,,"[35.2, 2.8]",,Ground Pass,,13.051054,,,Danielle Turner,15571.0,,,,,,,1,From Goal Kick,Megan Finnigan,18254.0,Left Center Back,9,Everton LFC,967,"['1c504c24-57e6-49e9-bc78-93e612a918e2', 'd76eb903-8242-43cc-8cbe-3495cc2d5428']",42,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:42.157,Pass,True
,,,,,,,,,,,,,,,,,0.348274,,,,,,,,,,,,a377d1ba-5722-4462-8525-7f4337459b66,106,,"[36.1, 3.6]",2275144,2,,,,,0.28255495,,Left Foot,,,,"[39.2, 4.5]",,Ground Pass,,3.2280025,,Incomplete,,,,,,,,,1,From Goal Kick,Danielle Turner,15571.0,Left Back,9,Everton LFC,967,"['3ed2d099-fb01-4b88-b412-085ed2c4d571', 'f5154177-74be-4350-937f-7e5be4479499']",43,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:43.865,Pass,True
,,,,,,,,,,,,,,,,,0.666345,,,,,,,,,,,,41848105-505e-4777-9757-bccb20997dfa,108,,"[50.4, 0.1]",2275144,2,,,,,0.22471116,,,,,,"[57.4, 1.7]",,Low Pass,,7.180529,,,Chloe Kelly,15570.0,,,,,,Throw-in,1,From Throw In,Danielle Turner,15571.0,Left Back,10,Everton LFC,967,['12977b57-f919-49f4-96c0-a36cfdc86344'],57,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:57.196,Pass,
,,,,,,,,,,,,,,,,,1.139755,,,,,,,,,,,,c6938797-64d3-4df0-944b-27e172e0fd81,110,,"[57.4, 1.7]",2275144,2,,,,,3.1415927,,Left Foot,,,,"[50.4, 1.7]",,Low Pass,,7.0,,,Danielle Turner,15571.0,,,,,,,1,From Throw In,Chloe Kelly,15570.0,Center Forward,10,Everton LFC,967,['1dc0f568-fc20-4482-af76-896313215187'],57,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:57.862,Pass,
