ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a93e00bb-e73c-4a28-8c9d-0b7d58c6fe98,1,,,2275042,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2aeff23a-cdfd-4966-8c6c-43b68dbc31d9,2,,,2275042,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31557, 'name': 'Katharina Baunach'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 23217, 'name': 'Tessel Middag'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b6973d21-f1d0-4910-9247-fa4165477202,3,,,2275042,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['a5ae4d40-8aa8-4aa5-822f-0080ac80ca7d'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a5ae4d40-8aa8-4aa5-822f-0080ac80ca7d,4,,,2275042,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['b6973d21-f1d0-4910-9247-fa4165477202'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6a650c55-866c-449c-a3b1-0c7cacb4125f,1556,,,2275042,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Manchester City WFC,746,['7c45dbc4-17a7-4d70-8ff2-9d0e0fe237c8'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7c45dbc4-17a7-4d70-8ff2-9d0e0fe237c8,1557,,,2275042,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Manchester City WFC,746,['6a650c55-866c-449c-a3b1-0c7cacb4125f'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.646163,,,,,,,,,,,cda45c33-da52-4d8c-8aa1-dc6d8ca64af6,5,,"[61.0, 40.1]",2275042,0,,,,-2.927532,,Right Foot,,,,"[51.8, 38.1]",,Ground Pass,,9.414882,,Caroline Weir,10188.0,,,,,,Kick Off,1,From Kick Off,Georgia Stanway,4643.0,Center Attacking Midfield,2,Manchester City WFC,746,['fe30978c-b89c-473e-889f-c97d9f5c5756'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.512,Pass,
,,,,,,,,,,,,,,,,,0.859014,,,,,,,,,,,2bfbf57e-2c54-4ff8-ba1c-5b457806d708,8,,"[53.0, 43.7]",2275042,0,,,,2.0765877,,Left Foot,,,,"[49.4, 50.2]",,Ground Pass,,7.430343,,Jill Scott,10172.0,,,,,,,1,From Kick Off,Caroline Weir,10188.0,Left Defensive Midfield,2,Manchester City WFC,746,['e589f6b7-ecc7-4297-9452-cceaf69b50fc'],2,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:02.318,Pass,
,,,,,,,,,,,,,,,,,1.714736,,,,,,,,,,,f3c1fea5-358c-48f6-a68f-4f758bb896c7,11,,"[47.1, 48.4]",2275042,0,,,,-2.418409,,Right Foot,,,,"[30.9, 34.1]",,Ground Pass,,21.608562,,Gemma Bonner,15554.0,,,,,,,1,From Kick Off,Jill Scott,10172.0,Right Defensive Midfield,2,Manchester City WFC,746,['4b8a3693-2faf-4ecd-9cbb-7fc8441061f6'],3,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:03.718,Pass,
,,,,,,,,,,,,,,,,,1.52471,,,,,,,,,,,1721e346-8c52-4bc9-a41e-3833ac1f3750,14,,"[31.4, 35.2]",2275042,0,,,,1.4619387,,Right Foot,,,,"[33.4, 53.5]",,Ground Pass,,18.408966,,Stephanie Houghton,10185.0,,,,,,,1,From Kick Off,Gemma Bonner,15554.0,Left Center Back,2,Manchester City WFC,746,['48a2dfd7-1f3c-4bd2-b6d3-15c4b5642109'],6,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:06.772,Pass,
