ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6c5ca391-91b9-4440-8c00-3d27b874cab0,1,,,,2275083,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 31567, 'name': 'Adrienne Jordan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 34375, 'name': 'Emma Rose Kelly'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 31565, 'name': 'Abbi Grant'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,df333c68-5ee1-4b77-b039-2a3dcea49440,2,,,,2275083,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 35407, 'name': 'Ga-Eul Jeon'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 21059, 'name': 'Katie Robinson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2636a395-1f55-47a0-8cbb-39f06ecfc4ab,3,,,,2275083,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['41c59ffe-8908-4457-a353-4e7837c00c19'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,41c59ffe-8908-4457-a353-4e7837c00c19,4,,,,2275083,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['2636a395-1f55-47a0-8cbb-39f06ecfc4ab'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f181aea1-058f-4dc3-bd36-ac192da9c71e,1729,,,,2275083,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Bristol City WFC,973,['9747a9f8-6c90-4245-a561-1122042d06d1'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9747a9f8-6c90-4245-a561-1122042d06d1,1730,,,,2275083,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Bristol City WFC,973,['f181aea1-058f-4dc3-bd36-ac192da9c71e'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.687616,,,,,,,,,,,,40c82ea3-e05e-4c6f-87f3-6eab3909179e,5,,,"[61.0, 40.1]",2275083,0,,,,2.5335927,,Left Foot,,,,"[46.2, 50.4]",,Ground Pass,,18.03136,,,Lucy Whipp,31566.0,,,,,Kick Off,1,From Kick Off,Rachel Williams,31563.0,Left Center Forward,2,Birmingham City WFC,969,['68501fc0-7f3e-4d80-bcdb-d6793b37ac76'],0,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.186,Pass,
,,,,,,,,,,,,,,,1.510635,,,,,,,,,,,,508cf7d8-c038-4d0a-9627-c9dcf819f4cd,9,,,"[45.4, 53.0]",2275083,0,,,,1.5707964,,Right Foot,,,,"[45.4, 74.0]",,Ground Pass,,21.0,,,Harriet Scott,19592.0,,,,,,1,From Kick Off,Lucy Whipp,31566.0,Left Center Midfield,2,Birmingham City WFC,969,"['54197887-40be-4ff1-a600-de0068c481a7', 'd3b8ee41-cc71-4785-b3eb-50c81d032fa1']",2,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:02.645,Pass,True
,,,,,,,,,,,,,,,0.43543,,,,,,,,,,,,9c6d7fec-d313-4e9a-a130-4101107a8937,13,,,"[46.2, 73.7]",2275083,0,,,,0.07677189,,Right Foot,,,,"[52.7, 74.2]",,High Pass,,6.519202,Incomplete,,,,,,,,,1,From Kick Off,Harriet Scott,19592.0,Right Back,2,Birmingham City WFC,969,"['a7566e62-1e29-44c2-b4b4-94eaf293eb74', 'f804deb2-9059-4859-b206-a9eca8e5cf79']",5,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:05.852,Pass,True
,,,,,,,,,,,,,,,1.558512,,,,,,,,,,,,6ebd3954-7d79-45ff-8592-b8873254ac4f,15,,,"[77.7, 80.0]",2275083,0,,,,-0.23985706,,,,,,"[96.1, 75.5]",,High Pass,,18.94228,,,Rachel Williams,31563.0,,,,,Throw-in,1,From Throw In,Harriet Scott,19592.0,Right Back,3,Birmingham City WFC,969,['7b922a52-1359-48e5-a3a7-be8f7d76cfa8'],20,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:20.236,Pass,
