ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,00ded2d7-fbc4-41f5-9607-b1229b629076,1,,,2275078,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 20725, 'name': 'Pauline Bremer'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,640ae507-5349-4102-9cf1-ad99c42f1b2b,2,,,2275078,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10651, 'name': 'Kika van Es'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 31713, 'name': 'Maéva Clemaron'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9e1dd11c-e21c-4202-ac0b-46c720225b97,3,,,2275078,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['c77def27-0f98-4090-b256-a6673c4eb6eb'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c77def27-0f98-4090-b256-a6673c4eb6eb,4,,,2275078,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['9e1dd11c-e21c-4202-ac0b-46c720225b97'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,207d4832-a757-422b-814c-5f940e932476,2046,,,2275078,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Manchester City WFC,746,['0fb5f0fd-96a4-4eb6-bb12-a601cd724f7e'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0fb5f0fd-96a4-4eb6-bb12-a601cd724f7e,2047,,,2275078,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Manchester City WFC,746,['207d4832-a757-422b-814c-5f940e932476'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.708,,,,,,,,,,,,,,eba923d4-6f67-4085-927f-896bd5b4160f,5,,"[60.0, 40.0]",2275078,0,,,,2.896614,,Right Foot,,,,"[49.2, 42.7]",,Ground Pass,,11.132385,,,Keira Walsh,4658.0,,,,,Kick Off,1,From Kick Off,Georgia Stanway,4643.0,Left Center Forward,2,Manchester City WFC,746,['4603ba13-5cb6-4f6f-ad97-c77c7e26687e'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.040,Pass,
,,,,,,,,,,,,,,,0.692954,,,,,,,,,,,,,,d581a754-18f1-484f-9729-6cef7c2c6fd9,8,,"[50.3, 42.9]",2275078,0,,,,-2.1806023,,Right Foot,,,,"[45.2, 35.6]",,Ground Pass,,8.905055,,,Caroline Weir,10188.0,,,,,,1,From Kick Off,Keira Walsh,4658.0,Right Defensive Midfield,2,Manchester City WFC,746,['d624266b-6be7-46ea-bcf9-1a42379fdc07'],1,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:01.332,Pass,
,,,,,,,,,,,,,,,1.27291,,,,,,,,,,,,,,352a9cbd-1557-4830-89c8-f163b44278fa,12,,"[45.2, 33.7]",2275078,0,,,,-1.6268432,,Left Foot,,,,"[43.5, 3.4]",,Ground Pass,,30.347652,,,Demi Stokes,4651.0,,,,,,1,From Kick Off,Caroline Weir,10188.0,Left Defensive Midfield,2,Manchester City WFC,746,"['3f35a3d9-cab4-47db-981e-bd063122a51a', 'b8093d4e-ff62-4df9-a964-69a664669548']",2,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:02.957,Pass,True
,,,,,,,,,,,,,,,0.873507,,,,,,,,,,,,,,86cfd03f-756e-410a-b921-9ecdfa609530,15,,"[40.7, 3.6]",2275078,0,,,,1.2770283,,Right Foot,,,,"[44.3, 15.5]",,Ground Pass,,12.432618,,,Caroline Weir,10188.0,,,,,,1,From Kick Off,Demi Stokes,4651.0,Left Back,2,Manchester City WFC,746,['76972ae4-884e-4708-a5ee-beb74fdb40f0'],5,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:05.795,Pass,
