ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[2.3, 58.3]",,,,,,,,,,,,1.637721,,,,,,,,,,,,858aced5-3b50-4762-87cb-854245409274,1607,,"[2.3, 57.6]",2275074,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Georgia Brougham,15574.0,Right Center Back,86,Birmingham City WFC,969,"['b0c00e3b-0689-4eb6-8e15-8201d0eda5e0', 'dd7f37da-cac0-4f35-b555-3ad2f2b80709']",22,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:40:22.112,Carry,
,,,,,"[27.6, 67.8]",,,,,,,,,,,,2.970866,,,,,,,,,,,,6e150270-2f7b-41d6-8018-690c1cda5d48,1610,,"[35.5, 71.3]",2275074,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Chloe Arthur,10193.0,Right Defensive Midfield,86,Birmingham City WFC,969,"['54c2f47d-801d-4965-8758-0ba973212cf9', 'a9de5b12-c5e7-4798-9346-bc217db5f2c8', 'e447c25e-fa1f-41fb-96c5-8cfe7f2fe3ba']",25,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:40:25.703,Carry,True
,,,,,"[20.9, 77.1]",,,,,,,,,,,,0.33028,,,,,,,,,,,,40ebd18a-de6f-4eb0-bec0-ddd4d546f0b1,1621,,"[20.7, 77.3]",2275074,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sarah Emma Mayling,19500.0,Right Back,87,Birmingham City WFC,969,"['2152a020-4fff-46ae-a3d2-345a7a3d9b6d', 'bb002ac2-92c1-4d7e-8247-b200b9eeb32f', 'db113526-fa20-46f1-a2f7-3d7525dbae43']",49,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:40:49.024,Carry,True
,,,,,"[12.3, 66.0]",,,,,,,,,,,,1.995147,,,,,,,,,,,,9acb6aa4-1293-47bf-804e-ce95c0d8a75e,1624,,"[14.0, 67.6]",2275074,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Georgia Brougham,15574.0,Right Center Back,87,Birmingham City WFC,969,"['6212c9e6-5a8c-4607-b650-d259179b886c', '8251d0b0-96b3-403c-b2b0-689b9b5e6903']",50,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:40:50.143,Carry,
,,,,,"[28.7, 11.7]",,,,,,,,,,,,7.130223,,,,,,,,,,,,82447bdc-c0b4-487b-a979-e8487f5199c5,1627,,"[19.8, 13.5]",2275074,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adrienne Jordan,31567.0,Left Back,87,Birmingham City WFC,969,"['6364c7c7-dd41-4922-906f-403a9ef847d8', 'dbb76148-5fe3-4af3-bcc7-c7782aa22ce9']",55,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:40:55.736,Carry,
,,,,,"[56.8, 28.1]",,,,,,,,,,,,0.357607,,,,,,,,,,,,db369ec7-7773-479f-add5-7e48730b686b,1631,,"[57.9, 26.3]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rachel Williams,31563.0,Center Forward,87,Birmingham City WFC,969,"['3bf32911-1e27-4127-8aad-4812f6b5f1e5', 'ae9621a7-4a18-4847-8e73-66ea271d7a7c', 'ec30f9b3-0f42-4572-b8c7-2e4619f2e0bc']",5,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:05.168,Carry,True
,,,,,"[47.7, 37.4]",,,,,,,,,,,,0.040000003,,,,,,,,,,,,e67cca8a-2aac-4fd7-8e64-0591a2258d01,1634,,"[47.7, 37.4]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Chloe Arthur,10193.0,Right Defensive Midfield,87,Birmingham City WFC,969,"['07dd8777-ab0f-4cc7-bbe8-dd52bc7dbcf6', '7da21460-a976-449b-8875-c1d2b6a3ce5e']",6,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:06.300,Carry,
,,,,,"[57.0, 34.8]",,,,,,,,,,,,0.040000003,,,,,,,,,,,,9c56c6ff-3ee7-4609-8c84-b8f97545b8c1,1637,,"[57.0, 34.8]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rachel Williams,31563.0,Center Forward,87,Birmingham City WFC,969,"['03a035ec-ec00-40e9-9583-e436944e45ea', '63468c46-4de0-4cac-b193-986baf7ae346']",6,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:06.852,Carry,
,,,,,"[73.5, 34.7]",,,,,,,,,,,,2.306367,,,,,,,,,,,,156b76aa-6f61-4faf-b160-b3d205b6c4a4,1640,,"[63.5, 34.5]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Guro Reiten,10514.0,Left Midfield,87,Birmingham City WFC,969,"['79b1881b-f66f-423e-8cf9-ad7b9d79261e', 'c63384b4-731d-4c42-a6f1-bab68e3a9fff', 'd47e8cbb-3d94-4c8a-b1a1-a145ad270e50']",8,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:41:08.380,Carry,True
,,,,,"[24.0, 27.7]",,,,,,,,,,,,0.387862,,,,,,,,,,,,04564e22-6316-4152-88c6-857cff491e19,1646,,"[24.0, 29.7]",2275074,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kerys Harrop,15569.0,Left Center Back,87,Birmingham City WFC,969,"['1bab0766-8ca5-4e07-880a-15112bd22d76', 'd4128ec9-deab-4281-bb50-3b77646cffb0']",13,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:41:13.191,Carry,
