bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.270473,,,,,,,,,,,37235eb3-5f9c-49d1-809d-087d75617bf5,241,,"[51.1, 18.0]",2275072,6,,,,,-3.0151522,,Right Foot,,,,"[39.3, 16.5]",,Ground Pass,,11.894957,,,Josanne Potter,10198.0,,,,,Recovery,1,From Free Kick,Remi Allen,18149.0,Left Midfield,20,Chelsea FCW,971,['088d5b03-5ec7-41a0-9b88-b642330b882a'],29,,,,,,,,,,,,,,,,,,Reading WFC,974,00:06:29.445,Pass,
,,,,,,,,,,,,,,,,,2.456732,,,,,,,,,,,7dec55f9-6382-48d2-be1f-5670d1e08530,244,,"[40.2, 14.7]",2275072,6,,,,,-0.22411212,,Left Foot,,,,"[67.4, 8.5]",,High Pass,,27.89767,,Incomplete,Brooke Chaplen,15723.0,,,,,,1,From Free Kick,Josanne Potter,10198.0,Left Center Back,20,Chelsea FCW,971,"['42e4521c-f456-414b-84f3-bc2ec89f8567', '8f54f76b-2064-4961-8e79-ecd1427ac2bb']",30,,,,,,,,,,,,,,,,,,Reading WFC,974,00:06:30.788,Pass,
,,,,,,,,,,,,,,,,,2.31478,,,,,,,,,,,8f54f76b-2064-4961-8e79-ecd1427ac2bb,247,,"[52.7, 71.6]",2275072,6,,,,True,0.021735707,,,,,,"[71.1, 72.0]",,High Pass,,18.404346,,,Samantha May Kerr,4961.0,,,,,Recovery,1,From Free Kick,Millie Bright,4642.0,Right Center Back,20,Chelsea FCW,971,"['0ce0d17c-1973-40cb-8fac-9ac33637c21d', '2c07184b-3746-4b7f-bbfe-8444e304eec8', '7dec55f9-6382-48d2-be1f-5670d1e08530']",33,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:06:33.244,Pass,True
,,,,,,,,,,,,,,,,,1.707679,,,,,,,,,,,034c0fa4-baee-4647-80a6-256638d65add,254,,"[65.7, 74.7]",2275072,6,,,,,0.26958907,,Right Foot,,,,"[80.9, 78.9]",,Ground Pass,,15.769591,,,Sophie Louise Ingle,15549.0,,,,,,1,From Free Kick,Samantha May Kerr,4961.0,Right Wing,20,Chelsea FCW,971,['66670187-7457-459a-99c4-b4bd52e9a8b4'],37,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:06:37.908,Pass,
,,,,,,,,,,,,,,,,,2.909361,,,,,,,,,,,10275b10-45e4-4f8a-858d-472d7e70dc7d,257,,"[84.7, 79.2]",2275072,6,,,,,-0.76063544,,Right Foot,True,,,"[117.8, 47.7]",,High Pass,,45.693108,,Incomplete,Bethany England,15550.0,,,,,,1,From Free Kick,Sophie Louise Ingle,15549.0,Right Defensive Midfield,20,Chelsea FCW,971,"['a2942bfc-2c7f-41cf-84f1-650bbe7c6c68', 'b3fb6761-2672-4bd4-a87a-f18ad05d6559']",40,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:06:40.346,Pass,
,,,,,,,,,,,,,,,,,1.336294,,,,,,,,,,,f40b8e84-fc47-40af-95b0-ca2d83b65a29,261,,"[4.5, 29.5]",2275072,6,,,,,-0.7949217,,Keeper Arm,,,,"[14.9, 18.9]",,Ground Pass,,14.8499155,,,Josanne Potter,10198.0,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,21,Reading WFC,974,['6f8f1a4b-3d10-4e74-98d7-cebdf592bd5c'],44,,,,,,,,,,,,,,,,,,Reading WFC,974,00:06:44.068,Pass,
,,,,,,,,,,,,,,,,,2.150588,,,,,,,,,,,1de9bcae-94d5-40b6-b7cb-6f1d706215a0,263,,"[13.7, 19.6]",2275072,6,,True,,,2.1447437,,Left Foot,,,,"[6.2, 31.2]",,Ground Pass,,13.813399,,,Grace Moloney,15719.0,,,,,,1,Regular Play,Josanne Potter,10198.0,Left Center Back,21,Reading WFC,974,['333aae6c-4076-4a20-8373-82f7c04a3500'],50,,,,,,,,,,,,,,,,,,Reading WFC,974,00:06:50.326,Pass,
,,,,,,,,,,,,,,,,,2.534255,,,,,,,,,,,56a0d531-b286-4dd8-a499-18dea71daa01,265,,"[13.4, 30.2]",2275072,6,,,,,-0.13229516,,Right Foot,,,,"[64.5, 23.4]",,High Pass,,51.55046,,Incomplete,Brooke Chaplen,15723.0,,,,,,1,Regular Play,Grace Moloney,15719.0,Goalkeeper,21,Reading WFC,974,"['557ff810-dc31-4625-9fe6-7c135eec8cfc', 'c3682f34-8886-412a-887b-8bf505922b9d']",57,,,,,,,,,,,,,,,,,,Reading WFC,974,00:06:57.789,Pass,
,,,,,,,,,,,,,,,,,4.103342,,,,,,,,,,,c3682f34-8886-412a-887b-8bf505922b9d,267,,"[55.6, 56.7]",2275072,7,,,,,2.7563553,,Head,,,,"[26.5, 68.5]",,Low Pass,,31.401434,,,Magdalena Lilly Eriksson,4633.0,,,,,Recovery,1,Regular Play,Maren Nævdal Mjelde,10395.0,Right Back,22,Chelsea FCW,971,"['56a0d531-b286-4dd8-a499-18dea71daa01', 'b4d0a591-637c-410f-b579-24de653dcbb0']",0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:07:00.323,Pass,
,,,,,,,,,,,,,,,,,1.557915,,,,,,,,,,,91d82ee9-3083-413a-b6c3-8f2a7d3225eb,271,,"[11.3, 70.2]",2275072,7,,,,,-2.0166793,,Left Foot,,,,"[3.7, 54.3]",,Ground Pass,,17.622997,,,Ann-Katrin Berger,15560.0,,,,,,1,Regular Play,Magdalena Lilly Eriksson,4633.0,Left Center Back,22,Chelsea FCW,971,"['5b702bb8-6297-47b9-842a-2498dc05a99a', 'b7de1edf-6e80-45bd-9dc8-7add898631a9']",6,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:07:06.080,Pass,True
