50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b8b9855e-d477-473a-ade6-c3ce73c300cc,1,,,2275130,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5bbc4b04-6387-486f-b553-2df7ecf62743,2,,,2275130,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fce19a5f-4b9a-4d26-8ce8-667e161f6f36,3,,,2275130,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['c414f4c5-6d3f-43d0-a571-e0c125f16698'],0,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c414f4c5-6d3f-43d0-a571-e0c125f16698,4,,,2275130,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['fce19a5f-4b9a-4d26-8ce8-667e161f6f36'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,True,8bb4eae6-31cb-47a0-ac61-94bcde6bfbad,1741,,,2275130,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Manchester City WFC,746,['78cdeb45-8b86-48cf-b3fd-e8e905d7a18f'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,True,78cdeb45-8b86-48cf-b3fd-e8e905d7a18f,1742,,,2275130,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Manchester City WFC,746,['8bb4eae6-31cb-47a0-ac61-94bcde6bfbad'],0,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.909711,,,,,,,,,,,,,5725cd6c-113b-4903-9893-477743eabbd2,5,,"[61.0, 40.1]",2275130,0,,,,3.0228872,,Right Foot,,,,"[50.1, 41.4]",,Ground Pass,,10.977249,,,,Keira Walsh,4658.0,,,,,,Kick Off,1,From Kick Off,Ellen White,10180.0,Right Center Forward,2,Manchester City WFC,746,['394af515-f55c-4e43-b80d-fd9814d5bfdb'],0,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.094,Pass,
,,,,,,,,,,,,,,,,,0.683427,,,,,,,,,,,,,59ef91ab-f4c2-4454-b8fb-a3ec077bee0f,8,,"[48.8, 41.1]",2275130,0,,,,-2.001261,,Right Foot,,,,"[44.3, 31.3]",,Ground Pass,,10.783784,,,,Caroline Weir,10188.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Right Defensive Midfield,2,Manchester City WFC,746,['179f8099-e462-46db-bcc1-bae8f331be47'],1,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:01.502,Pass,
,,,,,,,,,,,,,,,,,1.618422,,,,,,,,,,,,,45259b29-396f-415e-8d64-828fbb940e9a,12,,"[43.2, 26.6]",2275130,0,,,,-2.077895,,Left Foot,,,,"[33.2, 8.6]",,Ground Pass,,20.59126,,,,Demi Stokes,4651.0,,,,,,,1,From Kick Off,Caroline Weir,10188.0,Left Defensive Midfield,2,Manchester City WFC,746,"['07f8c74a-3036-453d-88d7-d2baee718f88', '53a5f00c-6275-4030-945d-76e9d98fce71']",2,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:02.987,Pass,True
,,,,,,,,,,,,,,,,,1.326979,,,,,,,,,,,,,26e2a737-2bd4-40a3-9fe2-f45f76d0a919,15,,"[34.6, 10.6]",2275130,0,,,,2.4720907,,Left Foot,,,,"[15.9, 25.4]",,Ground Pass,,23.84806,,,,Gemma Bonner,15554.0,,,,,,,1,From Kick Off,Demi Stokes,4651.0,Left Back,2,Manchester City WFC,746,['8fea1aa7-6919-429d-bfbe-7419cee84e61'],5,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:05.773,Pass,
