50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,75de4706-7e39-4aff-ba64-84e12ea8f712,1,,,,2275077,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,23ff3f3c-3170-4cff-9f8e-db2f4db7c32f,2,,,,2275077,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 23217, 'name': 'Tessel Middag'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,913d93da-982e-45ec-bba1-874af49e5fa4,3,,,,2275077,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['1de3d7c1-c6ba-4a48-9440-1b9248351807'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1de3d7c1-c6ba-4a48-9440-1b9248351807,4,,,,2275077,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['913d93da-982e-45ec-bba1-874af49e5fa4'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0f14b85c-7eb2-487c-8308-930a327b568b,1441,,,,2275077,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Tottenham Hotspur Women,749,['4c5a2405-b26d-4df1-977c-1757420986c3'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4c5a2405-b26d-4df1-977c-1757420986c3,1442,,,,2275077,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Tottenham Hotspur Women,749,['0f14b85c-7eb2-487c-8308-930a327b568b'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.756016,,,,,,,,,,,2e24a372-1c20-4b7a-b6c2-fb856bafec8a,5,,,"[60.0, 40.0]",2275077,0,,,,-2.6525626,,Right Foot,,,"[32.0, 25.1]",,Ground Pass,,31.71766,,,Anna Filbey,31703.0,,,,,Kick Off,1,From Kick Off,Rianna Dean,31702.0,Center Forward,2,Tottenham Hotspur Women,749,['6cd784d9-331b-402e-b881-6583a74e4e4a'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.140,Pass,
,,,,,,,,,,,,,,,,,,2.095118,,,,,,,,,,,6207043e-48b4-4952-8f58-97c3c898655a,8,,,"[37.7, 23.9]",2275077,0,,,,0.07213569,,Left Foot,,,"[80.6, 27.0]",,High Pass,,43.01186,Incomplete,,Rianna Dean,31702.0,,,,,,1,From Kick Off,Anna Filbey,31703.0,Left Center Back,2,Tottenham Hotspur Women,749,"['48409a64-b005-48e3-97e5-902eb2961dfe', '7a4448f1-1785-4988-bc99-53764eb16606']",4,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:04.091,Pass,
,,,,,,,,,,,,,,,,,,1.342388,,,,,,,,,,,48409a64-b005-48e3-97e5-902eb2961dfe,10,,,"[39.5, 53.1]",2275077,0,,,,-0.41167134,,Head,,,"[46.6, 50.0]",,Low Pass,,7.7472577,,,Kate Longhurst,18147.0,,,,,Recovery,1,Regular Play,Grace Fisk,34232.0,Right Center Back,3,West Ham United LFC,972,"['6207043e-48b4-4952-8f58-97c3c898655a', 'e767577a-4523-4ad7-8cbc-b9e2c72ad3be']",6,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:06.186,Pass,
,,,,,,,,,,,,,,,,,,1.314036,,,,,,,,,,,3d81b740-c4ef-4705-a6fa-32cadf94257b,14,,,"[47.2, 52.7]",2275077,0,,,,1.0710709,,Right Foot,,,"[57.3, 71.2]",,Low Pass,,21.077477,Incomplete,,Adriana Kristina Leon,8297.0,,,,,,1,Regular Play,Kate Longhurst,18147.0,Left Center Midfield,3,West Ham United LFC,972,"['4dc1b3af-446c-45b1-b6e1-1ea68d3dfa9f', 'c4052dc4-c1ae-48b0-bd9e-981e3ea8b7f5']",9,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:09.636,Pass,
