ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8fd7857b-f1bf-4c3d-b515-b617e40326c1,1,,,2275065,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 19420, 'name': 'Fern Whelan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 23289, 'name': 'Emily Simpkins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 31529, 'name': 'Léa Le Garrec'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e4136af8-2a0a-4862-a923-3b1f33e7288d,2,,,2275065,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 31567, 'name': 'Adrienne Jordan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 21556, 'name': 'Connie Scofield'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 31565, 'name': 'Abbi Grant'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dcf670bd-cacf-4a19-8fb7-7591385c1bc0,3,,,2275065,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['bd2583d0-9dc4-4706-b013-0069348781a0'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bd2583d0-9dc4-4706-b013-0069348781a0,4,,,2275065,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['dcf670bd-cacf-4a19-8fb7-7591385c1bc0'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,35975fb3-68c3-4038-a5b4-aea383d375c6,1742,,,2275065,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Birmingham City WFC,969,['d20f19cb-c8e2-4ae7-801f-ea784bb7710e'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d20f19cb-c8e2-4ae7-801f-ea784bb7710e,1743,,,2275065,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Birmingham City WFC,969,['35975fb3-68c3-4038-a5b4-aea383d375c6'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.962543,,,,,,,,,,,,,,1bfe58a3-63e2-428d-8ad2-09486937ce89,5,,"[61.0, 40.1]",2275065,0,,,,,2.8179078,,Right Foot,,"[45.5, 45.3]",,Ground Pass,,16.349007,,,Brianna Visalli,18157.0,,,,,,Kick Off,1,From Kick Off,Claudia Walker,15580.0,Center Forward,2,Birmingham City WFC,969,['9cd409ec-8b15-4d4e-b1ac-145cde847dc0'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.681,Pass,
,,,,,,,,,,,,,,,,1.999999,,,,,,,,,,,,,,42f5da75-583d-4338-9198-1e779b87b9bd,8,,"[45.0, 46.2]",2275065,0,,,,,-2.3533616,,Right Foot,,"[27.4, 28.5]",,Ground Pass,,24.96097,,,Rebecca Holloway,31568.0,,,,,,,1,From Kick Off,Brianna Visalli,18157.0,Left Center Midfield,2,Birmingham City WFC,969,['10f6fd9f-8435-45a9-a5b1-2f4439dffdea'],2,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:02.271,Pass,
,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,ca0a7310-a0a9-42f4-aa2f-a1b06182da48,11,,"[27.2, 25.6]",2275065,0,,,,,-1.2252407,,Left Foot,,"[32.6, 10.6]",,Ground Pass,,15.942396,,,Adrienne Jordan,31567.0,,,,,,,1,From Kick Off,Rebecca Holloway,31568.0,Left Center Back,2,Birmingham City WFC,969,['7b4192e7-1e21-4cd6-9c56-24c7a51ea44e'],5,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:05.893,Pass,
,,,,,,,,,,,,,,,,1.676982,,,,,,,,,,,,,,241a61b5-5b0e-47d0-ac50-f58b635ff1bb,15,,"[33.8, 9.0]",2275065,0,,,,,2.9451785,,Left Foot,,"[14.2, 12.9]",,Ground Pass,,19.984243,,,Rebecca Holloway,31568.0,,,,,,,1,From Kick Off,Adrienne Jordan,31567.0,Left Back,2,Birmingham City WFC,969,"['cedfcb07-2788-44e1-bd7f-473110f46c20', 'da1fe717-6864-4db8-8b3a-56a540ee6a97']",7,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:07.980,Pass,True
