ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ad6c21fd-8ef0-48d0-9a9f-ca9f728b9074,1,,,,2275082,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 3}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 4}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9301fd9a-a445-4ac2-b1ff-3b542402a64a,2,,,,2275082,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c1b70f31-577c-45e8-9768-ce284b0c8aff,3,,,,2275082,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['b5f4aee4-364d-4ab2-b4e0-4fecde808696'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b5f4aee4-364d-4ab2-b4e0-4fecde808696,4,,,,2275082,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['c1b70f31-577c-45e8-9768-ce284b0c8aff'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dc40e414-838b-4ed8-8153-72491c62a661,1924,,,,2275082,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Arsenal WFC,968,['15036e80-0dee-49e9-88f8-a01d50e9320d'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,15036e80-0dee-49e9-88f8-a01d50e9320d,1925,,,,2275082,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Arsenal WFC,968,['dc40e414-838b-4ed8-8153-72491c62a661'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.666152,,,,,,,,,,,63f40a4d-6248-42cd-bb70-176c7691c25c,5,,,"[61.0, 40.1]",2275082,0,,,,-2.8223236,,Right Foot,,,,"[36.8, 32.1]",Ground Pass,,25.488037,,Anna Filbey,31703.0,,,,,,Kick Off,1,From Kick Off,Rianna Dean,31702.0,Left Center Forward,2,Tottenham Hotspur Women,749,['262743ad-957e-4afa-89fd-21a0bf1b1c4f'],1,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:01.006,Pass,
,,,,,,,,,,,,,,,2.753189,,,,,,,,,,,7e7bb929-bff5-4a27-ab46-8115f2261753,8,,,"[36.6, 30.4]",2275082,0,,,,0.15983966,,Left Foot,,,,"[79.4, 37.3]",High Pass,,43.352623,Incomplete,Rianna Dean,31702.0,,,,,,,1,From Kick Off,Anna Filbey,31703.0,Left Center Back,2,Tottenham Hotspur Women,749,"['07d31692-83a0-4199-a8d2-e77d496e7bdb', '3c524c06-95d8-468e-9841-63f865349314']",3,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:03.083,Pass,
,,,,,,,,,,,,,,,1.621664,,,,,,,,,,,07d31692-83a0-4199-a8d2-e77d496e7bdb,10,,,"[40.7, 42.8]",2275082,0,,,,0.16633211,,Head,,,,"[54.4, 45.1]",High Pass,,13.891725,,Jordan Nobbs,10192.0,,,,,,Recovery,1,Regular Play,Kim Little,15616.0,Left Defensive Midfield,3,Arsenal WFC,968,"['4778af2c-ac35-4dae-8845-67c642c1c82c', '7e7bb929-bff5-4a27-ab46-8115f2261753']",5,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:05.836,Pass,
,,,,,,,,,,,,,,,2.33163,,,,,,,,,,,d9bae479-f271-45cf-8094-6fd42a5faeec,13,,,"[54.4, 45.1]",2275082,0,,,,-2.3884413,,Left Foot,,,,"[41.6, 33.1]",Low Pass,,17.54537,,Kim Little,15616.0,,,,,,,1,Regular Play,Jordan Nobbs,10192.0,Center Attacking Midfield,3,Arsenal WFC,968,['6c4162b2-c10e-43e5-a9a3-76d81477e1a4'],7,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:07.461,Pass,
,,,,,,,,,,,,,,,2.180669,,,,,,,,,,,c4bbe6bd-da8b-4dbc-91c8-c4f06961052d,15,,,"[41.8, 30.3]",2275082,0,,,,-1.1196704,,Left Foot,,,,"[52.7, 7.8]",Ground Pass,,25.0012,,Katie McCabe,15620.0,,,,,,,1,Regular Play,Kim Little,15616.0,Left Defensive Midfield,3,Arsenal WFC,968,['db07b202-41d4-4844-9ac5-101ed2d0e80b'],9,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:09.793,Pass,
,,,,,,,,,,,,,,,1.269841,,,,,,,,,,,de32f1cd-d4a2-44d1-a3e3-339a3aa12380,18,,,"[63.1, 5.5]",2275082,0,,,,0.6088329,,Left Foot,,,,"[77.3, 15.4]",Low Pass,,17.310402,Incomplete,Jordan Nobbs,10192.0,,,,,,,1,Regular Play,Katie McCabe,15620.0,Left Back,3,Arsenal WFC,968,"['56f7bc3d-000a-4123-b906-f7d3cff05229', '8415b76f-9f0e-4b64-b659-73e2b4400fec']",13,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:13.236,Pass,
,,,,,,,,,,,,,,,1.139259,,,,,,,,,,,ccf9325c-74ab-41af-af1a-202320b64902,22,,,"[53.2, 68.3]",2275082,0,,,,1.2120256,,Right Foot,,,,"[56.5, 77.1]",Ground Pass,,9.398404,,Ria Percival,18145.0,,,,,,,1,Regular Play,Hannah Godfrey,31552.0,Right Center Back,3,Arsenal WFC,968,['bf9127b0-53fe-4ac3-bdc0-fdf0354079ed'],16,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:16.840,Pass,
,,,,,,,,,,,,,,,2.274691,,,,,,,,,,,58b923ec-91ad-473c-8f0e-13e78784a01e,25,,,"[58.6, 77.5]",2275082,0,,,,0.07233733,,Right Foot,,,,"[93.1, 80.0]",High Pass,,34.59046,Out,Rianna Dean,31702.0,,,,,,,1,Regular Play,Ria Percival,18145.0,Right Midfield,3,Arsenal WFC,968,['df41202f-47e6-4ff5-95bf-3e529f4e9aa3'],19,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:19.184,Pass,
,,,,,,,,,,,,,,,1.515476,,,,,,,,,,,f056b1a8-a217-4184-8630-57ecf5001957,27,,,"[30.5, 0.1]",2275082,0,,,,0.17702636,,,,,,"[52.3, 4.0]",High Pass,,22.146105,,Vivianne Miedema,15623.0,,,,,,Throw-in,1,From Throw In,Katie McCabe,15620.0,Left Back,4,Arsenal WFC,968,['11b125ea-0b09-434e-8d42-61a7abc591c5'],42,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:42.209,Pass,
,,,,,,,,,,,,,,,2.287758,,,,,,,,,,,9fa45a80-0014-4fb3-9b92-faf1ad56d935,30,,,"[53.0, 5.0]",2275082,0,,,True,1.2811632,,,,,,"[57.5, 20.1]",High Pass,,15.7562685,,Jordan Nobbs,10192.0,,,,,,,1,From Throw In,Vivianne Miedema,15623.0,Center Forward,4,Arsenal WFC,968,"['0c15a147-893e-403c-b502-fe2fa4ac2d16', '7200ba94-fcf2-4fe8-83f3-fc821d7219de']",43,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:43.725,Pass,True
