50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.100836,,,,,,,,,,,,,,,,,,31bcf6d4-2912-4ca8-a8f6-e79ffc48156a,19,,,"[56.7, 68.4]",2275154,0,,,,,-0.32443872,,Right Foot,,,"[79.0, 60.9]",Ground Pass,,23.527431,,,,Ramona Bachmann,4659.0,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,['fc97cd04-cf9d-41a0-b4b2-af4ee0cd9c9d'],17,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:17.428,Pass,
,,,,,,,,,,,,,,,1.273045,,,,,,,,,,,,,,,,,,64917c3f-b077-4e74-962a-5f4dddab3e1c,23,,,"[31.0, 22.7]",2275154,0,,,,,-0.9591993,,Left Foot,,,"[41.8, 7.3]",Low Pass,,18.809572,,,,Martha Harris,32618.0,,,,,,Recovery,1,Regular Play,Millie Turner,31536.0,Left Center Back,3,Manchester United,1475,['3ca6f991-c39d-4ac3-8397-4e00267e7025'],20,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:20.021,Pass,
,,,,,,,,,,,,,,,1.229903,,,,,,,,,,,,,,,,,,c41906c1-578d-4124-a74b-92eafb0ddb36,26,,,"[43.9, 9.8]",2275154,0,,,,,-0.1511232,,Left Foot,,,"[63.6, 6.8]",Ground Pass,,19.927116,,,,Lauren James,31531.0,,,,,,,1,Regular Play,Martha Harris,32618.0,Left Back,3,Manchester United,1475,['0d558f5f-162d-4650-bbb0-67938513e3d2'],22,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:22.518,Pass,
,,,,,,,,,,,,,,,1.119786,,,,,,,,,,,,,,,,,,30752273-55fe-4b71-9a8f-211b8292c4db,31,,,"[56.0, 80.0]",2275154,0,,,,,-1.2397002,,,,,"[62.6, 60.8]",High Pass,,20.30271,,,,Erin Cuthbert,4660.0,,,,,,Throw-in,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,4,Chelsea FCW,971,['018612bc-fd54-4690-b0b7-6dd476ebdfe3'],36,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:36.015,Pass,
,,,,,,,,,,,,,,,0.675349,,,,,,,,,,,,,,,,,,68a07040-b95b-44ae-9b4a-59aa51561ee3,34,,,"[57.2, 63.8]",2275154,0,,,,,1.6780752,,Right Foot,,,"[55.8, 76.8]",Ground Pass,,13.075168,,,,Maren Nævdal Mjelde,10395.0,,,,,,,1,From Throw In,Erin Cuthbert,4660.0,Right Midfield,4,Chelsea FCW,971,['14f241b7-df94-477c-b930-92956faad931'],37,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:37.821,Pass,
,,,,,,,,,,,,,,,1.540427,,,,,,,,,,,,,,,,,,efbd681e-6250-4b46-9ad9-8474def128b7,37,,,"[56.0, 76.8]",2275154,0,,,,,-3.039983,,Right Foot,,,"[30.5, 74.2]",Ground Pass,,25.632206,,,,Millie Bright,4642.0,,,,,,,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,4,Chelsea FCW,971,['1cb0de9d-6bb9-4380-a044-bef35600391e'],39,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:39.242,Pass,
,,,,,,,,,,,,,,,1.056897,,,,,,,,,,,,,,,,,,fefb7527-b602-4e64-be9a-cdf3c9b40acd,43,,,"[35.7, 80.0]",2275154,0,,,,,-0.77654886,,,,,"[47.1, 68.8]",High Pass,,15.981239,,,,Erin Cuthbert,4660.0,,,,,,Throw-in,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,5,Chelsea FCW,971,['84f91167-4bfa-4c0f-a4c5-ac43bf08a4ca'],59,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:59.138,Pass,
,,,,,,,,,,,,,,,1.619826,,,,,,,,,,,,,,,,,,4c02fc07-c324-456a-be43-64ec43d0a412,48,,,"[80.9, 0.1]",2275154,1,,,,,0.19739556,,,,,"[101.4, 4.2]",High Pass,,20.90598,,Incomplete,,Lauren James,31531.0,,,,,,Throw-in,1,From Throw In,Martha Harris,32618.0,Left Back,6,Manchester United,1475,"['46573392-af83-4ff0-8003-1d1bcc7d8905', 'bb3f3457-075a-4fa7-a1e4-6e5e0605e1ce']",24,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:24.030,Pass,
,,,,,,,,,,,,,,,1.278966,,,,,,,,,,,,,,,,,,46573392-af83-4ff0-8003-1d1bcc7d8905,50,,,"[18.7, 75.9]",2275154,1,,,,,-1.2295496,,Head,,,"[22.5, 65.2]",High Pass,,11.354734,,,,Sophie Louise Ingle,15549.0,,,,,,Recovery,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,6,Manchester United,1475,"['09bd7325-940a-42ba-86b1-93d9fa5ac8d8', '4c02fc07-c324-456a-be43-64ec43d0a412']",25,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:25.649,Pass,
,,,,,,,,,,,,,,,1.154938,,,,,,,,,,,,,,,,,,c9c0ae82-5ad8-474a-b46f-6998d8e4726c,52,,,"[22.5, 65.2]",2275154,1,,,,,1.19029,,Right Foot,,,"[25.5, 72.7]",Low Pass,,8.077747,,Incomplete,,Ramona Bachmann,4659.0,,,,,,,1,From Throw In,Sophie Louise Ingle,15549.0,Right Defensive Midfield,6,Manchester United,1475,"['762bba36-6731-4029-bfda-eb04c9b9c9f7', 'bf36b628-5989-4699-b3cc-804a29263019']",26,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:26.928,Pass,
