50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ffc1cca9-4337-4ea9-bb2d-4b44a2ec204d,1,,,2275041,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 31713, 'name': 'Maéva Clemaron'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3e5de857-d010-4428-b666-4d0fb02c8c1d,2,,,2275041,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 31714, 'name': 'Georgia Wilson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3f632c72-fc48-46d9-8caa-15d7e4525fb1,3,,,2275041,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['95e24ad6-dadf-4ce1-bb82-524ff7708573'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,95e24ad6-dadf-4ce1-bb82-524ff7708573,4,,,2275041,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['3f632c72-fc48-46d9-8caa-15d7e4525fb1'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,44d9da18-ca85-44eb-a556-a3fba0dd2294,1765,,,2275041,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,102,Bristol City WFC,973,['7fa5fb3e-4d54-4f8a-a6c2-60a896516e47'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7fa5fb3e-4d54-4f8a-a6c2-60a896516e47,1766,,,2275041,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,102,Bristol City WFC,973,['44d9da18-ca85-44eb-a556-a3fba0dd2294'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.660827,,,,,,,,,,,,,,5bab4cad-e650-4f22-b93d-86dc08a7e27c,5,,"[60.0, 40.0]",2275041,0,,,,-1.4940244,,Right Foot,,,,"[60.2, 37.4]",,Ground Pass,,2.607681,,,Abigail Harrison,23412.0,,,,,Kick Off,1,From Kick Off,Charlie Wellings,15563.0,Center Forward,2,Bristol City WFC,973,['5e8e36d5-ec5c-49b1-a8ca-b1a5a35abd9f'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.561,Pass,
,,,,,,,,,,,,,,,0.71229,,,,,,,,,,,,,,c79a8347-87f6-400e-b3b8-0f07d5409ff5,8,,"[59.6, 36.1]",2275041,0,,,,3.0163262,,Right Foot,,,,"[46.1, 37.8]",,Ground Pass,,13.606616,,,Meaghan Sargeant,19502.0,,,,,,1,From Kick Off,Abigail Harrison,23412.0,Left Wing,2,Bristol City WFC,973,['a5b68a70-ba32-4a75-b914-91a9d336efa1'],1,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:01.819,Pass,
,,,,,,,,,,,,,,,2.513857,,,,,,,,,,,,,,6b3e6785-6187-4d5b-8f1b-b774cb4cab21,12,,"[45.9, 39.7]",2275041,0,,,,-0.43766692,,Right Foot,,,,"[88.0, 20.0]",,High Pass,,46.48118,Incomplete,,Charlie Wellings,15563.0,,,,,,1,From Kick Off,Meaghan Sargeant,19502.0,Right Center Back,2,Bristol City WFC,973,"['9afce60d-c712-4e7f-bca0-817986101440', 'a7d69cd2-006e-46a4-b11b-09f615cda021', 'b9c3ee3f-0e2e-4c8d-ae78-a551c8947423']",3,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.371,Pass,True
,,,,,,,,,,,,,,,0.890239,,,,,,,,,,,,,,f7fb7c99-17fc-4841-98b7-7151103116a6,16,,"[35.5, 59.0]",2275041,0,,,,-0.11506733,,Right Foot,,,,"[55.4, 56.7]",,Ground Pass,,20.032475,,,Lucy Hope,16386.0,,,,,,1,Regular Play,Esme Beth Morgan,4649.0,Right Back,3,Everton LFC,967,['cd1d04a6-2424-4790-bffe-68c1de0d3d93'],7,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:07.116,Pass,
