50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f8279009-21d5-4f7c-a30a-9f5c4b975abd,1,,,2275131,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 10651, 'name': 'Kika van Es'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 31713, 'name': 'Maéva Clemaron'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a5410219-f736-4df4-ae99-910cc67572a3,2,,,2275131,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 20725, 'name': 'Pauline Bremer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c3cc5f2b-85d8-4b9c-96a9-b556a06bd4f7,3,,,2275131,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['f475e815-5df9-48e4-b396-b7f9c51623f6'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f475e815-5df9-48e4-b396-b7f9c51623f6,4,,,2275131,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['c3cc5f2b-85d8-4b9c-96a9-b556a06bd4f7'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3f1b371a-ffce-4d2d-9395-5aecfdce3dd0,2101,,,2275131,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,125,Everton LFC,967,['61714312-1e2f-46d1-99ac-2a0dafe82e0d'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,61714312-1e2f-46d1-99ac-2a0dafe82e0d,2102,,,2275131,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,125,Everton LFC,967,['3f1b371a-ffce-4d2d-9395-5aecfdce3dd0'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.305001,,,,,,,,,,,,,,9694e215-9c30-4cac-8be2-b78de86ff17e,5,,"[61.0, 40.1]",2275131,0,,,,,0.80357796,,Left Foot,,,,"[63.7, 42.9]",Ground Pass,,3.88973,,Chloe Kelly,15570.0,,,,,Kick Off,1,From Kick Off,Maéva Clemaron,31713.0,Right Center Midfield,2,Everton LFC,967,['cef30a9a-6e86-4de1-af98-e666446509de'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.321,Pass,
,,,,,,,,,,,,,,,,,,2.142331,,,,,,,,,,,,,,4f6689fc-7b79-4f98-b69c-937eacdb8e1f,17,,"[25.8, 28.0]",2275131,0,,,,,2.459681,,Left Foot,,,,"[7.2, 43.1]",Ground Pass,,23.95767,,Ellie Roebuck,4637.0,,,,,,1,Regular Play,Gemma Bonner,15554.0,Right Center Back,3,Manchester City WFC,746,"['0626d03e-13a4-4933-8f72-afd9f0a0d597', '2fc61818-3dd2-4a97-899e-607fcd156252']",6,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:06.058,Pass,True
,,,,,,,,,,,,,,,,,,2.795555,,,,,,,,,,,,,,4237c74f-6020-4959-8639-baa4d73ef407,21,,"[9.1, 43.4]",2275131,0,,,,,0.034539104,,Right Foot,,,,"[58.3, 45.1]",High Pass,,49.229362,Incomplete,Pauline Bremer,20725.0,,,,,,1,Regular Play,Ellie Roebuck,4637.0,Goalkeeper,3,Manchester City WFC,746,"['af88fcf8-1aee-43a4-a6b9-9f81ba226c70', 'e764ddc8-84bd-495a-9fd1-f7dfbd9ae0d1']",8,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:08.462,Pass,
,,,,,,,,,,,,,,,,,,2.235033,,,,,,,,,,,,,,e764ddc8-84bd-495a-9fd1-f7dfbd9ae0d1,23,,"[61.8, 35.0]",2275131,0,,,,True,0.34948453,,,,,,"[84.3, 43.2]",High Pass,,23.94765,Incomplete,Hannah Cain,18253.0,,,,,Recovery,1,Regular Play,Gabrielle George,15575.0,Left Center Back,3,Manchester City WFC,746,"['41f2bef6-ae0a-4ead-b829-16227a1151bc', '4237c74f-6020-4959-8639-baa4d73ef407', '4e53043b-85be-4617-bc60-8c291aa44a78', '7463fba4-1acc-40ec-9b96-4cc4cb256aa0']",11,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:11.257,Pass,True
