50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f391899d-a6e8-4cdb-9292-7178f2d1206d,1,,,,2275102,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 31529, 'name': 'Léa Le Garrec'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 16399, 'name': 'Kate Natkiel'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,60f8a288-9b4b-4539-9c27-60439792e090,2,,,,2275102,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 24747, 'name': 'Millie Laura Farrow'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a7c2975-c9c9-49f5-8b23-b8abf7d4a2fe,3,,,,2275102,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['bd38f488-e50f-425e-9643-5c253e04a2bf'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bd38f488-e50f-425e-9643-5c253e04a2bf,4,,,,2275102,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['8a7c2975-c9c9-49f5-8b23-b8abf7d4a2fe'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ff631e0-568b-4439-bcf7-28aaeb6978e8,1573,,,,2275102,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Brighton & Hove Albion WFC,965,['bd169871-79d4-420d-8d3e-36f18a643a15'],0,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bd169871-79d4-420d-8d3e-36f18a643a15,1574,,,,2275102,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Brighton & Hove Albion WFC,965,['9ff631e0-568b-4439-bcf7-28aaeb6978e8'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.978089,,,,,,,,,,,,,8e06e912-97f7-4531-8fb5-129defac2fca,5,,,"[60.0, 40.0]",2275102,0,,,,,1.2341216,,Left Foot,,,,"[64.2, 52.0]",,Ground Pass,,12.713772,,,Brooke Chaplen,15723.0,,,,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Center Attacking Midfield,2,Reading WFC,974,['a421787f-2141-4cb3-b43e-399c74e34069'],0,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.079,Pass,
,,,,,,,,,,,,,,,,,1.41985,,,,,,,,,,,,,82bfebc2-86fc-4efa-8c68-c4f5caf33c3b,8,,,"[65.9, 51.8]",2275102,0,,,,,-2.2228441,,Right Foot,,,,"[58.8, 42.5]",,Low Pass,,11.700427,,,Fara Williams,10251.0,,,,,,,1,From Kick Off,Brooke Chaplen,15723.0,Left Wing,2,Reading WFC,974,"['5896645f-1d80-4415-aee8-dd7debc8fd53', 'dfe7fdd8-2aff-4ea5-9f74-ac8ef645de98']",1,,,,,,,,,,,,,,,,Reading WFC,974,00:00:01.057,Pass,True
,,,,,,,,,,,,,,,,,2.350783,,,,,,,,,,,,,71184fec-1d6a-4eca-9bb4-6b9ef541b8e5,12,,,"[58.8, 42.9]",2275102,0,,,,,2.3621824,,Right Foot,,,,"[42.0, 59.5]",,Low Pass,,23.61779,,,Angharad James,15577.0,,,,,,,1,From Kick Off,Fara Williams,10251.0,Center Attacking Midfield,2,Reading WFC,974,"['82a5d30d-b9a3-458c-8064-3f6824b0e39c', '8b9432e8-3670-415e-8dc3-3b4f79139863']",2,,,,,,,,,,,,,,,,Reading WFC,974,00:00:02.500,Pass,True
,,,,,,,,,,,,,,,,,1.240246,,,,,,,,,,,,,5fd1ecea-78bb-4f96-a248-2e0d653e5b82,15,,,"[42.2, 59.5]",2275102,0,,,,,-2.4295092,,Right Foot,,,,"[32.7, 51.3]",,Ground Pass,,12.549502,,,Kristine Leine,31628.0,,,,,,,1,From Kick Off,Angharad James,15577.0,Right Back,2,Reading WFC,974,['a7c348f0-c79b-4af6-9df2-8a5e8af52e59'],4,,,,,,,,,,,,,,,,Reading WFC,974,00:00:04.934,Pass,
