50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,10ec8fa9-6cea-4f08-b4c1-99cd36ed8e2c,1,,,2275085,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 3}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bbf331eb-75e2-4f1a-8279-abf31e18cd35,2,,,2275085,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 23465, 'name': 'Megan Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 20725, 'name': 'Pauline Bremer'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a0233154-9f5a-4211-8b20-7359999db49e,3,,,2275085,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['8f6bd1d2-ecb0-4a42-ba9f-c8a143ca00f3'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8f6bd1d2-ecb0-4a42-ba9f-c8a143ca00f3,4,,,2275085,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['a0233154-9f5a-4211-8b20-7359999db49e'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,77f9664b-3fc4-4831-982d-7d4c0cdd4afa,1797,,,2275085,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Tottenham Hotspur Women,749,['4ec58761-7c6e-4242-8f87-c5c686c7637b'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4ec58761-7c6e-4242-8f87-c5c686c7637b,1798,,,2275085,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Tottenham Hotspur Women,749,['77f9664b-3fc4-4831-982d-7d4c0cdd4afa'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.097948,,,,,,,,,,,,,,6ddae918-93eb-4bdd-83db-dadd8fcc8c16,5,,"[61.0, 40.1]",2275085,0,,,,2.9832652,,Right Foot,,,,"[49.1, 42.0]",,Ground Pass,,12.050726,,,Keira Walsh,4658.0,,,,,,Kick Off,1,From Kick Off,Ellen White,10180.0,Right Center Forward,2,Manchester City WFC,746,['3fe5e3da-3d75-48ff-91c8-b2cd59682236'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.646,Pass,
,,,,,,,,,,,,,,,,,0.8737,,,,,,,,,,,,,,f3ce12e3-7c23-47bf-896e-7836d693e7f6,8,,"[48.2, 42.6]",2275085,0,,,,-1.9037195,,Right Foot,,,,"[44.5, 31.9]",,Ground Pass,,11.321661,,,Caroline Weir,10188.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Right Defensive Midfield,2,Manchester City WFC,746,['a31c5d74-8915-425e-bd59-39ee53444422'],1,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:01.834,Pass,
,,,,,,,,,,,,,,,,,1.465053,,,,,,,,,,,,,,c1c79fdd-fe5a-4802-b12b-4fe8db4d7bf9,12,,"[45.4, 31.1]",2275085,0,,,,-1.6956054,,Right Foot,,,,"[42.0, 4.0]",,High Pass,,27.312452,,,Megan Campbell,23465.0,,,,,,,1,From Kick Off,Caroline Weir,10188.0,Left Defensive Midfield,2,Manchester City WFC,746,"['39173aff-c012-4d6c-9d77-8f5a6b1742b2', 'a8803f70-0c53-42d4-9c2b-f3cede59dd1a']",3,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:03.754,Pass,True
,,,,,,,,,,,,,,,,,1.908254,,,,,,,,,,,,,,c76bc630-8474-4c29-b546-3e36939b10bd,16,,"[40.8, 6.1]",2275085,0,,,,2.4406493,,Left Foot,,,,"[20.3, 23.4]",,Ground Pass,,26.824244,,,Gemma Bonner,15554.0,,,,,,,1,From Kick Off,Megan Campbell,23465.0,Left Back,2,Manchester City WFC,746,"['6a5db1a4-713e-4cbc-8591-fecf1b3c1d8a', 'd3e78435-aba5-4d8f-94c3-74ba82669011']",6,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:06.445,Pass,True
