bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8d572006-7a10-403d-869b-bfbdcf566b5a,1,,,,3750180,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,German DR,2721,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38606, 'name': 'Jürgen Croy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38603, 'name': 'Gerd Kische'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 38604, 'name': 'Konrad Weise'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 38619, 'name': 'Bernd Bransch'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 38609, 'name': 'Siegmar Wätzlich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 38621, 'name': 'Harald Irmscher'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 38605, 'name': 'Reinhard Lauck'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 38607, 'name': 'Lothar Kurbjuweit'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 2}, {'player': {'id': 38622, 'name': 'Hans-Jürgen Kreische'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 38613, 'name': 'Martin Hoffmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 38620, 'name': 'Jürgen Sparwasser'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",German DR,2721,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ecc7ce1b-6d80-44f2-b924-3e767a70db97,2,,,,3750180,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,German DR,2721,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38616, 'name': 'Sepp Maier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38617, 'name': 'Georg Schwarzenbeck'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 38611, 'name': 'Berti Vogts'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 38625, 'name': 'Franz Beckenbauer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 38610, 'name': 'Paul Breitner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 38626, 'name': 'Ulrich Hoeneß'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 38612, 'name': 'Gerhard Müller'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 38618, 'name': 'Bernhard Cullmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 38614, 'name': 'Heinz Flohe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 38608, 'name': 'Jürgen Grabowski'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 38623, 'name': 'Wolfgang Overath'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,37b44be4-22a8-43db-873c-cf64c87827ff,3,,,,3750180,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,German DR,2721,['7b6b7f1a-4a9f-4e97-bd65-e3cf2db9722e'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7b6b7f1a-4a9f-4e97-bd65-e3cf2db9722e,4,,,,3750180,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,German DR,2721,['37b44be4-22a8-43db-873c-cf64c87827ff'],0,,,,,,,,,,,,,,,,,,German DR,2721,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f9bebfba-1b35-4cad-bde1-9fc6009a1d33,1462,,,,3750180,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,German DR,2721,['dd965f06-596d-4218-9a6a-01d3b5521a72'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dd965f06-596d-4218-9a6a-01d3b5521a72,1463,,,,3750180,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,German DR,2721,['f9bebfba-1b35-4cad-bde1-9fc6009a1d33'],0,,,,,,,,,,,,,,,,,,German DR,2721,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.861628,,,,,,,,,,,,865aa046-e938-48b1-9116-e19072aa41ce,5,,,"[61.0, 40.1]",3750180,0,,,,-0.48447794,,Right Foot,,,"[62.9, 39.1]",,Ground Pass,,2.1470912,,,Wolfgang Overath,38623.0,,,,,Kick Off,1,From Kick Off,Gerhard Müller,38612.0,Left Defensive Midfield,2,Germany,770,['96f3f07c-3f28-4bfe-99d4-641096870d79'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.500,Pass,
,,,,,,,,,,,,,,,,1.448531,,,,,,,,,,,,d5a7f8ed-14e7-400c-b302-ec560b4285c2,8,,,"[61.9, 44.5]",3750180,0,,,,1.5582184,,Left Foot,,,"[62.3, 76.3]",,Low Pass,,31.802515,,,Bernhard Cullmann,38618.0,,,,,,1,From Kick Off,Wolfgang Overath,38623.0,Left Center Forward,2,Germany,770,['97da1a73-be0a-470b-8076-c65f714ee840'],2,,,,,,,,,,,,,,,,,,Germany,770,00:00:02.741,Pass,
,,,,,,,,,,,,,,,,1.215061,,,,,,,,,,,,8a58fdaa-cf6c-4b56-9e1f-78f3b42c3027,11,,,"[71.4, 76.3]",3750180,0,,,,-2.4344656,,Right Foot,,,"[65.9, 71.6]",,Ground Pass,,7.2346387,,,Berti Vogts,38611.0,,,,,,1,From Kick Off,Bernhard Cullmann,38618.0,Right Midfield,2,Germany,770,['73649ad7-ada4-48ba-80c0-84ca7be5f7e8'],6,,,,,,,,,,,,,,,,,,Germany,770,00:00:06.907,Pass,
,,,,,,,,,,,,,,,,1.354388,,,,,,,,,,,,68d1d30f-8d6f-4db2-b184-bffbbff12c4d,14,,,"[65.6, 71.6]",3750180,0,,,,0.98652506,,Right Foot,,,"[69.7, 77.8]",,Ground Pass,,7.4330344,,,Georg Schwarzenbeck,38617.0,,,,,,1,From Kick Off,Berti Vogts,38611.0,Right Center Back,2,Germany,770,['c8008a48-35ae-4f9b-bdd5-fa0753fd2a21'],8,,,,,,,,,,,,,,,,,,Germany,770,00:00:08.490,Pass,
