50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fdcf98e1-d2be-4448-af03-57794a68f17d,1,,,3888716,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 397802, 'name': 'Jan Jongbloed'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 8}, {'player': {'id': 397816, 'name': 'Wim Rijsbergen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 39734, 'name': 'Wim Suurbier'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 39719, 'name': 'Arie Haan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 39720, 'name': 'Ruud Krol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 39721, 'name': 'Johan Neeskens'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 397804, 'name': 'Wim Jansen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 397803, 'name': 'Willem van Hanegem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 397727, 'name': 'Johnny Rep'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 39716, 'name': 'Piet Keizer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 39713, 'name': 'Johan Cruyff'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,137eca21-9b14-46d1-8ab3-7994564b7d73,2,,,3888716,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 397843, 'name': 'Ronnie Carl Hellström'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 397847, 'name': 'Jan Olsson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 397846, 'name': 'Björn Nordqvist'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 397845, 'name': 'Björn Andersson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 397844, 'name': 'Kent Karlsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 397848, 'name': 'Staffan Tapper'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 397850, 'name': 'Ove Grahn'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 397849, 'name': 'Inge Ejderstedt'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 397851, 'name': 'Bo Göran Larsson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 397853, 'name': 'Roland Sandberg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 397852, 'name': 'Ralf Edström'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Sweden,790,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,True,a095a04b-f377-41cd-9ce2-144e63b5c1b4,3,,,3888716,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['a3948e94-182e-4f3b-be58-1539b83fb739'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,True,a3948e94-182e-4f3b-be58-1539b83fb739,4,,,3888716,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['a095a04b-f377-41cd-9ce2-144e63b5c1b4'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,True,6c694f3e-f80d-4ac0-adcc-30cc7b76e48f,1671,,,3888716,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,120,Netherlands,941,['e3cacea9-9647-441a-b21a-1b0039e4c2f2'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,True,e3cacea9-9647-441a-b21a-1b0039e4c2f2,1672,,,3888716,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,120,Netherlands,941,['6c694f3e-f80d-4ac0-adcc-30cc7b76e48f'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.046848,,,,,,,,,,,,,,,b5e300e6-3aa2-4b77-be7b-f779de76ceaa,5,,"[61.0, 40.1]",3888716,0,,,,,-2.5439565,,Right Foot,,,,"[49.1, 32.0]",Ground Pass,,14.395138,,,Johan Neeskens,39721.0,,,,,,Kick Off,1,From Kick Off,Johan Cruyff,39713.0,Center Forward,2,Netherlands,941,['2c3001bc-f69a-4100-8ccd-d15ee5005dc1'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.040,Pass,
,,,,,,,,,,,,,,,,2.296459,,,,,,,,,,,,,,,16d8fd62-0037-4955-9f12-d4d7e805c79a,8,,"[49.1, 31.2]",3888716,0,,,,,-1.6016235,,Right Foot,,,,"[48.4, 8.5]",Ground Pass,,22.71079,,,Wim Rijsbergen,397816.0,,,,,,,1,From Kick Off,Johan Neeskens,39721.0,Center Defensive Midfield,2,Netherlands,941,['b4263b62-fc2b-4ed7-840e-7eccdeccae05'],1,,,,,,,,,,,,,,,,,Netherlands,941,00:00:01.077,Pass,
,,,,,,,,,,,,,,,,1.479747,,,,,,,,,,,,,,,1906b912-b25e-445a-85e0-454ac208dd41,11,,"[49.9, 10.9]",3888716,0,,,,,-0.23374318,,Right Foot,,,,"[83.5, 2.9]",Ground Pass,,34.539253,,,Piet Keizer,39716.0,,,,,,,1,From Kick Off,Wim Rijsbergen,397816.0,Right Back,2,Netherlands,941,['4d2c3f31-e2d9-40d8-9ba5-2cd7a1fd4702'],4,,,,,,,,,,,,,,,,,Netherlands,941,00:00:04.920,Pass,
,,,,,,,,,,,,,,,,1.324832,,,,,,,,,,,,,,,c47a3730-78d9-48e1-b63a-a60ca6233110,14,,"[36.6, 80.0]",3888716,0,,,,,-2.7073483,,,,,,"[15.9, 70.4]",Low Pass,,22.817757,,,Jan Olsson,397847.0,,,,,,Throw-in,1,From Throw In,Staffan Tapper,397848.0,Right Defensive Midfield,3,Sweden,790,['b4df2c5a-1350-4462-94ce-3c04c2d6d622'],10,,,,,,,,,,,,,,,,,Sweden,790,00:00:10.008,Pass,
