50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7cf219de-8b0a-46c3-99cf-8558abf6c63a,1,,,3888717,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 397802, 'name': 'Jan Jongbloed'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 8}, {'player': {'id': 39734, 'name': 'Wim Suurbier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 397816, 'name': 'Wim Rijsbergen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 39719, 'name': 'Arie Haan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 39720, 'name': 'Ruud Krol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 397804, 'name': 'Wim Jansen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 39721, 'name': 'Johan Neeskens'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 397803, 'name': 'Willem van Hanegem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 397727, 'name': 'Johnny Rep'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 397808, 'name': 'Rob Rensenbrink'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 39713, 'name': 'Johan Cruyff'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c1da420c-96ec-49af-af64-739b5ee08bf3,2,,,3888717,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 397833, 'name': 'Daniel Alberto Carnevali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 398072, 'name': 'Enrique Ernesto Wolff Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 398070, 'name': 'Roberto Perfumo'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 14}, {'player': {'id': 398075, 'name': 'Carlos Vicente Squeo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 398081, 'name': 'Augustin Alberto Balbuena'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 4}, {'player': {'id': 398071, 'name': 'Francisco Pedro Manuel Sá'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 398076, 'name': 'Ramón Armando Heredia Ruarte'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 398077, 'name': 'Roberto Marcelo Telch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 398078, 'name': 'Rubén Hugo Ayala'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 398084, 'name': 'René Orlando Houseman'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 398073, 'name': 'Héctor Casimiro Yazalde'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94d521af-87c4-413b-ade2-2173795c47fe,3,,,3888717,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['c30402d6-05c7-4b9e-a8cd-e2945ce2b201'],0,,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c30402d6-05c7-4b9e-a8cd-e2945ce2b201,4,,,3888717,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['94d521af-87c4-413b-ade2-2173795c47fe'],0,,,,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f49167b4-9dc3-4e16-816c-00050f9d9937,1676,,,3888717,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Netherlands,941,['d81a8d10-1987-43a7-a51a-b6cef31d2170'],0,,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d81a8d10-1987-43a7-a51a-b6cef31d2170,1677,,,3888717,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Netherlands,941,['f49167b4-9dc3-4e16-816c-00050f9d9937'],0,,,,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.025128,,,,,,,,,,,,,13a8e2d5-4787-4186-a860-60177216f093,5,,"[61.0, 40.1]",3888717,0,,,,-1.4570043,,Left Foot,,,"[61.4, 36.6]",,Ground Pass,,3.522783,,,,Willem van Hanegem,397803.0,,,,,,Kick Off,1,From Kick Off,Johan Cruyff,39713.0,Center Forward,2,Netherlands,941,['52ba66ff-9add-4ca8-9590-e67c900839bc'],0,,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.875,Pass,
,,,,,,,,,,,,,,,,,,0.750989,,,,,,,,,,,,,d7ea44e3-a69d-4b06-84f2-92c00b00152e,7,,"[60.2, 37.1]",3888717,0,,,,2.4030352,,Left Foot,,,"[53.5, 43.2]",,Ground Pass,,9.060905,,,,Wim Jansen,397804.0,,,,,,,1,From Kick Off,Willem van Hanegem,397803.0,Left Center Midfield,2,Netherlands,941,['1e48d33b-d849-4d43-b102-493b0f8a1477'],1,,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:01.900,Pass,
,,,,,,,,,,,,,,,,,,1.038969,,,,,,,,,,,,,def4dee5-3465-4437-b9ec-7539268445e0,9,,"[53.2, 43.0]",3888717,0,,,,-1.9525605,,Right Foot,,,"[47.7, 29.3]",,Ground Pass,,14.762791,,,,Johan Neeskens,39721.0,,,,,,,1,From Kick Off,Wim Jansen,397804.0,Center Defensive Midfield,2,Netherlands,941,['3bd05a7d-cbba-49ee-b402-ccd2dec5a49d'],2,,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:02.651,Pass,
,,,,,,,,,,,,,,,,,,1.365421,,,,,,,,,,,,,c450f7aa-4fa7-4459-8e6d-1a082cb07c74,12,,"[46.9, 32.8]",3888717,0,,,,1.7344569,,Right Foot,,,"[43.3, 54.6]",,Ground Pass,,22.09525,,,,Wim Suurbier,39734.0,,,,,,,1,From Kick Off,Johan Neeskens,39721.0,Right Center Midfield,2,Netherlands,941,['cab3d8d1-8ea2-4f8b-8edd-3deb6c55a3bc'],4,,,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:04.921,Pass,
