50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9b275611-bd14-4806-8af1-5fd36f770ed7,1,,,3888720,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 397802, 'name': 'Jan Jongbloed'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 8}, {'player': {'id': 39734, 'name': 'Wim Suurbier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 397816, 'name': 'Wim Rijsbergen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 39719, 'name': 'Arie Haan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 39720, 'name': 'Ruud Krol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 397804, 'name': 'Wim Jansen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 39721, 'name': 'Johan Neeskens'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 397803, 'name': 'Willem van Hanegem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 397727, 'name': 'Johnny Rep'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 397808, 'name': 'Rob Rensenbrink'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 39713, 'name': 'Johan Cruyff'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7d9910c7-f69f-48c6-8f1a-d6558e0db892,2,,,3888720,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38616, 'name': 'Sepp Maier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38608, 'name': 'Jürgen Grabowski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 9}, {'player': {'id': 38617, 'name': 'Georg Schwarzenbeck'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 38625, 'name': 'Franz Beckenbauer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 38610, 'name': 'Paul Breitner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 42186, 'name': 'Rainer Bonhof'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 38623, 'name': 'Wolfgang Overath'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 38611, 'name': 'Berti Vogts'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 42171, 'name': 'Bernd Hölzenbein'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 38626, 'name': 'Ulrich Hoeneß'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 38612, 'name': 'Gerhard Müller'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7f9b4878-a5cd-4439-8fd4-5055c8643854,3,,,3888720,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['4f880a80-52e9-4ab7-b89e-631e2fe0062b'],0,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4f880a80-52e9-4ab7-b89e-631e2fe0062b,4,,,3888720,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['7f9b4878-a5cd-4439-8fd4-5055c8643854'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3080ed07-369b-4008-95ef-e59a78e48dfb,1692,,,3888720,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Netherlands,941,['933c21bb-16f1-484b-896e-58a678b6df57'],0,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,933c21bb-16f1-484b-896e-58a678b6df57,1693,,,3888720,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Netherlands,941,['3080ed07-369b-4008-95ef-e59a78e48dfb'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.683135,,,,,,,,,,,,,,,b6479bfb-f530-4269-885f-7f4b3581b040,5,,"[60.0, 40.0]",3888720,0,,,,-0.7853982,,Right Foot,,,"[62.2, 37.8]",,Ground Pass,,3.11127,,Willem van Hanegem,397803.0,,,,,,Kick Off,1,From Kick Off,Johan Cruyff,39713.0,Center Forward,2,Netherlands,941,['c474da9a-d459-4c99-9d75-8552833ec2e0'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.719,Pass,
,,,,,,,,,,,,,,,,,,,,1.884282,,,,,,,,,,,,,,,1ba389d2-15a5-47d9-9708-c4155017e652,8,,"[62.9, 37.0]",3888720,0,,,,2.99013,,Left Foot,,,"[43.9, 39.9]",,Ground Pass,,19.220041,,Johan Neeskens,39721.0,,,,,,,1,From Kick Off,Willem van Hanegem,397803.0,Left Center Midfield,2,Netherlands,941,['32ae2994-ecf1-47f3-8282-3f3f359f6058'],1,,,,,,,,,,,,,,,,,Netherlands,941,00:00:01.898,Pass,
,,,,,,,,,,,,,,,,,,,,2.395863,,,,,,,,,,,,,,,9e3b75a6-fd4a-4c5f-ab1f-b936961ad8e4,10,,"[43.9, 39.9]",3888720,0,,,,-1.5707964,,Right Foot,,,"[43.9, 10.5]",,Ground Pass,,29.4,,Ruud Krol,39720.0,,,,,,,1,From Kick Off,Johan Neeskens,39721.0,Right Center Midfield,2,Netherlands,941,['137d7182-4a1a-4ef9-aea2-5afbe9cac318'],3,,,,,,,,,,,,,,,,,Netherlands,941,00:00:03.782,Pass,
,,,,,,,,,,,,,,,,,,,,1.630052,,,,,,,,,,,,,,,7892b15f-411f-4505-bfd1-a27e090ae4a8,13,,"[41.5, 8.1]",3888720,0,,,,2.1833339,,Left Foot,,,"[33.7, 19.2]",,Ground Pass,,13.566503,,Wim Rijsbergen,397816.0,,,,,,,1,From Kick Off,Ruud Krol,39720.0,Left Back,2,Netherlands,941,['5b3ac904-a32d-4531-b287-80e8b85457d6'],7,,,,,,,,,,,,,,,,,Netherlands,941,00:00:07.369,Pass,
