50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,abce0efb-eeca-492a-9781-425594b9019b,1,,,3888718,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,German DR,2721,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38606, 'name': 'Jürgen Croy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38603, 'name': 'Gerd Kische'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 38604, 'name': 'Konrad Weise'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 38619, 'name': 'Bernd Bransch'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 38607, 'name': 'Lothar Kurbjuweit'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 38605, 'name': 'Reinhard Lauck'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 38620, 'name': 'Jürgen Sparwasser'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 42168, 'name': 'Jürgen Pommerenke'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 42173, 'name': 'Rüdiger Schnuphase'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 42169, 'name': 'Wolfram Löwe'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 38613, 'name': 'Martin Hoffmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",German DR,2721,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6047a379-026e-4733-a8d3-600da6b016d6,2,,,3888718,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,German DR,2721,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 397802, 'name': 'Jan Jongbloed'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 8}, {'player': {'id': 39734, 'name': 'Wim Suurbier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 397816, 'name': 'Wim Rijsbergen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 39719, 'name': 'Arie Haan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 39720, 'name': 'Ruud Krol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 39721, 'name': 'Johan Neeskens'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 397804, 'name': 'Wim Jansen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 397803, 'name': 'Willem van Hanegem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 397727, 'name': 'Johnny Rep'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 397808, 'name': 'Rob Rensenbrink'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 39713, 'name': 'Johan Cruyff'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8627db54-5da7-4808-8027-8ebe64a11cad,3,,,3888718,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,German DR,2721,['ef26259e-2a36-4c1c-90e6-f953ae710361'],0,,,,,,,,,,,,,,,,German DR,2721,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ef26259e-2a36-4c1c-90e6-f953ae710361,4,,,3888718,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,German DR,2721,['8627db54-5da7-4808-8027-8ebe64a11cad'],0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,39fe31b1-db29-491d-aeff-121b8a097d7c,1690,,,3888718,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Netherlands,941,['cd32ccfb-6e44-4819-873f-abba778c7055'],0,,,,,,,,,,,,,,,,German DR,2721,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cd32ccfb-6e44-4819-873f-abba778c7055,1691,,,3888718,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Netherlands,941,['39fe31b1-db29-491d-aeff-121b8a097d7c'],0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.835015,,,,,,,,,,,,aad9f35e-7b92-41ae-9b8f-0d44ec1d1c27,5,,"[61.0, 40.1]",3888718,0,,,,,-1.9138203,,Right Foot,,,"[60.5, 38.7]",,Ground Pass,,1.4866068,,Willem van Hanegem,397803.0,,,,,,Kick Off,1,From Kick Off,Johan Cruyff,39713.0,Center Forward,2,Netherlands,941,['2ba8a8b4-fbdc-430f-a938-b8cc84f84148'],0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.339,Pass,
,,,,,,,,,,,,,,,,,0.855869,,,,,,,,,,,,42a3f7f3-c125-4fbf-ab46-d3dbb5afd052,8,,"[60.8, 38.2]",3888718,0,,,,,1.9682144,,Left Foot,,,"[57.4, 46.3]",,Ground Pass,,8.784646,,Wim Jansen,397804.0,,,,,,,1,From Kick Off,Willem van Hanegem,397803.0,Left Center Midfield,2,Netherlands,941,['2efa8bd7-a827-49f6-ac72-8fed78607a18'],1,,,,,,,,,,,,,,,,Netherlands,941,00:00:01.217,Pass,
,,,,,,,,,,,,,,,,,1.684406,,,,,,,,,,,,8cb1e6b7-27de-41cc-af25-284cde5cbe7c,11,,"[64.3, 46.8]",3888718,0,,,,,2.0738666,,Right Foot,,,"[55.0, 63.7]",,Ground Pass,,19.289894,,Wim Suurbier,39734.0,,,,,,,1,From Kick Off,Wim Jansen,397804.0,Right Center Midfield,2,Netherlands,941,['e541e4f9-5392-413d-9103-93136c2637d6'],3,,,,,,,,,,,,,,,,Netherlands,941,00:00:03.272,Pass,
,,,,,,,,,,,,,,,,,1.577874,,,,,,,,,,,,3c6e4f6c-4e02-4890-9659-f57c249de758,13,,"[53.3, 60.7]",3888718,0,,,,,-2.151002,,Right Foot,,,"[45.5, 48.8]",,Ground Pass,,14.228493,,Wim Rijsbergen,397816.0,,,,,,,1,From Kick Off,Wim Suurbier,39734.0,Right Back,2,Netherlands,941,['ad460342-0ea6-4e54-a06e-4f0522272633'],4,,,,,,,,,,,,,,,,Netherlands,941,00:00:04.956,Pass,
,,,,,,,,,,,,,,,,,2.611537,,,,,,,,,,,,f48e1af2-743c-43b0-b8d1-96de8bde512f,16,,"[45.5, 47.0]",3888718,0,,,,,-1.3309767,,Right Foot,,,"[52.2, 19.6]",,Ground Pass,,28.207268,,Ruud Krol,39720.0,,,,,,,1,From Kick Off,Wim Rijsbergen,397816.0,Right Center Back,2,Netherlands,941,['aac1c807-4614-4f6d-a359-646692c1df51'],7,,,,,,,,,,,,,,,,Netherlands,941,00:00:07.658,Pass,
,,,,,,,,,,,,,,,,,1.30692,,,,,,,,,,,,04914ed6-b839-41e0-ae8a-0ed356575d6d,19,,"[54.2, 7.6]",3888718,0,,,,,2.043618,,Left Foot,,,"[43.1, 29.3]",,Ground Pass,,24.374166,,Wim Rijsbergen,397816.0,,,,,,,1,From Kick Off,Ruud Krol,39720.0,Left Back,2,Netherlands,941,['dca34c3e-2749-470e-8b0d-11692dd7fe8c'],11,,,,,,,,,,,,,,,,Netherlands,941,00:00:11.569,Pass,
,,,,,,,,,,,,,,,,,1.029382,,,,,,,,,,,,e6101e1a-a6fd-4ba2-a166-a2e43f2d71e3,22,,"[42.5, 27.1]",3888718,0,,,,,-1.1872689,,Right Foot,,,"[49.4, 10.0]",,Ground Pass,,18.43963,,Ruud Krol,39720.0,,,,,,,1,From Kick Off,Wim Rijsbergen,397816.0,Right Center Back,2,Netherlands,941,['c2e756b2-bc1f-4c78-a87f-ab9b43fcd59f'],13,,,,,,,,,,,,,,,,Netherlands,941,00:00:13.043,Pass,
,,,,,,,,,,,,,,,,,2.006106,,,,,,,,,,,,b6b143a7-3d7d-46e1-8b63-af7b01d70a01,25,,"[49.4, 10.0]",3888718,0,,,,,2.1332204,,Right Foot,,,"[36.1, 31.1]",,Ground Pass,,24.941933,,Wim Rijsbergen,397816.0,,,,,,,1,From Kick Off,Ruud Krol,39720.0,Left Back,2,Netherlands,941,['4b809167-b3ab-4293-90b5-40f2b1e93895'],15,,,,,,,,,,,,,,,,Netherlands,941,00:00:15.284,Pass,
,,,,,,,,,,,,,,,,,2.265342,,,,,,,,,,,,fad0c9f4-4c7f-47a5-8d4e-b8a617667cd9,28,,"[34.2, 34.2]",3888718,0,,,,,1.2913486,,Right Foot,,,"[44.1, 68.7]",,Ground Pass,,35.892338,,Wim Suurbier,39734.0,,,,,,,1,From Kick Off,Wim Rijsbergen,397816.0,Right Center Back,2,Netherlands,941,['de34294a-30ec-4ac0-9335-7db69bd1bd8d'],18,,,,,,,,,,,,,,,,Netherlands,941,00:00:18.980,Pass,
