ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,cc35d86a-b198-4275-9599-f65068240029,1,,,3754141,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3525, 'name': 'Alex Oxlade-Chamberlain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bb88fa5c-26c2-47ca-8bde-5de03047a221,2,,,3754141,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,68da0244-1b57-4343-9c5d-bffbcb64685b,3,,,3754141,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['b4c10949-2660-4142-955a-35eeaca6d5de'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b4c10949-2660-4142-955a-35eeaca6d5de,4,,,3754141,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['68da0244-1b57-4343-9c5d-bffbcb64685b'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7217a357-58c0-484e-b269-776e7641aecd,1581,,,3754141,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Arsenal,1,['230f7642-9edd-49d0-b986-848e843627ea'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,230f7642-9edd-49d0-b986-848e843627ea,1582,,,3754141,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Arsenal,1,['7217a357-58c0-484e-b269-776e7641aecd'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.871849,,,,,,,,,,,a4773b11-e82f-4eac-8add-601ed62ed718,5,,"[60.0, 40.0]",3754141,0,,,,,1.3045443,,Left Foot,,,"[60.6, 42.2]",,Ground Pass,2.280351,,,Mesut Özil,3496.0,,,,,,Kick Off,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,Arsenal,1,['f73427a7-bd9a-49ba-ad0a-24981d00a656'],1,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.899,Pass,
,,,,,,,,,,,,,,,,1.797289,,,,,,,,,,,4da5824b-47f8-4a22-af05-57805f09fff6,8,,"[57.4, 39.7]",3754141,0,,,,,-1.4488419,,Left Foot,,,"[61.8, 3.8]",,Ground Pass,36.168633,,,Santiago Cazorla González,11386.0,,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['792f33df-1d3a-4849-8a03-04ab5b612ae7'],2,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:02.773,Pass,
,,,,,,,,,,,,,,,,1.24442,,,,,,,,,,,cf972bee-52ed-43cd-a314-561ca5f4ff3d,12,,"[62.2, 5.4]",3754141,0,,,,,2.3476477,,Right Foot,,,"[50.6, 17.2]",,Ground Pass,16.546904,,,Francis Joseph Coquelin,3437.0,,,,,,,1,From Kick Off,Santiago Cazorla González,11386.0,Left Wing,2,Arsenal,1,"['1093a49d-4398-4201-8625-9a07fe114146', '58d6bce3-8b7f-4c31-89da-114fd4d8b328']",7,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:07.817,Pass,True
,,,,,,,,,,,,,,,,1.738537,,,,,,,,,,,297a6a59-b3e6-4b81-8d93-9cf8f671020c,15,,"[49.8, 19.9]",3754141,0,,,,,1.8112326,,Right Foot,,,"[40.9, 56.2]",,Ground Pass,37.375126,,,Per Mertesacker,3475.0,,,,,,,1,From Kick Off,Francis Joseph Coquelin,3437.0,Left Defensive Midfield,2,Arsenal,1,['4c2e1ea7-e290-4b1f-9e52-577f0ad0c6bc'],10,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:10.221,Pass,
