50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d9394ba2-c3ee-4405-9aef-3dad4bae0409,1,,,3754120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 44}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e1e075e1-4f94-483c-91d9-ecbfc968a8fe,2,,,3754120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ffea8ffc-0dd5-4c3b-8b02-7e7b4aac1b4d,3,,,3754120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['7023b691-6fd6-4c45-b489-7ce3fafb02d5'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7023b691-6fd6-4c45-b489-7ce3fafb02d5,4,,,3754120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['ffea8ffc-0dd5-4c3b-8b02-7e7b4aac1b4d'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dbcae4d0-cf2e-4d8a-9a82-cdd4955aaa05,1609,,,3754120,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,Southampton,25,['560b970c-2a1e-456c-a879-de4bae7e70e1'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,560b970c-2a1e-456c-a879-de4bae7e70e1,1610,,,3754120,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,Southampton,25,['dbcae4d0-cf2e-4d8a-9a82-cdd4955aaa05'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.036644,,,,,,,,,,,,35ede447-ceff-4386-878f-161220150355,5,,"[60.0, 40.0]",3754120,0,,,,,-1.5220544,,Right Foot,,,"[60.2, 35.9]",,Ground Pass,,4.104875,,,,Graziano Pellè,11062.0,,,,,Kick Off,1,From Kick Off,Sadio Mané,3629.0,Right Attacking Midfield,2,Southampton,25,['e5ba34aa-deb9-4e5b-919c-c59f800befb6'],1,,,,,,,,,,,,,,,,Southampton,25,00:00:01.540,Pass,
,,,,,,,,,,,,,,,,,,1.008701,,,,,,,,,,,,47d70a58-859b-4977-b46e-bcb1dde9179c,8,,"[58.8, 38.1]",3754120,0,,,,,-2.9713807,,Right Foot,,,"[46.0, 35.9]",,Ground Pass,,12.987686,,,,Jordy Clasie,16181.0,,,,,,1,From Kick Off,Graziano Pellè,11062.0,Center Forward,2,Southampton,25,['1cf6b943-913d-4007-88da-c7f38f7acfad'],1,,,,,,,,,,,,,,,,Southampton,25,00:00:01.672,Pass,
,,,,,,,,,,,,,,,,,,1.883103,,,,,,,,,,,,d0bfda79-cec3-428b-b80a-9319a80fab22,11,,"[43.6, 35.9]",3754120,0,,,,,1.8788491,,Right Foot,,,"[36.6, 57.9]",,Ground Pass,,23.086792,,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Jordy Clasie,16181.0,Left Defensive Midfield,2,Southampton,25,['9911cf86-0e79-4197-abce-bc37172f05c6'],3,,,,,,,,,,,,,,,,Southampton,25,00:00:03.750,Pass,
,,,,,,,,,,,,,,,,,,1.428874,,,,,,,,,,,,6d0197dd-7741-4ff5-beb8-c26b7ca63f6d,14,,"[36.6, 57.9]",3754120,0,,,,,-1.8739992,,Right Foot,,,"[31.0, 40.0]",,Ground Pass,,18.755533,,,,José Miguel da Rocha Fonte,3960.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Right Center Back,2,Southampton,25,['0787a315-3ec1-4fe0-bfe3-a0477c00340d'],5,,,,,,,,,,,,,,,,Southampton,25,00:00:05.813,Pass,
