ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,3.026396,,,,,,,,,,,,,01e9908d-3372-4225-98ff-efb28d08ca04,18,,"[14.7, 49.0]",3754037,0,,,,,0.2007475,,Right Foot,,,"[83.5, 63.0]",,High Pass,,70.20997,,Incomplete,,El-Hadji Baye Oumar Niasse,3442.0,,,,,,1,Regular Play,Tim Howard,13042.0,Goalkeeper,3,Everton,29,"['16f90463-b8f0-4410-8930-4b82c15efc72', '5dfee544-f9b4-4940-9a43-aa9f49631bf0']",29,,,,,,,,,,,,,,,,Everton,29,00:00:29.050,Pass,
,,,,,,,,,,,,,,,0.707451,,,,,,,,,,,,,9b43ea64-8978-4acc-8193-e9e8bc5e4e7d,21,,"[83.0, 80.0]",3754037,0,,True,,,-1.7515959,,,,,"[81.3, 70.7]",,Low Pass,,9.4541,,,,Ross Barkley,4275.0,,,,,Throw-in,1,From Throw In,Muhamed Bešić,3476.0,Right Back,4,Everton,29,['eb48303e-0fd4-4056-a948-246e544b3751'],40,,,,,,,,,,,,,,,,Everton,29,00:00:40.634,Pass,
,,,,,,,,,,,,,,,0.870817,,,,,,,,,,,,,1ea8a8ff-adb8-457c-a093-b67e4654543a,23,,"[79.9, 77.3]",3754037,0,,True,,,-0.12246106,,Left Foot,,,"[86.4, 76.5]",,Ground Pass,,6.5490456,,,,Muhamed Bešić,3476.0,,,,,,1,From Throw In,Ross Barkley,4275.0,Center Attacking Midfield,4,Everton,29,['f6aca491-13d6-4468-9bd0-ad4f2b2fdbf4'],41,,,,,,,,,,,,,,,,Everton,29,00:00:41.555,Pass,
,,,,,,,,,,,,,,,1.072668,,,,,,,,,,,,,04413639-b6ce-408d-b767-ca28a74d78be,26,,"[79.9, 78.2]",3754037,0,,,,,-0.28451848,,Right Foot,,,"[90.5, 75.1]",,Low Pass,,11.044003,,,,Ross Barkley,4275.0,,,,,,1,From Throw In,Muhamed Bešić,3476.0,Right Back,4,Everton,29,"['f8d9f4d5-948a-443f-8e6b-fa7692b61818', 'fcc96093-2a54-46be-8479-9e80878f4566']",42,,,,,,,,,,,,,,,,Everton,29,00:00:42.427,Pass,True
,,,,,,,,,,,,,,,0.463496,,,,,,,,,,,,,68731210-c014-40f3-9ba5-93e4c1706691,29,,"[91.0, 75.1]",3754037,0,,,,,0.3021452,,Right Foot,,,"[98.7, 77.5]",,Ground Pass,,8.065358,,,,Aaron Lennon,3953.0,,,,,,1,From Throw In,Ross Barkley,4275.0,Center Attacking Midfield,4,Everton,29,['d2257711-4c73-4f7f-8f45-2d5ea295e8c6'],44,,,,,,,,,,,,,,,,Everton,29,00:00:44.764,Pass,
,,,,,,,,,,,,,,,1.398412,,,,,,,,,,,,,16622a48-1e3a-48cd-9cea-0ba3228f37c8,32,,"[98.7, 77.5]",3754037,0,,,,,-1.4288993,,Left Foot,,,"[101.6, 57.2]",,Ground Pass,,20.506096,,Incomplete,,Tom Cleverley,3683.0,,,,,,1,From Throw In,Aaron Lennon,3953.0,Right Wing,4,Everton,29,"['3fc0b852-b8a2-4085-be04-f65326dd4097', '7dc95e05-87c9-4839-a5b8-01c7fa600720']",45,,,,,,,,,,,,,,,,Everton,29,00:00:45.308,Pass,
,,,,,,,,,,,,,,,1.400999,,,,,,,,,,,,,7dc95e05-87c9-4839-a5b8-01c7fa600720,34,,"[18.5, 22.9]",3754037,0,,,,,0.0,,Right Foot,,,"[24.5, 22.9]",,Ground Pass,,6.0,,Incomplete,,Matt Ritchie,3049.0,,,,,Recovery,1,From Throw In,Steve Cook,3341.0,Left Center Back,4,Everton,29,"['16622a48-1e3a-48cd-9cea-0ba3228f37c8', '71abf265-7569-4923-8820-152bda24e64b', 'b182bfbc-8786-44c8-b1fa-6af9fa97ce2a']",46,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:46.706,Pass,
,,,,,,,,,,,,,,,1.281654,,,,,,,,,,,,,71abf265-7569-4923-8820-152bda24e64b,36,,"[95.6, 57.2]",3754037,0,,,,,-2.5415425,,Left Foot,,,"[82.3, 48.1]",,Ground Pass,,16.11521,,,,Darron Gibson,20067.0,,,,,Recovery,1,From Throw In,Tom Cleverley,3683.0,Left Wing,4,Everton,29,"['7dc95e05-87c9-4839-a5b8-01c7fa600720', 'edb0800e-a610-4a06-964e-a7788fb114b0']",48,,,,,,,,,,,,,,,,Everton,29,00:00:48.107,Pass,
,,,,,,,,,,,,,,,1.235868,,,,,,,,,,,,,0c308d2b-830e-4cc1-bf62-648af8583061,38,,"[82.1, 43.0]",3754037,0,,,,,-1.1782687,,Right Foot,,,"[88.6, 27.3]",,Ground Pass,,16.992352,,,,Leighton Baines,3518.0,,,,,,1,From Throw In,Darron Gibson,20067.0,Left Center Midfield,4,Everton,29,['0a8cff8c-7a19-4832-ba71-0032f0fdf59f'],49,,,,,,,,,,,,,,,,Everton,29,00:00:49.389,Pass,
,,,,,,,,,,,,,,,2.703058,,,,,,,,,,,,,b6fa0633-ca21-442d-8341-4e07166e33ed,41,,"[99.2, 11.6]",3754037,0,,,,,1.2826588,,Left Foot,True,,"[111.5, 53.1]",,High Pass,,43.28441,,Incomplete,,Aaron Lennon,3953.0,,,True,,,1,From Throw In,Leighton Baines,3518.0,Left Back,4,Everton,29,"['76d8ae2c-2022-4dc5-8988-c0a7ecc7b58e', 'f17dd5e9-0a29-4bda-9272-f56b74dd6dfb']",55,,,,,,,,,,,,,,,,Everton,29,00:00:55.691,Pass,
