ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c5927f3-efd9-43f7-ad1d-7d7a43ae53a8,1,,,3754218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 42}, {'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dbccbc50-200f-4f82-a23d-91db2e91a9e9,2,,,3754218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5109, 'name': 'Paulo Dino Gazzaniga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3272, 'name': 'Oriol Romeu Vidal'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8bf00cfd-3f23-44ab-9173-9e8c54a8d51d,3,,,3754218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['03009470-1df3-4c37-8c04-8ede6761b135'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,03009470-1df3-4c37-8c04-8ede6761b135,4,,,3754218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['8bf00cfd-3f23-44ab-9173-9e8c54a8d51d'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33436464-afcb-4a6b-a1c1-473f153ee6c4,1367,,,3754218,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Southampton,25,['44e27640-9d92-492c-a2fc-6f0538a30530'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,44e27640-9d92-492c-a2fc-6f0538a30530,1368,,,3754218,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Southampton,25,['33436464-afcb-4a6b-a1c1-473f153ee6c4'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.492762,,,,,,,,,,,,,a7688d71-a8c9-4689-9b93-993cf4d6b5e7,5,,"[61.0, 40.1]",3754218,0,,,,,1.6517004,,Right Foot,,,,"[60.7, 43.8]",,Ground Pass,,3.7121422,,,,Wilfried Zaha,3507.0,,,,,,Kick Off,1,From Kick Off,Yannick Bolasie Yala,3589.0,Right Center Forward,2,Crystal Palace,31,['e774a603-30b3-4ecc-a370-f0ea12524f72'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.393,Pass,
,,,,,,,,,,,,,,,,0.291626,,,,,,,,,,,,,bc9a6b8e-f3f2-4a21-8a65-923827d0c98d,8,,"[63.4, 39.1]",3754218,0,,,,,-0.5667292,,Right Foot,,,,"[66.7, 37.0]",,Ground Pass,,3.9115214,,Incomplete,,Jason Puncheon,19688.0,,,,,,,1,From Kick Off,Wilfried Zaha,3507.0,Right Midfield,2,Crystal Palace,31,"['220be653-43ee-4194-b07c-02d658573a36', '990a6029-18cb-44d1-8e48-300d0ad74d56']",2,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:02.402,Pass,
,,,,,,,,,,,,,,,,3.170059,,,,,,,,,,,,,6117e61f-bcd0-44e3-9f83-a02644e45b1f,11,,"[47.9, 51.2]",3754218,0,,,,,0.25275457,,Head,,,,"[78.1, 59.0]",,High Pass,,31.191025,,Incomplete,,Sadio Mané,3629.0,,,,,,Recovery,1,From Kick Off,Victor Wanyama,3098.0,Right Defensive Midfield,2,Crystal Palace,31,"['4c3bc7c7-1705-4623-ba58-7dff7b1747b7', 'a3884a26-52fe-40c6-9692-37e05af1668a']",4,,,,,,,,,,,,,,,,,Southampton,25,00:00:04.409,Pass,
,,,,,,,,,,,,,,,,2.298319,,,,,,,,,,,,,b5714e7a-4a70-49db-93e0-b837176bbfec,15,,"[37.4, 20.3]",3754218,0,,,,,2.7221522,,Left Foot,,,,"[6.9, 33.9]",,Ground Pass,,33.39476,,,,Wayne Hennessey,3488.0,,,,,,,1,From Kick Off,Pape N''Diaye Souaré,4884.0,Left Back,2,Crystal Palace,31,['ae9bf673-9899-48eb-a4f5-aa739af9de51'],8,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:08.236,Pass,
