50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2bb1fc9c-3fac-4163-a9f3-3d24b1cf4124,1,,,3754148,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 43627, 'name': 'Jordi Gómez García-Penche'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 16457, 'name': 'Jeremain Lens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,593f7e20-a842-4ea8-bca5-7776711b6a99,2,,,3754148,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 40127, 'name': 'Ryan Mason'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b4a4da96-a5c3-4f5c-a6bd-804f9dafe9e8,3,,,3754148,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['6ea1f333-5fbc-4bcd-9eb4-057224edbe38'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6ea1f333-5fbc-4bcd-9eb4-057224edbe38,4,,,3754148,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['b4a4da96-a5c3-4f5c-a6bd-804f9dafe9e8'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9025b15a-4ea0-4f2b-8fb1-78cc4a1a69ed,1490,,,3754148,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,107,Sunderland,41,['b9260a86-9412-4a3c-b627-2a7957613a1c'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b9260a86-9412-4a3c-b627-2a7957613a1c,1491,,,3754148,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,107,Sunderland,41,['9025b15a-4ea0-4f2b-8fb1-78cc4a1a69ed'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,93c814c6-9a58-4641-a375-892fe9eabe6b,5,,"[61.0, 40.1]",3754148,0,,,,,2.3086114,,Right Foot,,,,"[60.0, 41.2]",,Ground Pass,,1.4866068,,,Harry Kane,10955.0,,,,,,Kick Off,1,From Kick Off,Bamidele Alli,3094.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['f046b911-5368-470c-b506-27b923357ddb'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.625,Pass,
,,,,,,,,,,,,,,,,,,1.103606,,,,,,,,,,,005db2ce-ebf6-45f2-8376-0b1f6f0cc9c9,7,,"[60.0, 43.2]",3754148,0,,,,,-2.6741428,,Right Foot,,,,"[49.5, 37.9]",,Ground Pass,,11.761803,,,Ryan Mason,40127.0,,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['127c5a7a-f162-41fc-b19d-acb9fac2924a'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.825,Pass,
,,,,,,,,,,,,,,,,,,1.832962,,,,,,,,,,,f6aa07bc-c906-465e-967b-02e905bbb453,10,,"[47.9, 38.5]",3754148,0,,,,,2.3676882,,Right Foot,,,,"[30.3, 55.7]",,Ground Pass,,24.608942,,,Toby Alderweireld,20005.0,,,,,,,1,From Kick Off,Ryan Mason,40127.0,Left Defensive Midfield,2,Tottenham Hotspur,38,['8bdb4a99-f90b-4541-93ed-52c11e26e2e6'],2,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:02.649,Pass,
,,,,,,,,,,,,,,,,,,2.033733,,,,,,,,,,,96f530d0-3c6a-47ba-afeb-627caa963fac,13,,"[31.5, 55.2]",3754148,0,,,,,-1.6562045,,Right Foot,,,,"[29.0, 26.0]",,Ground Pass,,29.306826,,,Jan Vertonghen,3077.0,,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Tottenham Hotspur,38,['11db2288-2cbe-4846-b25f-c7fc6b9fad92'],5,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:05.403,Pass,
