bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b143b6ab-abc1-419e-bd9f-1ca8b54a87ec,1,,,3754090,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 45}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f27b6f31-8bd0-4f28-b6d6-e1f1cd9ea0e2,2,,,3754090,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3636, 'name': 'Charlie Adam'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,47ac19b1-7dd7-46fd-89eb-90e2c5bae6f5,3,,,3754090,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['8794221c-ef46-4574-ad24-3cffb7b962de'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8794221c-ef46-4574-ad24-3cffb7b962de,4,,,3754090,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['47ac19b1-7dd7-46fd-89eb-90e2c5bae6f5'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c23a66c-f8e4-4522-9f21-2d20149efb51,1659,,,3754090,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,98,Newcastle United,37,['01b04789-f523-4c30-8be7-b83d2bc91e7a'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,01b04789-f523-4c30-8be7-b83d2bc91e7a,1660,,,3754090,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,98,Newcastle United,37,['7c23a66c-f8e4-4522-9f21-2d20149efb51'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.391294,,,,,,,,,,,,8225fbb2-ab23-40cb-a188-94b111e4e2b9,5,,"[61.0, 40.1]",3754090,0,,,,1.9086745,,Left Foot,,,,"[59.7, 43.8]",Ground Pass,,3.9217343,,,,Bojan Krkíc Pérez,4913.0,,,,,,Kick Off,1,From Kick Off,Charlie Adam,3636.0,Right Defensive Midfield,2,Stoke City,30,['5850c29b-6f0b-4194-baf7-8e0dd0412920'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.801,Pass,
,,,,,,,,,,,,,,,,,1.309851,,,,,,,,,,,,25a206bd-e75c-4763-aa50-36726b4634d2,8,,"[63.8, 41.0]",3754090,0,,,,-2.7928216,,Right Foot,,,,"[55.0, 37.8]",Ground Pass,,9.36376,,Incomplete,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Attacking Midfield,2,Stoke City,30,"['11cc6648-4976-4fb9-938f-fc6b19c0572c', 'c3cf900a-cccb-40f3-b5c9-b83b959fd2e6']",2,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.567,Pass,
,,,,,,,,,,,,,,,,,0.656021,,,,,,,,,,,,987241c8-a5c1-4a49-b818-c5c6b87d29e3,22,,"[3.5, 23.7]",3754090,0,,,,-1.4981968,,Left Foot,,,,"[4.7, 7.2]",Ground Pass,,16.54358,,,,Erik Pieters,3467.0,,,,,,,1,From Kick Off,Philipp Wollscheid,40121.0,Left Center Back,2,Stoke City,30,"['82217a7d-dba7-4d39-8921-7acc90d4dc34', 'f97695e7-0f1d-4792-86ff-44c79dd51169']",10,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:10.500,Pass,True
,,,,,,,,,,,,,,,,,1.031727,,,,,,,,,,,,88e2f250-60f7-4a61-ab07-8815bd302d75,25,,"[4.7, 7.2]",3754090,0,,,,0.7917272,,Right Foot,,,,"[20.4, 23.1]",Ground Pass,,22.345022,,,,Charlie Adam,3636.0,,,,,,,1,From Kick Off,Erik Pieters,3467.0,Left Back,2,Stoke City,30,['85f44ca3-c200-4b2e-aeb2-28a59d38796a'],12,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:12.200,Pass,
