ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8e57c42d-aafb-431b-9ab1-34df1c57c23a,1,,,3754156,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,93de0d9a-796c-40db-8d90-872f9f42cdf0,2,,,3754156,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,48475421-8587-449e-894c-9803d3e210ec,3,,,3754156,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['d720726e-3283-4791-a6e6-e8993021fbfa'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d720726e-3283-4791-a6e6-e8993021fbfa,4,,,3754156,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['48475421-8587-449e-894c-9803d3e210ec'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,da587d5b-1894-43c6-bf44-7faa40b10199,1636,,,3754156,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Leicester City,22,['1514d3b2-9d47-42ce-8634-52f8dde90d4b'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1514d3b2-9d47-42ce-8634-52f8dde90d4b,1637,,,3754156,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Leicester City,22,['da587d5b-1894-43c6-bf44-7faa40b10199'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.876712,,,,,,,,,,,,,,,d9ebd3bb-0a2b-4031-9a84-1e4b1eb2524d,5,,"[61.0, 40.1]",3754156,0,,,,,2.329174,,Right Foot,,,"[59.2, 42.0]",Ground Pass,,2.6172504,,,,Troy Deeney,3454.0,,,,,,Kick Off,1,From Kick Off,Odion Jude Ighalo,5458.0,Left Center Forward,2,Watford,23,['e32dd377-8806-4eca-8df5-da32bcf4f8f5'],1,,,,,,,,,,,,,,,,,Watford,23,00:00:01.024,Pass,
,,,,,,,,,,,,,,1.515978,,,,,,,,,,,,,,,63be9a8a-1a49-4464-9c66-259632b1ad79,7,,"[59.0, 42.0]",3754156,0,,,,,-2.627794,,Right Foot,,,"[48.9, 36.3]",Ground Pass,,11.597413,,,,Ben Watson,3626.0,,,,,,,1,From Kick Off,Troy Deeney,3454.0,Right Center Forward,2,Watford,23,['e43f74ba-fbb7-44f8-83cd-37e71a772cf2'],1,,,,,,,,,,,,,,,,,Watford,23,00:00:01.901,Pass,
,,,,,,,,,,,,,,2.935654,,,,,,,,,,,,,,,2cca959a-ad1e-4360-8b2b-9fe8ab57123a,11,,"[41.5, 34.1]",3754156,0,,,,,-1.764491,,Left Foot,,,"[36.4, 8.1]",Ground Pass,,26.495472,,,,Nathan Aké,3306.0,,,,,,,1,From Kick Off,Ben Watson,3626.0,Left Center Midfield,2,Watford,23,"['009a0696-7a61-4d45-b78b-0ed0f5e69b00', 'd0a2f2d0-80ba-4545-986d-11f6e875d76e']",4,,,,,,,,,,,,,,,,,Watford,23,00:00:04.611,Pass,True
,,,,,,,,,,,,,,0.046098,,,,,,,,,,,,,,,30fb96d5-b5df-4f7f-ab81-312aebf1f41b,13,,"[34.4, 2.6]",3754156,0,,,,,0.19118446,,Left Foot,,,"[37.5, 3.2]",Low Pass,,3.1575308,,Incomplete,,,,,,,,,,1,From Kick Off,Nathan Aké,3306.0,Left Back,2,Watford,23,['fbe38753-39f9-4c49-9035-c45bb63a88d1'],7,,,,,,,,,,,,,,,,,Watford,23,00:00:07.547,Pass,
