ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.382299,,,,,,,,,,,,4b3ef8df-8a38-476a-9806-2c4e7f9c0d4c,3289,,"[115.4, 65.7]",3754029,88,,,,,-1.7041466,,Right Foot,True,,"[111.0, 32.9]",,High Pass,,33.093807,,Incomplete,Harry Kane,10955.0,,,,,,2,From Corner,Josh Onomah,16067.0,Left Center Midfield,187,Tottenham Hotspur,38,"['3fb5d81f-87ba-4587-9690-67c7aa349891', '8179fe3e-0b49-49f2-a397-22e0438433b0']",57,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:43:57.628,Pass,
,,,,,,,,,,,,,,,,0.714236,,,,,,,,,,,,3c3463e2-6b20-422e-896e-b95efdb89d61,3296,,"[120.0, 0.1]",3754029,89,,,,,2.6901395,,Right Foot,,,"[116.7, 1.7]",,Ground Pass,,3.6674242,,,Erik Lamela,3585.0,,,,,Corner,2,From Corner,Christian Dannemann Eriksen,3043.0,Right Wing,188,Tottenham Hotspur,38,['1347c34c-42ce-4e56-8999-9f205ac7793b'],34,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:44:34.353,Pass,
,,,,,,,,,,,,,,,,1.315499,,,,,,,,,,,,b135d3d4-330c-400c-a08c-485fbeb58b32,3303,,"[96.3, 0.1]",3754029,89,,,,,0.1743134,,,,,"[112.2, 2.9]",,Low Pass,,16.144659,,,Erik Lamela,3585.0,,,,,Throw-in,2,From Throw In,Christian Dannemann Eriksen,3043.0,Right Wing,189,Tottenham Hotspur,38,['692076ed-6955-4bc0-ae87-00763cf21f4c'],52,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:44:52.682,Pass,
,,,,,,,,,,,,,,,,0.761589,,,,,,,,,,,,6c66047b-858a-4e30-839a-bb5f2de33a27,3309,,"[108.7, 0.1]",3754029,90,,,,,0.84704834,,,,,"[112.5, 4.4]",,Low Pass,,5.7384667,,,Harry Kane,10955.0,,,,,Throw-in,2,From Throw In,Erik Lamela,3585.0,Left Wing,190,Tottenham Hotspur,38,['20a8adeb-b09b-4e88-86ad-9044551a9441'],13,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:45:13.499,Pass,
,,,,,,,,,,,,,,,,0.461018,,,,,,,,,,,,b099e5cf-5e44-40b9-b43d-d8b503bfdef4,3311,,"[112.5, 4.4]",3754029,90,,,,,-2.0831857,,Head,,,"[110.7, 1.2]",,Low Pass,,3.671512,,,Erik Lamela,3585.0,,,,,,2,From Throw In,Harry Kane,10955.0,Center Forward,190,Tottenham Hotspur,38,['a87622fe-c204-49fb-a18c-d62ccd03bb0f'],14,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:45:14.363,Pass,
,,,,,,,,,,,,,,,,0.984798,,,,,,,,,,,,7a60ace1-c112-4932-9244-04199e3b53b1,3316,,"[10.5, 80.0]",3754029,90,,,,,-0.18164884,,,,,"[30.1, 76.4]",,High Pass,,19.92787,,,Jordan Ayew,3450.0,,,,,Throw-in,2,From Throw In,Alan Hutton,9642.0,Right Back,191,Aston Villa,59,['5ddbe988-681c-49f1-a3ff-8230003c9050'],29,,,,,,,,,,,,,,,,,,Aston Villa,59,00:45:29.131,Pass,
,,,,,,,,,,,,,,,,2.104684,,,,,,,,,,,,28d5831e-61d5-4186-8e09-03800a8e7ee3,3319,,"[37.0, 75.2]",3754029,90,,,,,-0.32855317,,Right Foot,,,"[59.0, 67.7]",,High Pass,,23.243279,,Incomplete,Rudy Gestede,19362.0,,,,,,2,From Throw In,Jordan Ayew,3450.0,Center Forward,191,Aston Villa,59,"['a796bacb-4052-4566-8473-bef976aeed24', 'c6fa3050-eb94-4ee2-92fe-16fdf7dacc12']",31,,,,,,,,,,,,,,,,,,Aston Villa,59,00:45:31.177,Pass,
,,,,,,,,,,,,,,,,3.417729,,,,,,,,,,,,46aa3ded-f9cf-4233-80eb-bde5eba4c8fd,3324,,"[24.4, 30.3]",3754029,90,,,,,0.4827131,,Left Foot,,,"[80.5, 59.7]",,High Pass,,63.336956,,,Rudy Gestede,19362.0,,,,,,2,From Throw In,Bradley Guzan,12608.0,Goalkeeper,191,Aston Villa,59,['e4c99c87-2cf3-4056-982b-612f3ffedb2b'],42,,,,,,,,,,,,,,,,,,Aston Villa,59,00:45:42.642,Pass,
,,,,,,,,,,,,,,,,0.588504,,,,,,,,,,,,6ed14d9f-0e6f-4f00-9884-d3a30bbebe80,3326,,"[80.5, 59.7]",3754029,90,,,,,-0.51048833,,Head,,,"[88.0, 55.5]",,Low Pass,,8.595929,,Incomplete,Jordan Ayew,3450.0,,,,,,2,From Throw In,Rudy Gestede,19362.0,Center Attacking Midfield,191,Aston Villa,59,"['464d7ff3-5555-4e3b-bffd-edb5fd3ca39f', '76476016-6bdf-4fb6-8c2d-893724324f7c']",46,,,,,,,,,,,,,,,,,,Aston Villa,59,00:45:46.059,Pass,
,,,,,,,,,,,,,,,,0.591789,,,,,,,,,,,,68332305-39eb-408e-8226-c1c5686b6eef,3330,,"[33.6, 23.9]",3754029,90,,,,,0.116355166,,Right Foot,,,"[41.3, 24.8]",,Ground Pass,,7.752419,,,Christian Dannemann Eriksen,3043.0,,,,,,2,From Counter,Eric Dier,10956.0,Right Center Midfield,192,Tottenham Hotspur,38,['84d5e1ae-3ffd-4cc6-a07f-26c8ea913b4c'],47,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:45:47.970,Pass,
