50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d59182a9-d835-4499-ab2c-a186da581471,1,,,3754333,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3649, 'name': 'Karl Darlow'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3722, 'name': 'Steven Taylor'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3297, 'name': 'Andros Townsend'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0aae7b0f-c937-4a49-948a-57279e4aab73,2,,,3754333,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 40127, 'name': 'Ryan Mason'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e0f1040b-7712-40c4-b76d-ea4edf05d919,3,,,3754333,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['b730274d-a519-4244-8ff5-0b3aab60c2d8'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b730274d-a519-4244-8ff5-0b3aab60c2d8,4,,,3754333,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['e0f1040b-7712-40c4-b76d-ea4edf05d919'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b40bdb8f-cfd9-44dc-8e90-422e53c9b210,2020,,,3754333,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Tottenham Hotspur,38,['bffc5ee5-0b26-4581-9556-925cec86e190'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bffc5ee5-0b26-4581-9556-925cec86e190,2021,,,3754333,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Tottenham Hotspur,38,['b40bdb8f-cfd9-44dc-8e90-422e53c9b210'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.345358,,,,,,,,,,,,,,,11a4c954-38d5-4cb7-914f-330241a42a37,5,,"[60.0, 40.0]",3754333,0,,,,1.7454685,,Right Foot,,,,"[59.7, 41.7]",,Ground Pass,,1.7262677,,,Harry Kane,10955.0,,,,,,Kick Off,1,From Kick Off,Ryan Mason,40127.0,Left Defensive Midfield,2,Tottenham Hotspur,38,['b0de197c-32ba-426b-8c09-dd4db91315b7'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.574,Pass,
,,,,,,,,,,,,,,,,,,1.360334,,,,,,,,,,,,,,,a60976ae-d396-4248-9162-b5f75b52f998,7,,"[59.7, 41.4]",3754333,0,,,,-2.6863718,,Right Foot,,,,"[45.4, 34.4]",,Ground Pass,,15.92137,,,Christian Dannemann Eriksen,3043.0,,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['da1ed4fb-32bc-4e46-91a0-3fb194d2ecc1'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.920,Pass,
,,,,,,,,,,,,,,,,,,2.1935,,,,,,,,,,,,,,,ad1ca386-03fd-421c-87d4-8a79bcfc8cd9,10,,"[45.1, 32.5]",3754333,0,,,,2.0377443,,Right Foot,,,,"[32.9, 56.7]",,Ground Pass,,27.101292,,,Toby Alderweireld,20005.0,,,,,,,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['06869ad4-d7e9-49d5-a89c-703d69ffe447'],2,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:02.840,Pass,
,,,,,,,,,,,,,,,,,,1.187467,,,,,,,,,,,,,,,b645453c-4670-408a-a6dd-157587a9a970,13,,"[33.2, 56.7]",3754333,0,,,,-2.0984232,,Right Foot,,,,"[25.1, 42.8]",,Ground Pass,,16.087883,,,Eric Dier,10956.0,,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Tottenham Hotspur,38,['a8cfc049-51b0-4bad-a58d-be44b51d008d'],5,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:05.684,Pass,
