50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.426206,,,,,,,,,,,,1b9f83cd-e27a-4e48-8816-0cbc65357ff4,15,,"[37.5, 51.9]",3754084,0,,,,1.9762975,,Right Foot,,,,"[29.0, 71.7]",Low Pass,,21.54739,,,Craig Dawson,3523.0,,,,,,Recovery,1,From Kick Off,Claudio Ariel Yacob,3967.0,Left Defensive Midfield,2,Aston Villa,59,"['67b2f590-fb5b-4f3b-9bf4-47dc71cb8643', '6fef7d14-d917-4eef-bc2e-b8b1e959fdaa']",9,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:09.374,Pass,
,,,,,,,,,,,,,,,,3.800475,,,,,,,,,,,,0f867cfe-69e1-4e25-a3be-a410aee2b71f,17,,"[29.0, 71.7]",3754084,0,,,,-0.4420992,,Left Foot,,,,"[75.9, 49.5]",High Pass,,51.888824,Incomplete,,José Salomón Rondón Giménez,4041.0,,,,,,,1,From Kick Off,Craig Dawson,3523.0,Right Back,2,Aston Villa,59,"['37d9c030-403e-473f-bbb7-fa451e1fceff', 'd5bea702-41e4-4069-9569-91dcb2977115']",11,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:11.800,Pass,
,,,,,,,,,,,,,,,,1.832411,,,,,,,,,,,,0186ff27-5987-4ebd-b354-b58beeffe510,21,,"[45.3, 28.1]",3754084,0,,,,-0.17506024,,Left Foot,,,,"[74.7, 22.9]",High Pass,,29.856323,Incomplete,,Jordan Ayew,3450.0,,,,,,,1,From Kick Off,Joleon Lescott,20285.0,Left Center Back,2,Aston Villa,59,"['10bb6a12-d5e7-4f88-a9b6-3b5f749627da', 'a75f1ef0-0d34-469f-b402-55978c8027ce']",17,,,,,,,,,,,,,,,,Aston Villa,59,00:00:17.361,Pass,
,,,,,,,,,,,,,,,,1.199998,,,,,,,,,,,,d297d3d1-0f2f-4ab1-80f4-2017b5b0ea3b,27,,"[72.9, 7.9]",3754084,0,,,,3.038303,,Right Foot,,,,"[56.5, 9.6]",Ground Pass,,16.487875,,,Aly Cissokho,27146.0,,,,,,,1,From Kick Off,Jordan Ayew,3450.0,Left Wing,2,Aston Villa,59,['32417b6e-1bb8-4de8-9bec-d368969e9caa'],23,,,,,,,,,,,,,,,,Aston Villa,59,00:00:23.526,Pass,
,,,,,,,,,,,,,,,,0.879999,,,,,,,,,,,,e52a16a4-e4d8-4f10-9846-df54e8ba2ba5,30,,"[55.9, 9.6]",3754084,0,,,,1.5707964,,Left Foot,,,,"[55.9, 17.6]",Ground Pass,,8.0,,,Idrissa Gana Gueye,3436.0,,,,,,,1,From Kick Off,Aly Cissokho,27146.0,Left Back,2,Aston Villa,59,['0ba8030b-9c38-4abc-a356-d81668f1ddf7'],26,,,,,,,,,,,,,,,,Aston Villa,59,00:00:26.326,Pass,
,,,,,,,,,,,,,,,,0.900091,,,,,,,,,,,,c8d7b024-9d68-48ca-8f2b-9cacc084825f,33,,"[55.9, 17.6]",3754084,0,,,,-1.5793431,,Right Foot,,,,"[55.8, 5.9]",Ground Pass,,11.700427,,,Aly Cissokho,27146.0,,,,,,,1,From Kick Off,Idrissa Gana Gueye,3436.0,Center Defensive Midfield,2,Aston Villa,59,"['8b886224-5617-4846-8ee9-b90babc71992', 'a764c5d6-3314-4c4d-aba9-2c79252dc638']",27,,,,,,,,,,,,,,,,Aston Villa,59,00:00:27.206,Pass,True
,,,,,,,,,,,,,,,,0.746923,,,,,,,,,,,,dc306364-0e6e-49b5-a1e2-d17989897b63,36,,"[55.8, 5.9]",3754084,0,,,,2.17245,,Left Foot,,,,"[51.2, 12.6]",Ground Pass,,8.127115,,,Idrissa Gana Gueye,3436.0,,,,,,,1,From Kick Off,Aly Cissokho,27146.0,Left Back,2,Aston Villa,59,['fe888878-fc82-4fc3-aaf1-2e0ae17f9399'],29,,,,,,,,,,,,,,,,Aston Villa,59,00:00:29.679,Pass,
,,,,,,,,,,,,,,,,1.40032,,,,,,,,,,,,a7b2da94-3a88-4fcf-9537-9d9b04ad5267,38,,"[51.2, 12.6]",3754084,0,,,,-0.17073521,,Left Foot,,,,"[71.5, 9.1]",Ground Pass,,20.599514,Incomplete,,Ashley Westwood,3583.0,,,,,,,1,From Kick Off,Idrissa Gana Gueye,3436.0,Center Defensive Midfield,2,Aston Villa,59,"['1583db94-dc5a-448c-95d0-a23f94bfa5e1', 'e8887b49-bbd3-459d-96fe-d23fa5e8a099']",30,,,,,,,,,,,,,,,,Aston Villa,59,00:00:30.426,Pass,
,,,,,,,,,,,,,,,,1.128146,,,,,,,,,,,,2dccac7c-bcfa-4589-90ec-718a14bba833,45,,"[115.6, 80.0]",3754084,0,,,,-2.1919131,,,,,,"[107.8, 69.1]",Low Pass,,13.4033575,,,Stéphane Sessègnon,2966.0,,,,,,Throw-in,1,From Throw In,Craig Dawson,3523.0,Right Back,3,West Bromwich Albion,27,['645eacb8-ca8d-4d69-9755-66ac274db8b1'],55,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:55.566,Pass,
,,,,,,,,,,,,,,,,0.7888,,,,,,,,,,,,32b28924-4790-44d2-83dc-f7237daff867,48,,"[107.8, 69.1]",3754084,0,,,,0.74038357,,Right Foot,,,,"[113.6, 74.4]",Low Pass,,7.856844,,,Craig Dawson,3523.0,,,,,,,1,From Throw In,Stéphane Sessègnon,2966.0,Right Midfield,3,West Bromwich Albion,27,"['739ee0a2-9147-43c9-bbf3-6aa6ac567a9b', '789f3564-01b7-4609-9bfd-db34a747ec95']",56,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:56.695,Pass,True
