ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14bb0a07-c653-42cf-914e-cc67ec4b6fd1,1,,,,3753989,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 3658, 'name': 'DeAndre Yedlin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b8d669a9-110c-46ed-a735-219a8368302a,2,,,,3753989,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4700, 'name': 'Matthew Pennington'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 38}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3518, 'name': 'Leighton Baines'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 4317, 'name': 'Kevin Mirallas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5e86748a-9354-415f-a2ed-73b6bb4a8b54,3,,,,3753989,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['fdc85b99-6571-46e4-abbc-fde115b9ad39'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fdc85b99-6571-46e4-abbc-fde115b9ad39,4,,,,3753989,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['5e86748a-9354-415f-a2ed-73b6bb4a8b54'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cd4dd276-fafa-4505-8dd5-d11f2198acc1,1847,,,,3753989,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Sunderland,41,['a17c3342-bdb0-4c13-99ab-54c71dc00bea'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a17c3342-bdb0-4c13-99ab-54c71dc00bea,1848,,,,3753989,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Sunderland,41,['cd4dd276-fafa-4505-8dd5-d11f2198acc1'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.44585,,,,,,,,,,,,,7a8b383e-c9f8-4108-8ce9-372650c553d1,5,,,"[61.0, 40.1]",3753989,0,,,,2.0516837,,Left Foot,,,"[59.8, 42.4]",,Ground Pass,,2.5942245,,,,Ross Barkley,4275.0,,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Everton,29,['ffbc38fd-9fc7-43b5-bb6f-925fecb4bb87'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.060,Pass,
,,,,,,,,,,,,,,,,,,0.986385,,,,,,,,,,,,,e9e06b26-e6b4-4581-b1bb-d1b5cbd78c2d,7,,,"[60.2, 43.0]",3753989,0,,,,2.8570743,,Right Foot,,,"[49.6, 46.1]",,Ground Pass,,11.044003,,,,Gareth Barry,3633.0,,,,,,,1,From Kick Off,Ross Barkley,4275.0,Center Attacking Midfield,2,Everton,29,['564029b6-7430-4b2a-a78d-4fd6343d66fb'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.506,Pass,
,,,,,,,,,,,,,,,,,,2.047515,,,,,,,,,,,,,1f4380d6-e13e-42e0-bdff-c25fb4a68388,10,,,"[49.5, 46.5]",3753989,0,,,,-1.6922199,,Left Foot,,,"[45.4, 12.9]",,Ground Pass,,33.849224,,,,Leighton Baines,3518.0,,,,,,,1,From Kick Off,Gareth Barry,3633.0,Right Defensive Midfield,2,Everton,29,['40110e2a-354e-4302-938f-873753d50891'],2,,,,,,,,,,,,,,,,,,Everton,29,00:00:02.408,Pass,
,,,,,,,,,,,,,,,,,,2.46614,,,,,,,,,,,,,7637bf98-7b47-4ad1-a2fb-255af7f3ee10,13,,,"[42.7, 13.1]",3753989,0,,,,2.8160968,,Left Foot,,,"[10.7, 23.9]",,Ground Pass,,33.77336,,,,José Ramiro Funes Mori,4629.0,,,,,,,1,From Kick Off,Leighton Baines,3518.0,Left Back,2,Everton,29,['16c8d31e-8541-453f-bb25-5939ee71305b'],5,,,,,,,,,,,,,,,,,,Everton,29,00:00:05.566,Pass,
