50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3d4b578a-7184-4d83-ae66-c21a989cf306,1,,,3754013,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3671, 'name': 'José Leonardo Ulloa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,378fa818-b6d9-4269-a972-7947378519ef,2,,,3754013,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3456, 'name': 'Kurt Happy Zouma'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 28100, 'name': 'Ramires Santos do Nascimento'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 40122, 'name': 'Oscar dos Santos Emboaba Júnior'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30340531-3967-4ece-8190-a2cca5264c4c,3,,,3754013,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['d39333f0-9edb-4d53-b7ce-c0b2e7a29266'],0,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d39333f0-9edb-4d53-b7ce-c0b2e7a29266,4,,,3754013,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['30340531-3967-4ece-8190-a2cca5264c4c'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b3f17b2-8ef4-4222-948e-dc11a7294f04,1550,,,3754013,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Leicester City,22,['decab462-5345-4b75-acd4-366c5b871a65'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,decab462-5345-4b75-acd4-366c5b871a65,1551,,,3754013,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Leicester City,22,['0b3f17b2-8ef4-4222-948e-dc11a7294f04'],0,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.345051,,,,,,,,,,,,,e3779c22-f062-466a-abfc-f923aa1d7ac6,5,,"[61.0, 40.1]",3754013,0,,,,,1.5019399,,Right Foot,,,"[61.2, 43.0]",,Ground Pass,,2.9068885,,,,,Oscar dos Santos Emboaba Júnior,40122.0,,,,,Kick Off,1,From Kick Off,Diego da Silva Costa,5198.0,Center Forward,2,Chelsea,33,['cb8d9ff9-99c9-43e0-b6d7-016afc480735'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.679,Pass,
,,,,,,,,,,,,,,,,1.095243,,,,,,,,,,,,,7d02199e-8627-4e73-8048-1a760a755177,8,,"[61.7, 43.4]",3754013,0,,,,,-2.83354,,Right Foot,,,"[46.3, 38.5]",,Ground Pass,,16.160755,,,,,Nemanja Matić,3381.0,,,,,,1,From Kick Off,Oscar dos Santos Emboaba Júnior,40122.0,Center Attacking Midfield,2,Chelsea,33,['8cdf0221-6c84-484d-83b1-6384d948ea09'],1,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:01.104,Pass,
,,,,,,,,,,,,,,,,2.164248,,,,,,,,,,,,,ee8c40ee-fe29-442f-964d-a2555c00436a,11,,"[43.6, 36.9]",3754013,0,,,,,-1.868628,,Left Foot,,,"[33.9, 5.3]",,Ground Pass,,33.055256,,,,,César Azpilicueta Tanco,3957.0,,,,,,1,From Kick Off,Nemanja Matić,3381.0,Left Defensive Midfield,2,Chelsea,33,['b225dd35-9cb2-4b25-bda8-be7efa5a3814'],3,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:03.334,Pass,
,,,,,,,,,,,,,,,,3.290084,,,,,,,,,,,,,ad7dd728-144f-4a01-b719-abf6d7a1f476,13,,"[34.4, 5.3]",3754013,0,,,,,0.48476475,,Left Foot,,,"[77.5, 28.0]",,High Pass,,48.71242,,,Incomplete,,Diego da Silva Costa,5198.0,,,,,,1,From Kick Off,César Azpilicueta Tanco,3957.0,Left Back,2,Chelsea,33,"['2fa3b86d-34db-4e80-b121-8c37cba28574', 'd707e277-18e3-4db1-9dd2-95fb65a06fce']",5,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:05.499,Pass,
