50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7cb9b1c7-2622-4bef-9f60-38302390dc08,1,,,3754159,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3267, 'name': 'Luis Antonio Valencia Mosquera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 10779, 'name': 'Cameron Borthwick-Jackson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 43}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3318, 'name': 'Marcus Rashford'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14513e6b-f5c0-4f5c-a100-22dc6571c607,2,,,3754159,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 24888, 'name': 'Adam Federici'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 9626, 'name': 'Tommy Elphick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3646, 'name': 'Marc Pugh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3616, 'name': 'Callum Wilson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eac60de2-e9b1-4e02-9a38-aacd3e6d0dad,3,,,3754159,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['c43dd7c1-a3c6-4161-8671-43a25ab2c1f5'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c43dd7c1-a3c6-4161-8671-43a25ab2c1f5,4,,,3754159,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['eac60de2-e9b1-4e02-9a38-aacd3e6d0dad'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cb44089f-dc5c-4d17-bba6-fff7d68f435d,1829,,,3754159,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Manchester United,39,['ad8f9d84-c6b7-40a6-aaab-4eb76dc9ce49'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad8f9d84-c6b7-40a6-aaab-4eb76dc9ce49,1830,,,3754159,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Manchester United,39,['cb44089f-dc5c-4d17-bba6-fff7d68f435d'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.436249,,,,,,,,,,,,,39667660-727c-440c-9241-c0c628a567aa,5,,"[60.0, 40.0]",3754159,0,,,,-1.9379702,,Right Foot,,,"[59.0, 37.4]",,Ground Pass,,2.7856777,,,,,Wayne Mark Rooney,3538.0,,,,,Kick Off,1,From Kick Off,Marcus Rashford,3318.0,Center Forward,2,Manchester United,39,['5edf6a95-e5fa-4e17-bc34-e1aaed910017'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.065,Pass,
,,,,,,,,,,,,,,1.134447,,,,,,,,,,,,,5422580a-bf68-4148-93b3-fa24bdf63176,8,,"[58.7, 37.4]",3754159,0,,,,2.8057585,,Right Foot,,,"[37.5, 44.8]",,Ground Pass,,22.4544,,,,,Chris Smalling,10958.0,,,,,,1,From Kick Off,Wayne Mark Rooney,3538.0,Left Center Midfield,2,Manchester United,39,['4855f6aa-037a-47d2-9637-ac3cb6379c3e'],1,,,,,,,,,,,,,,,,,Manchester United,39,00:00:01.276,Pass,
,,,,,,,,,,,,,,2.92797,,,,,,,,,,,,,367b422f-76bd-4297-98e6-a193db27e3f4,11,,"[36.0, 44.8]",3754159,0,,,,-0.97622925,,Right Foot,,,"[64.4, 2.8]",,High Pass,,50.70069,,,,,Anthony Martial,20039.0,,True,,,,1,From Kick Off,Chris Smalling,10958.0,Right Center Back,2,Manchester United,39,['c88e1751-19f6-4cbf-a455-19bbdbe04cd8'],4,,,,,,,,,,,,,,,,,Manchester United,39,00:00:04.097,Pass,
,,,,,,,,,,,,,,1.535338,,,,,,,,,,,,,54297132-77bd-4e48-818e-613227983af3,13,,"[58.5, 2.6]",3754159,0,,,,3.100379,,Right Foot,,,"[48.8, 3.0]",,Low Pass,,9.708244,,,,,Cameron Borthwick-Jackson,10779.0,,,,,,1,From Kick Off,Anthony Martial,20039.0,Left Midfield,2,Manchester United,39,['ea4e52f5-e7ab-49a7-892d-5765e7e3f6df'],7,,,,,,,,,,,,,,,,,Manchester United,39,00:00:07.025,Pass,
