50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,861341cb-de49-4190-98bb-f76c2af3d1bd,1,,,3754239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5264, 'name': 'Guillermo Varela Olivera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3318, 'name': 'Marcus Rashford'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1096a42-d716-4fcb-b22b-511e57b5ef84,2,,,3754239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3569, 'name': 'Daniel Nii Tackie Mensah Welbeck'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3668, 'name': 'Theo Walcott'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f83cbc6f-9d91-4005-b2e2-bdcff37e34cf,3,,,3754239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['ea70a52f-7631-4e80-b058-4b9e7d94c292'],0,,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ea70a52f-7631-4e80-b058-4b9e7d94c292,4,,,3754239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['f83cbc6f-9d91-4005-b2e2-bdcff37e34cf'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9e4d3222-bdbe-4c41-a25b-70de354c5d05,1748,,,3754239,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Arsenal,1,['ebcb28c7-4079-4116-abfd-1b32fdce3520'],0,,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ebcb28c7-4079-4116-abfd-1b32fdce3520,1749,,,3754239,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Arsenal,1,['9e4d3222-bdbe-4c41-a25b-70de354c5d05'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.355246,,,,,,,,,,,,,99b4e08c-8550-4bf5-9e4c-5ade15fbc1b5,5,,"[61.0, 40.1]",3754239,0,,,,,-1.8370484,,Left Foot,,,,"[60.1, 36.8]",,Ground Pass,,3.4205263,,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,Kick Off,1,From Kick Off,Theo Walcott,3668.0,Center Forward,2,Arsenal,1,['f5cdda8b-7e06-43d4-a14a-60746e397a12'],1,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.589,Pass,
,,,,,,,,,,,,,,,,,,,,1.013588,,,,,,,,,,,,,dd572931-0987-4560-bace-6d9d722a2491,7,,"[58.7, 37.9]",3754239,0,,,,,2.5144348,,Left Foot,,,,"[47.8, 45.8]",,Ground Pass,,13.461798,,,,,Francis Joseph Coquelin,3437.0,,,,,,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,2,Arsenal,1,['4846596d-9380-4cfc-9c06-9cc7ca0dc154'],1,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.944,Pass,
,,,,,,,,,,,,,,,,,,,,1.032648,,,,,,,,,,,,,9e6159fc-c8b6-4302-9b09-4f1f6a21f1af,10,,"[47.8, 45.8]",3754239,0,,,,,-1.9371908,,Right Foot,,,,"[44.5, 37.2]",,Ground Pass,,9.211406,,,,,Aaron Ramsey,3517.0,,,,,,1,From Kick Off,Francis Joseph Coquelin,3437.0,Right Defensive Midfield,2,Arsenal,1,['ae2b818c-da28-4780-9fa5-398e4ba8deab'],3,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.131,Pass,
,,,,,,,,,,,,,,,,,,,,1.495172,,,,,,,,,,,,,1b12dd51-f7c0-48a0-97da-2e29b10d69a8,13,,"[43.8, 40.1]",3754239,0,,,,,2.1629086,,Right Foot,,,,"[32.5, 56.9]",,Ground Pass,,20.246729,,,,,Gabriel Armando de Abreu,6746.0,,,,,,1,From Kick Off,Aaron Ramsey,3517.0,Left Defensive Midfield,2,Arsenal,1,['d7255259-a022-454d-b2ac-4dd60b6b2884'],4,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:04.291,Pass,
