ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,598987dc-f2cd-405d-ae63-953bb95bb495,1,,,3754203,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 21254, 'name': 'Carl Jenkinson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4273, 'name': 'Reece Oxford'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d34ea18a-a0a4-40cc-90a9-04d4d1a4a7b4,2,,,3754203,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 28782, 'name': 'Ritchie De Laet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3665, 'name': 'Andrew Philip King'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0217ee44-77fa-4261-b70d-25ce5e4bc628,3,,,3754203,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['3ac8b846-15d1-457a-8565-e61e639c4e78'],0,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3ac8b846-15d1-457a-8565-e61e639c4e78,4,,,3754203,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['0217ee44-77fa-4261-b70d-25ce5e4bc628'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f18cc989-2c0b-4085-b19a-534ecfe69125,1479,,,3754203,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,West Ham United,40,['cd5d54ab-5cdf-4ae1-9619-d08517e286b1'],0,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cd5d54ab-5cdf-4ae1-9619-d08517e286b1,1480,,,3754203,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,West Ham United,40,['f18cc989-2c0b-4085-b19a-534ecfe69125'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.653381,,,,,,,,,,,,502a1d22-5c8d-412f-b513-2fa3f32c6833,5,,"[61.0, 40.1]",3754203,0,,,,,2.0626056,,Right Foot,,,,"[59.5, 42.9]",,Ground Pass,,3.176476,,,Mauro Matías Zárate,27853.0,,,,,,Kick Off,1,From Kick Off,Diafra Sakho,3962.0,Center Forward,2,West Ham United,40,['91b6fbff-9c68-467e-bfe7-d7b4f964f06f'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.411,Pass,
,,,,,,,,,,,,,,,2.31644,,,,,,,,,,,,abfe9dd1-fead-454f-a417-b894e7eaadf6,8,,"[60.1, 44.9]",3754203,0,,,,,-1.4773196,,Right Foot,,,,"[60.4, 41.7]",,Ground Pass,,3.2140317,,,Reece Oxford,4273.0,,,,,,,1,From Kick Off,Mauro Matías Zárate,27853.0,Right Wing,2,West Ham United,40,['21874d3d-19a7-4940-8a82-b78a9fa78c97'],1,,,,,,,,,,,,,,,,West Ham United,40,00:00:01.590,Pass,
,,,,,,,,,,,,,,,1.3838,,,,,,,,,,,,13b4ead6-f062-45e2-979c-d4f3e80ae072,10,,"[34.4, 38.8]",3754203,0,,,,,1.9423141,,Right Foot,,,,"[28.4, 54.2]",,Ground Pass,,16.527554,,,Winston Reid,4280.0,,,,,,,1,From Kick Off,Reece Oxford,4273.0,Center Defensive Midfield,2,West Ham United,40,['cb3a685d-5f64-4af5-8288-657e58835bda'],3,,,,,,,,,,,,,,,,West Ham United,40,00:00:03.906,Pass,
,,,,,,,,,,,,,,,1.574312,,,,,,,,,,,,eb1ab6a7-3745-4723-91c5-6a8eacca5d65,12,,"[25.8, 54.2]",3754203,0,,,,,-2.6200697,,Right Foot,,,,"[7.7, 43.8]",,Ground Pass,,20.875105,,,Adrián San Miguel del Castillo,3623.0,,,,,,,1,From Kick Off,Winston Reid,4280.0,Right Center Back,2,West Ham United,40,['f2c85ec2-eddb-4610-b211-36fb73ec23be'],5,,,,,,,,,,,,,,,,West Ham United,40,00:00:05.290,Pass,
