ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3e49cde4-2b9b-465a-91b0-d8b155749958,1,,,3754324,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3611, 'name': 'Kevin Wimmer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2645762f-a6c1-454a-8e9a-68e0f1fe57c8,2,,,3754324,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,41555669-1e3a-49ac-8536-2125b1917b96,3,,,3754324,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['197f8a05-8375-4a61-8814-b7680fcbf348'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,197f8a05-8375-4a61-8814-b7680fcbf348,4,,,3754324,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['41555669-1e3a-49ac-8536-2125b1917b96'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,362af7c8-65c6-481b-96f6-dbd15b735488,1606,,,3754324,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,106,Swansea City,26,['b5e89876-a17c-4e6f-a229-4f6ba35bed4a'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b5e89876-a17c-4e6f-a229-4f6ba35bed4a,1607,,,3754324,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,106,Swansea City,26,['362af7c8-65c6-481b-96f6-dbd15b735488'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.367289,,,,,,,,,,,,f8b67ef2-89a3-491a-85da-b8d007ecb5cd,5,,"[60.0, 40.0]",3754324,0,,,,1.4640607,,Right Foot,,,,"[60.3, 42.8]",Ground Pass,,2.8160255,,,Gylfi Þór Sigurðsson,3944.0,,,,,Kick Off,1,From Kick Off,Alberto Paloschi,6950.0,Center Forward,2,Swansea City,26,['db4840d5-bb19-42b3-83ac-56f69f11b010'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.057,Pass,
,,,,,,,,,,,,,,,,0.812441,,,,,,,,,,,,ca7efd32-b00c-48ee-8ab7-096f4d85afc4,7,,"[61.0, 41.9]",3754324,0,,,,-2.6011732,,Right Foot,,,,"[53.5, 37.4]",Ground Pass,,8.746428,,,Leon Britton,4631.0,,,,,,1,From Kick Off,Gylfi Þór Sigurðsson,3944.0,Left Attacking Midfield,2,Swansea City,26,['3b0850fb-8c10-4331-80e6-04146df6e36c'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.424,Pass,
,,,,,,,,,,,,,,,,0.706897,,,,,,,,,,,,3e9e93fe-092a-4afa-85b9-6cd5d7d31987,10,,"[54.4, 41.4]",3754324,0,,,,1.4421996,,Right Foot,,,,"[55.9, 53.0]",Ground Pass,,11.696581,,,André Ayew Pelé,3347.0,,,,,,1,From Kick Off,Leon Britton,4631.0,Center Defensive Midfield,2,Swansea City,26,['8f252eba-c16e-4030-9634-ddd911637a4f'],3,,,,,,,,,,,,,,,,,Swansea City,26,00:00:03.393,Pass,
,,,,,,,,,,,,,,,,1.832239,,,,,,,,,,,,3d283ed7-659d-4744-9386-e5dfc4ac8b10,13,,"[56.8, 52.8]",3754324,0,,,,-2.317084,,Left Foot,,,,"[34.7, 28.9]",Low Pass,,32.551804,,,Ashley Williams,3644.0,,,,,,1,From Kick Off,André Ayew Pelé,3347.0,Right Attacking Midfield,2,Swansea City,26,['40be8a58-c1ba-4c37-9585-7c9ba9cb1023'],4,,,,,,,,,,,,,,,,,Swansea City,26,00:00:04.123,Pass,
