ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,672c6676-3548-401a-8249-f8d3a78e3bd6,1,,,3754341,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f67035fa-3256-43bc-8105-be631f473430,2,,,3754341,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8391a883-55c2-4e55-8256-d645deb27e30,3,,,3754341,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['ae3ea7ba-168e-4818-8ae5-3572dbea3676'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ae3ea7ba-168e-4818-8ae5-3572dbea3676,4,,,3754341,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['8391a883-55c2-4e55-8256-d645deb27e30'],0,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f1ddf0c6-6c51-4af9-8204-31244311d0c3,1588,,,3754341,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,Leicester City,22,['1097cdca-87e1-4072-9268-914fe5fd1a2a'],0,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1097cdca-87e1-4072-9268-914fe5fd1a2a,1589,,,3754341,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,Leicester City,22,['f1ddf0c6-6c51-4af9-8204-31244311d0c3'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.055818,,,,,,,,,,,,7fcd86af-beb0-4fd8-b0e4-ea0ed7c9a57e,5,,"[61.0, 40.1]",3754341,0,,,,,1.6879051,,Right Foot,,"[60.8, 41.8]",,Ground Pass,,1.7117243,,,Xherdan Shaqiri,3533.0,,,,,,Kick Off,1,From Kick Off,Ibrahim Afellay,4891.0,Left Defensive Midfield,2,Stoke City,30,['c16e40a0-c159-4750-b189-adf85a8d0212'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.105,Pass,
,,,,,,,,,,,,,,,0.864929,,,,,,,,,,,,cf9911ee-9430-401b-a330-ad9840ecaacd,8,,"[60.8, 42.3]",3754341,0,,,,,-2.819842,,Right Foot,,"[52.7, 39.6]",,Ground Pass,,8.53815,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Xherdan Shaqiri,3533.0,Center Attacking Midfield,2,Stoke City,30,['a67216e8-c4f9-43f1-9918-6da4abb925a4'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.401,Pass,
,,,,,,,,,,,,,,,0.800722,,,,,,,,,,,,70134090-ca87-4be3-a979-81613a3407cb,12,,"[51.6, 41.1]",3754341,0,,,,,1.7392867,,Right Foot,,"[48.3, 60.5]",,Ground Pass,,19.678669,,,Ryan Shawcross,4035.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Right Defensive Midfield,2,Stoke City,30,"['d887df4f-7bdb-44ea-8a1a-830bb3a3f030', 'efca01e0-2952-4180-9814-d7a0becaf662']",2,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.301,Pass,True
,,,,,,,,,,,,,,,2.926898,,,,,,,,,,,,b4b864a2-ea54-4832-b94f-61683ff2028b,15,,"[48.3, 60.5]",3754341,0,,,,,-2.7349403,,Right Foot,,"[20.9, 48.7]",,Ground Pass,,29.832869,,,Jack Butland,3537.0,,,,,,,1,From Kick Off,Ryan Shawcross,4035.0,Right Center Back,2,Stoke City,30,['42a626e3-c399-4622-90c9-3ef566e365f9'],3,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:03.142,Pass,
