50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,486f0390-36c1-4cad-9c81-9d921ab17ebb,1,,,3753997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c71259ca-812a-4229-9868-5bda33197b9e,2,,,3753997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 24380, 'name': 'Tetchi Jores Charlemagne Ulrich Okore'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 43}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6800, 'name': 'Carles Gil de Pareja Vicent'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 42699, 'name': 'Gabriel Imuetinyan Agbonlahor'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3eb12f47-e9d7-47b7-9193-76c7907173da,3,,,3753997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['6bd94ada-d598-4961-a820-d5cc59eee805'],0,,,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6bd94ada-d598-4961-a820-d5cc59eee805,4,,,3753997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['3eb12f47-e9d7-47b7-9193-76c7907173da'],0,,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d58dd1d-1e66-4f19-9217-c5eb74d91c6e,1725,,,3753997,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,West Ham United,40,['e055bc94-061b-4bfd-a776-183eb58f9533'],0,,,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e055bc94-061b-4bfd-a776-183eb58f9533,1726,,,3753997,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,West Ham United,40,['9d58dd1d-1e66-4f19-9217-c5eb74d91c6e'],0,,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.53211,,,,,,,,,,,,,018de7ee-bea6-4c92-9eff-212cc99ed3b3,5,,"[60.0, 40.0]",3753997,0,,,,,-1.8417432,,Right Foot,,,,"[59.0, 36.4]",,Ground Pass,,3.7363083,,,,,Carles Gil de Pareja Vicent,6800.0,,,,,,Kick Off,1,From Kick Off,Jordan Ayew,3450.0,Right Center Forward,2,Aston Villa,59,['5147240f-06a6-44aa-bd61-23cc661f24b7'],0,,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.061,Pass,
,,,,,,,,,,,,,,,,,0.974599,,,,,,,,,,,,,f346cd4d-2ea6-4bf9-b667-933798c917e6,8,,"[58.1, 36.3]",3753997,0,,,,,2.7798634,,Left Foot,,,,"[47.0, 40.5]",,Ground Pass,,11.868024,,,,,Idrissa Gana Gueye,3436.0,,,,,,,1,From Kick Off,Carles Gil de Pareja Vicent,6800.0,Center Attacking Midfield,2,Aston Villa,59,['a5bfba75-5eed-4f02-be23-7b27c20502e3'],1,,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:01.037,Pass,
,,,,,,,,,,,,,,,,,2.471961,,,,,,,,,,,,,e738b0b4-cd4f-4f4c-8260-59f45ceeeded,11,,"[47.8, 38.9]",3753997,0,,,,,-2.0578902,,Right Foot,,,,"[35.3, 15.3]",,Ground Pass,,26.705992,,,,,Aly Cissokho,27146.0,,,,,,,1,From Kick Off,Idrissa Gana Gueye,3436.0,Center Defensive Midfield,2,Aston Villa,59,['732edf4c-970d-40a2-a04d-e8f567b982be'],2,,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:02.426,Pass,
,,,,,,,,,,,,,,,,,2.815263,,,,,,,,,,,,,b51d77ea-aa9b-45de-81a7-0fbdd44d6ff1,14,,"[35.3, 15.6]",3753997,0,,,,,0.43413588,,Left Foot,,,,"[79.3, 36.0]",,High Pass,,48.499073,,,Incomplete,,Gabriel Imuetinyan Agbonlahor,42699.0,,,,,,,1,From Kick Off,Aly Cissokho,27146.0,Left Back,2,Aston Villa,59,"['97d28226-6ccd-4217-a561-6f536f482f5b', 'dad37c34-879a-4dfc-b616-3186e71bdf02']",5,,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:05.759,Pass,
