bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.783106,,,,,,,,,,,a91684d2-b82e-44e4-88bb-478a64687763,18,,"[92.3, 5.5]",3753996,0,,,,,3.083039,,Left Foot,,,,"[63.3, 7.2]",,Ground Pass,,29.049786,,,,Sébastien Aymar Bassong Nguena,31296.0,,,,,,1,From Kick Off,Robert Brady,10967.0,Left Midfield,2,Norwich City,56,"['4db533ad-e846-4feb-8273-190469fa45dc', 'b56e6f7d-73ac-4773-90ce-d85a1c2b05ad']",9,,,,,,,,,,,,,,,,Norwich City,56,00:00:09.103,Pass,True
,,,,,,,,,,,,,,,,,3.514356,,,,,,,,,,,ae0511fc-4528-42a2-a464-425ff78e05e9,21,,"[63.3, 6.8]",3753996,0,,,,,0.6315281,,Left Foot,,,,"[102.4, 35.4]",,High Pass,,48.443474,,Incomplete,,Nathan Redmond,3286.0,,,,,,1,From Kick Off,Sébastien Aymar Bassong Nguena,31296.0,Left Center Back,2,Norwich City,56,"['8b44572f-aba0-4a19-ab07-2102edece395', 'd6f8107b-5066-4f63-ab06-eef8b87e4282']",11,,,,,,,,,,,,,,,,Norwich City,56,00:00:11.962,Pass,
,,,,,,,,,,,,,,,,,3.24129,,,,,,,,,,,d6f8107b-5066-4f63-ab06-eef8b87e4282,23,,"[17.7, 44.7]",3753996,0,,,,,1.6375865,,Head,,,,"[15.7, 74.6]",,Low Pass,,29.966814,,,,Kurt Happy Zouma,3456.0,,,,,Recovery,1,From Kick Off,John Terry,20287.0,Left Center Back,2,Norwich City,56,"['ac532824-37f7-4ecd-9ce3-70c593b9db06', 'ae0511fc-4528-42a2-a464-425ff78e05e9']",15,,,,,,,,,,,,,,,,Chelsea,33,00:00:15.477,Pass,
,,,,,,,,,,,,,,,,,3.70675,,,,,,,,,,,30717860-903e-4c0f-bb3a-2d807874427f,25,,"[15.7, 74.6]",3753996,0,,,,,0.1613751,,Right Foot,,,,"[45.8, 79.5]",,High Pass,,30.49623,,Out,,Willian Borges da Silva,3472.0,,,,,,1,From Kick Off,Kurt Happy Zouma,3456.0,Right Center Back,2,Norwich City,56,['87aaf6a0-cbdb-455f-a204-960e78c29a45'],18,,,,,,,,,,,,,,,,Chelsea,33,00:00:18.718,Pass,
,,,,,,,,,,,,,,,,,0.942254,,,,,,,,,,,539dadb9-95cb-47d4-a131-e6c4b6b9bab9,27,,"[80.6, 0.1]",3753996,0,,,,,0.56386936,,,,,,"[87.4, 4.4]",,Low Pass,,8.045496,,,,Nathan Redmond,3286.0,,,,,Throw-in,1,From Throw In,Martin Olsson,3576.0,Left Back,3,Norwich City,56,['3e898b02-8721-4633-bff4-5447c8975dee'],33,,,,,,,,,,,,,,,,Norwich City,56,00:00:33.605,Pass,
,,,,,,,,,,,,,,,,,0.182385,,,,,,,,,,,68a51c22-d3f9-400b-ba37-324df8917911,30,,"[87.6, 4.9]",3753996,0,,,,,2.0647378,,Right Foot,,,,"[86.2, 7.5]",,Low Pass,,2.9529645,,Incomplete,,Youssouf Chafiq Mulumbu Ngangu,16932.0,,,,,,1,From Throw In,Nathan Redmond,3286.0,Center Attacking Midfield,3,Norwich City,56,"['38a8831e-4a9b-40fc-ac72-17c330d59c9f', '43f52db0-214d-407e-ab15-85c18d0325db', 'b757fd41-021c-4fda-9a72-4511487bde53']",34,,,,,,,,,,,,,,,,Norwich City,56,00:00:34.547,Pass,True
,,,,,,,,,,,,,,,,,1.07643,,,,,,,,,,,281bf16a-4323-40c7-9fa1-5727202049aa,33,,"[96.1, 0.1]",3753996,0,,,,,1.235348,,,,,,"[99.9, 11.0]",,Low Pass,,11.543396,,,,Robert Brady,10967.0,,,,,Throw-in,1,From Throw In,Martin Olsson,3576.0,Left Back,4,Norwich City,56,['c2525a14-53b4-4870-a113-478cc755c1a0'],44,,,,,,,,,,,,,,,,Norwich City,56,00:00:44.090,Pass,
,,,,,,,,,,,,,,,,,0.679873,,,,,,,,,,,f42bfda6-e3b0-4ab7-a6d8-94dc1c7336fa,35,,"[99.9, 11.0]",3753996,0,,,,,-2.9967802,,Left Foot,,,,"[95.1, 10.3]",,Ground Pass,,4.8507733,,,,Youssouf Chafiq Mulumbu Ngangu,16932.0,,,,,,1,From Throw In,Robert Brady,10967.0,Left Midfield,4,Norwich City,56,['4a2b9a80-8931-416e-97a6-28a2608609a9'],45,,,,,,,,,,,,,,,,Norwich City,56,00:00:45.167,Pass,
,,,,,,,,,,,,,,,,,0.859392,,,,,,,,,,,2db7c3a8-3c81-4ded-a3d2-1114665eb9f5,38,,"[95.5, 11.2]",3753996,0,,,,,0.22679885,,Right Foot,,,,"[98.1, 11.8]",,Low Pass,,2.6683328,,,,Robert Brady,10967.0,,,,,,1,From Throw In,Youssouf Chafiq Mulumbu Ngangu,16932.0,Left Defensive Midfield,4,Norwich City,56,"['a01fb1d2-2a35-477c-becd-b5d688e72ca7', 'f6abdca7-2979-4d67-86dc-fa2b5f57da2d']",45,,,,,,,,,,,,,,,,Norwich City,56,00:00:45.847,Pass,True
,,,,,,,,,,,,,,,,,0.360059,,,,,,,,,,,ec432ecc-3233-4941-a969-616e61b17f23,42,,"[20.9, 69.1]",3753996,0,,,,,-0.8960554,,Right Foot,,,,"[22.5, 67.1]",,Ground Pass,,2.5612497,,Incomplete,,Nemanja Matić,3381.0,,,,,Interception,1,From Throw In,Branislav Ivanović,5594.0,Right Back,4,Norwich City,56,"['66a58832-eeec-46cd-a06d-8d90ff483c92', '83e806da-a5ff-4e26-8560-d170a03ed421']",47,,,,,,,,,,,,,,,,Chelsea,33,00:00:47.183,Pass,
