50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b9d98e59-548b-4b18-9f17-3cf1e0809fa8,1,,,,3754137,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 20067, 'name': 'Darron Gibson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3476, 'name': 'Muhamed Bešić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 42947, 'name': 'Leon Osman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4317, 'name': 'Kevin Mirallas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 26696, 'name': 'Arouna Koné'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1743b913-87f8-42f0-990c-a839f157f8a8,2,,,,3754137,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 44}, {'player': {'id': 3590, 'name': 'Rhu-endly Martina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,513b82a4-836c-4626-b9fa-79d2c8b7850e,3,,,,3754137,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['7284959b-045e-4025-a87e-54537a642651'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7284959b-045e-4025-a87e-54537a642651,4,,,,3754137,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['513b82a4-836c-4626-b9fa-79d2c8b7850e'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5fef2035-4cf0-481e-abd4-38b081a72074,1628,,,,3754137,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,Southampton,25,['cbc35311-bfd9-4521-881f-f7deafed45e6'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cbc35311-bfd9-4521-881f-f7deafed45e6,1629,,,,3754137,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,Southampton,25,['5fef2035-4cf0-481e-abd4-38b081a72074'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.279639,,,,,,,,,,,,,,,cc388cfa-7f2b-4d03-babd-f4df5c267612,5,,,"[60.0, 40.0]",3754137,0,,,,,2.0552742,,Right Foot,,,,"[59.0, 41.9]",Ground Pass,,2.1470912,,,,Shane Long,3842.0,,,,,Kick Off,1,From Kick Off,Graziano Pellè,11062.0,Left Center Forward,2,Southampton,25,['fcaacbcb-a80c-41ac-8f81-9f6a5012b7f8'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.134,Pass,
,,,,,,,,,,,,,,,,,1.091382,,,,,,,,,,,,,,,d5a49d39-cffe-45db-ae32-3b72485ddf51,8,,,"[59.4, 42.2]",3754137,0,,,,,-2.7711003,,Right Foot,,,,"[47.3, 37.5]",Ground Pass,,12.980755,,,,Victor Wanyama,3098.0,,,,,,1,From Kick Off,Shane Long,3842.0,Right Center Forward,2,Southampton,25,['f7320cde-c175-42c0-8f72-dd3d2b08a449'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.559,Pass,
,,,,,,,,,,,,,,,,,0.965233,,,,,,,,,,,,,,,01a19e58-12c3-4fac-a7c9-a6a8b31c8aaf,11,,,"[45.8, 37.3]",3754137,0,,,,,3.0725203,,Right Foot,,,,"[29.9, 38.4]",Ground Pass,,15.9380045,,,,José Miguel da Rocha Fonte,3960.0,,,,,,1,From Kick Off,Victor Wanyama,3098.0,Right Defensive Midfield,2,Southampton,25,['3fdfa28f-b4d7-4517-b983-e19c536a7605'],2,,,,,,,,,,,,,,,,,Southampton,25,00:00:02.561,Pass,
,,,,,,,,,,,,,,,,,1.589554,,,,,,,,,,,,,,,05f31a4e-e8ca-48ae-aee2-2d6f0059d99c,14,,,"[34.2, 44.8]",3754137,0,,,,,0.4187217,,Right Foot,,,,"[71.5, 61.4]",High Pass,,40.827076,,,,Dušan Tadić,3831.0,,,,,,1,From Kick Off,José Miguel da Rocha Fonte,3960.0,Right Center Back,2,Southampton,25,['26e0aae4-b377-4b83-b145-c4c3b221c9c5'],7,,,,,,,,,,,,,,,,,Southampton,25,00:00:07.899,Pass,
