bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,595628ce-642f-4d9f-8d00-5c29174188a0,1,,,,3754217,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3339, 'name': 'Asmir Begović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3456, 'name': 'Kurt Happy Zouma'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 40122, 'name': 'Oscar dos Santos Emboaba Júnior'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6f2f25f1-3e88-4828-9b29-43932823a7bc,2,,,,3754217,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3668, 'name': 'Theo Walcott'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b70869d0-d261-45a3-8b29-c3d01822ecbb,3,,,,3754217,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['063431bd-13e1-4fd0-9a8b-4fa122214dd7'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,063431bd-13e1-4fd0-9a8b-4fa122214dd7,4,,,,3754217,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['b70869d0-d261-45a3-8b29-c3d01822ecbb'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,18d0d62b-c2f0-4589-9b18-ef04ec49a9fe,1718,,,,3754217,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Arsenal,1,['d6c85751-cfd5-4701-bc0a-8f98a7367e0c'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d6c85751-cfd5-4701-bc0a-8f98a7367e0c,1719,,,,3754217,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Arsenal,1,['18d0d62b-c2f0-4589-9b18-ef04ec49a9fe'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.386674,,,,,,,,,,,,579fd181-6508-404b-828b-1e6f5a9c8a11,5,,,"[61.0, 40.1]",3754217,0,,,,,2.330559,,Right Foot,,,,"[59.1, 42.1]",,Ground Pass,,2.758623,,,Mesut Özil,3496.0,,,,,Kick Off,1,From Kick Off,Theo Walcott,3668.0,Center Forward,2,Arsenal,1,['4a11c33e-50f8-49b2-a45e-b5666f5b8045'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.622,Pass,
,,,,,,,,,,,,,,,,1.499254,,,,,,,,,,,,0ad616bf-4898-4d66-8ed5-7eb1a0b7441c,7,,,"[59.3, 42.1]",3754217,0,,,,,-2.896614,,Left Foot,,,,"[43.7, 38.2]",,Ground Pass,,16.080112,,,Santiago Cazorla González,11386.0,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['0c010aa2-25cd-43fa-b591-e2fe28ea3601'],1,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.008,Pass,
,,,,,,,,,,,,,,,,0.986454,,,,,,,,,,,,c5890120-8f74-4664-88f5-34f7365f5333,10,,,"[49.5, 41.7]",3754217,0,,,,,0.48689923,,Right Foot,,,,"[63.1, 48.9]",,Ground Pass,,15.388308,,,Aaron Ramsey,3517.0,,,,,,1,From Kick Off,Santiago Cazorla González,11386.0,Left Defensive Midfield,2,Arsenal,1,['d2620c96-2609-409f-ae1a-075fcc527428'],5,,,,,,,,,,,,,,,,,Arsenal,1,00:00:05.181,Pass,
,,,,,,,,,,,,,,,,0.230623,,,,,,,,,,,,4f29ffff-ea0f-46cc-842e-5123788bbe90,14,,,"[65.9, 48.7]",3754217,0,,,,,0.0540015,,Left Foot,,,,"[69.6, 48.9]",,Ground Pass,,3.7054014,Incomplete,,Theo Walcott,3668.0,,,,,,1,From Kick Off,Aaron Ramsey,3517.0,Right Wing,2,Arsenal,1,"['3451a1e4-8c4e-4043-840e-d57a3c80869e', '6ad61cfb-bf97-4fb5-906f-84096f276ae1', 'acf6a7e8-0110-408d-ba53-5ad8a3d33dd5']",7,,,,,,,,,,,,,,,,,Arsenal,1,00:00:07.018,Pass,True
